year,state,margin,total votes,initial sample,expected sample
1980,Alabama,0.013012610950355793,1341929,899,11076,0.008253789880090526
1980,Alaska,0.07669538325601943,158445,153,153,0.0009656347628514626
1980,Arizona,0.010751076937859027,874238,1088,874238,1.0
1980,Arkansas,0.006116416064337582,837582,1912,837582,1.0
1980,California,0.16778065972281286,8582938,70,70,8.155715443825879e-06
1980,Colorado,0.016215120942209463,1184450,721,8813,0.007440584237409768
1980,Connecticut,0.09633751337744483,1406285,122,122,8.675339635991281e-05
1980,Delaware,0.023329429536466554,235668,502,502,0.0021301152468727194
1980,District of Columbia,0.6148635048795495,173889,20,21,0.00012076669599572141
1980,Florida,0.03174757731845518,3686927,369,369,0.00010008334854473658
1980,Georgia,0.017248818734911277,1596805,678,823,0.0005154041977573968
1980,Hawaii,0.01901499239993801,303287,615,615,0.002027782265642774
1980,Idaho,0.00969414098128726,439647,1206,439647,1.0
1980,Illinois,0.07929644709657684,4749721,148,148,3.115972496068716e-05
1980,Indiana,0.07424154773814659,2242033,158,158,7.04717548760433e-05
1980,Iowa,0.0770069084536918,1317661,152,152,0.00011535592235028585
1980,Kansas,0.2456248500961936,979795,48,48,4.8989839711368196e-05
1980,Kentucky,0.01378251610996066,1295627,849,10436,0.008054787373217754
1980,Louisiana,0.054501156212324625,1548591,215,215,0.00013883588371622977
1980,Maine,0.03355187558196673,523011,349,349,0.0006672899805166622
1980,Maryland,0.029571644457369574,1540496,396,396,0.0002570600637716683
1980,Massachusetts,0.001516982357998328,2524090,7707,2524090,1.0
1980,Michigan,0.06488768391638798,3909725,181,181,4.6294816131569356e-05
1980,Minnesota,0.039429001966942115,2051916,297,297,0.00014474276724778208
1980,Mississippi,0.013241379310344827,891750,883,10878,0.012198486122792262
1980,Missouri,0.042603570584963314,2099824,275,275,0.00013096335692896167
1980,Montana,0.24393876115531718,363952,48,48,0.00013188552336571856
1980,Nebraska,0.39527280062170367,639533,30,31,4.847287004736269e-05
1980,Nevada,0.2137739441590204,243692,55,55,0.00022569472941253715
1980,New Hampshire,0.04193859215083726,383990,279,279,0.0007265814213911821
1980,New Jersey,0.13415167739585251,2975684,88,88,2.957303262039921e-05
1980,New Mexico,0.18181997514449727,456237,65,65,0.0001424698128385028
1980,New York,0.014619896713280433,6201959,800,9817,0.0015828869555571071
1980,North Carolina,0.005609879768276564,1855833,2084,1855833,1.0
1980,North Dakota,0.38027205462346736,301116,31,31,0.0001029503580015675
1980,Ohio,0.10601612707806957,4283603,111,111,2.5912765492040227e-05
1980,Oklahoma,0.0947797179805655,1149708,124,124,0.00010785347235993835
1980,Oregon,0.07814282667352791,1181516,150,150,0.0001269555384776846
1980,Pennsylvania,0.02367926697812847,4561501,494,494,0.00010829768534524053
1980,Rhode Island,0.10469340115922657,415967,112,112,0.00026925212817362914
1980,South Carolina,0.012447959939567108,888258,940,11596,0.013054765619898724
