year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,5860777,264,88,162,53,13989,342,1715,1568,12,1626,41,7094,87,11660,786,44128,787,877,1345,482968,1250,182,1557,270,12623,3442,820,105,2330,356,9698,7504,778,376,1281,4110456,30815,1029876,6372,361,270,21002,270,4546,55,297,25125,2935,177,15934,122
1980,5137775,26164,48,40,837582,146,69,432,7791,11,149,203,11171,25,670,129,257,70,23441,1504,3594,4809,2524090,1001,2638,25637,948,69,28,33,47,231,129,18,9867,29,380,68,430,839,359,29027,51,1617616,233,15,1079,266,264,2156,1886,36
1984,2102577,93,34,41,93,173,57,96,117,9,50,112,359,23,276,80,838,41,108,90,96,1522,5910,128,2084449,78,115,93,27,39,33,105,109,436,80,48,131,33,312,847,3451,58,67,175,62,19,155,72,250,416,545,26
1988,76013,124,82,102,226,3571,750,1749,297,10,92,112,503,68,10533,114,439,260,339,435,349,5406,737,734,925,106,2898,1313,105,100,67,245,1852,425,174,268,389,166,2071,8495,336,80,1137,171,290,39,3675,109,17917,2046,3491,91
1992,283406,892,382,9059,130,203,1931,867,542,9,10060,113911,301,177,190,983,1026,1265,3838,1873,461,197,104,674,258,526,349,5325,120,4796,23689,6832,523,46,63621,244,10746,477,348,461,108,2309,2895,1905,2951,126,143,2061,265,227,1894,1086
1996,618159,886,128,8465,145,249,22139,123,176,9,1281,31015,64,115,138,1311,390,126,45340,292,89,168,37,238,153,1636,1031,4736,118,464279,410,130,783,124,1941,865,1007,671,606,486,37,1267,3441,7432,1758,91,79,11096,255,189,377,237
2000,12114701,203,41,1117,1510,316,615,144,262,9,5963110,327,129,29,311,184,1353022,101,199,763,1638,168,57,1702,7448,158,4030,67,53,3500,27213,177,598605,1254,279,58,3533,95,1533950,2570,51,177,88,3036,99,27,426,692,1401,1123,2598607,27
2004,3949756,71,69,418,479,461,2083,422,793,9,1823,168,598,32,428,108,102456,71,116,217,560,271,73,3904,3762,129,884,107,41,6743,24398,1022,756304,20380,297,60,10322,47,2629,7319,107,157,98,225,88,23,112,680,880,276,2997007,29
2008,15029531,99,98,626,114,79,567,93,74,7,5757,1680,23,70,72,42748,499,203,173,131,150,72,68,167,431,264,2925205,8698,203,289,493,188,199,7722019,4310851,606,2148,47,167,427,59,564,638,200,330,56,33,1149,154,264,235,44
2012,95522,93,226,552,81,85,1562,151,131,7,59375,744,26,44,160,434,1339,96,88,154,195,68,87,506,760,346,515,241,96,1012,1458,146,428,1025,10904,117,5108,42,304,1563,61,414,139,109,182,21,36,3022,205,63,974,27
2016,5782515,59,187,3438,60,49,1751,236,337,6,31043,1686,43,41,151,120,485,101,50,115,5027,771,60,4799284,18218,143,127,101,69,7365,744296,226,603,429,3310,34,664,33,341,84657,178,217,49,67,544,103,59,1532,167,25,73838,20
