year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3045024,974,47,194986,75,359335,247533,1787,5790,2407,8367,3385,167419,216874,219783,210329,34016,1286,8791,415,5725,5780,221616,689,210,20002,948,1078,17,250,19626,92,30493,14338,119,224697,16135,671,211814,150,9992,75,788,196606,770,70,152149,218582,1229,6200,514
1978,1501614,1623,708,1813,14057,34123,144430,4899,291,20134,1279,41,614,181103,11929,3756,5590,4250,130900,912,13715,1946,189957,3758,331,1773,852,4329,35,197,23934,134,23391,3598,62,148282,1393,743,171616,3304,2789,129810,548,179155,3693,25,9600,16471,1119,2316,286
1980,2301336,5450,37,491,24,177408,1288,237784,142,2566,585,31,1823,230139,203186,12788,2098,574,317,86,7799,12374,230461,8306,908,2143,420,996,43,288,220002,24620,28297,41625,417,6508,23252,291798,210787,823,15467,385,370,42618,4915,17,212716,8566,3733,23805,60
1982,2821427,167209,46,167093,1700,25718,1808,188392,2304,20856,1239,21,5729,218223,25633,1693,724,1655,0,14592,3520,872,9416,256558,23578,185903,1088,500,785,840,5320,3994,8226,178959,44,11916,1482,16763,524263,836,4913,8798,146537,142210,1608,36,432598,1177,2585,1421,46
1984,2743819,21732,464,11521,2403,6249,2005,5318,292,2397,3191,32,202460,239229,239779,206765,657,1920,0,145,12018,2864,216360,1369,27788,7709,154,149,489,282,3654,277,41787,922092,24,3706,3917,4087,285738,129,846,394,3847,31320,213871,50,8236,1137,1828,1104,34
1986,1337486,405,351,272,180,3802,16390,2143,79,522,2500,201,1202,146181,162791,25223,222,786,12007,960,132762,428,17779,197951,7478,10249,1932,444,1130,564,1169,222,193760,340565,29,3431,723,1864,3409,403,11857,252,1842,6255,9497,10,2449,11512,195,1053,55
1988,1847383,483,133,209,109,33974,392,373,67,253679,1056,638,178,186890,4533,1009,233,610,467,204,191050,298,3571,1676,1710,2720,882,222372,390,617,5511,7786,222247,228955,45,1398,3251,222591,1693,712,8375,43,1179,6009,597,4883,1375,219145,234,762,69
1990,1720155,13041,5820,842,390,362975,1805,9404,76,12391,161616,250,2478,3193,162901,166233,770,121047,3296,20410,968,7191,2684,2207,150,200664,297,17060,236,3737,18537,84,5138,203593,91,20220,899,1007,13436,1051,601,68,837,5300,1603,301,143500,8365,6390,4178,824
1992,3677835,35999,4882,2717,13168,466218,1417,34178,503,273842,254923,63,318,3909,23239,291017,1472,4540,245339,1628,11110,4990,291357,542913,430,27493,6787,14679,3932,836,5470,702,62122,5222,270,249731,5147,5437,491775,74,10659,45,217288,10256,6201,102,5266,34067,134,3728,240
1994,3273488,175974,129,1087,8857,473664,821,188208,41,12051,7114,824,757,5551,13846,3411,3121,280308,0,8989,707,9820,12427,244024,818,4124,1876,185468,152232,2816,142299,211,230808,171254,1566,41939,6423,263392,172342,1305,5106,152,182857,23794,1030,7571,4419,44382,273,172733,567
1996,2854850,38666,153,255755,5597,262451,1010,232086,45,3274,9981,5592,14124,253241,33092,34485,12863,254694,2502,791,1483,281394,3664,4280,757,15942,951,375,1983,8670,15388,876,8457,5654,598,30976,3325,5230,460736,121,1389,189,1684,19033,6195,144,615,517174,58,36713,394
1998,731560,1007,104,3240,732,44522,14850,157926,69,1148,1867,168,2128,10410,13864,1516,4145,9697,191256,162,649,1134,3861,6923,1299,934,1112,139,6322,1264,12337,2974,5909,15080,363,4183,864,9851,178612,87,888,33,1401,5174,1029,87,458,4946,56,4556,224
2000,1770889,288,24,1103,23180,219414,1019,227335,61,246086,3371,177,112,19591,8445,1023,8776,2499,179,190,2502,361,299007,325391,422,6189,3061,150,1521,1713,303093,1986,3492,2088,1188,3255,864,788,8261,116,792,34,442,4261,613,27,5961,6564,12237,11583,54
2002,939613,19258,22,7084,279,5247,173723,2201,39,31471,158370,346,267,2134,11391,4369,7996,15067,2758,5416,6226,551,1262,1272,705,675,81,114,940,540,1083,1294,182716,2821,3692,1528,2076,1198,30186,189,216,1368,3073,17026,224296,79,531,5624,266,408,139
2004,818434,450,32,864,579,5899,8214,5059,54,2026,7284,228,104,9290,290499,1880,1089,1302,115638,466,386,447,1479,2197,402,2342,81,803,523,322,1445,1347,303932,2836,232,1839,373,1582,23136,134,346,1528,991,9763,765,40,1786,4541,478,943,458
2006,3006557,380,300,7573,423,14361,13435,250366,241,272270,302517,230,3179,17909,8656,14537,7174,16291,1400,137,474,340,10109,4604,230,722,214,2142,25793,14017,200620,211382,264828,124154,86,465690,437,983,500478,76,1048,51,600,5068,377,1108,12279,11208,572,19273,196215
2008,2821479,295342,3045,2740,69,396566,1300,6307,157,12346,1257,51,347632,5856,1245,1106,4666,3808,585383,958,360892,351,19646,10685,973,13885,81,5835,3694,2770,7418,1373,35285,2232,148,311483,308,418,30243,90,7175,67,466,6857,224,11,322341,3458,503,1887,846
2010,3103874,18557,56,44586,1707,256088,5976,3986,337,5920,14092,2087,871,224965,191229,28803,488,240155,416,1268,1054,6416,19402,36187,3848,19838,112,253,268079,33173,14627,7745,621583,195141,881,10491,660,4247,224721,2318,2045,16203,1101,113296,4278,77,237670,27876,180520,8408,37
