year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,38880,0,0,730,0,7646,0,310,570,127,0,469,0,0,237,0,0,0,0,203,258,51,2692,42,0,407,106,2522,79,0,164,426,644,0,128,9163,0,0,2696,345,0,0,2869,399,521,3760,226,35,0,40,1015
1978,2059032,9,32,0,20,0,249,0,295,0,18,0,63,1364,0,8178,626,143,0,149,0,818,4651,316,359,0,658,67,0,17541,564,1841,0,1049,0,0,78,155,0,34,663,74,351,302917,0,0,1222256,0,493351,0,143
1980,1108396,8651,1417,72368,257,212,31588,469,0,7766,28126,21,439647,459,1489,1340,112,93,229,0,81,0,0,0,0,4547,0,0,180,4635,0,0,43,253208,0,50,841,1252,14091,0,51,234,0,0,35,209124,0,1225,0,24555,0
1982,107524,0,0,300,0,1801,0,4412,705,155,0,19,0,0,1248,0,0,0,0,180,117,165,294,2331,106,29566,502,54,14764,0,8305,1500,11,0,98,346,0,0,209,14895,0,0,149,257,297,9011,15055,39,58,95,480
1984,1341356,121,46,0,395,0,96,0,207,0,22,0,37,24242,0,608,27,1292407,0,37,0,832,3983,299,176,0,316,5561,0,268,97,44,0,5727,0,0,29,77,0,39,68,34,109,292,0,0,52,0,5082,0,26
1986,1662899,1211897,849,193,140,41345,34915,95,0,951,25417,37,8822,84,172,79,51,35,2686,0,186,0,0,0,0,3066,0,0,2692,85,0,0,1524,0,289013,138,784,116,460,0,110,8317,0,0,39,100,0,21563,0,6938,0
1988,501166,0,0,339,0,1070,0,160244,147,118738,0,24,0,0,64,0,0,0,0,20,153,86,175,355,1397,65,6133,370,4881,0,1204,120,58,0,202,438,0,0,72,1013,0,0,91,230,65,57,46,18097,97,4151,180964
1990,36117,190,71,0,4,0,422,0,116,0,0,0,165,92,0,1041,37,4469,0,166,0,441,319,12107,0,0,55,262,0,70,9047,39,0,3273,0,0,18,1520,0,151,81,1554,57,158,0,0,21,0,63,0,108
1992,1607868,83,362,126,205,3235,980,1500661,0,89,50993,77,501,788,301,45,79,114,0,0,46,0,0,0,0,1707,0,0,662,10058,0,0,4019,5088,205,1058,199,2650,10612,0,8507,79,0,0,331,712,0,1339,0,1957,0
1994,66502,0,0,395,0,21588,0,604,472,49,0,35,0,0,60,0,0,0,0,144,257,289,970,3247,58,140,137,890,796,0,7769,1340,287,0,334,390,0,0,13364,99,0,0,413,165,50,817,10151,646,57,272,217
1996,1803383,1713,17,0,2930,0,2585,0,174,0,46667,0,281,348,0,3244,107,527,1700102,2825,0,1482,244,958,42,0,3402,387,0,8891,794,64,0,1860,0,0,299,5395,0,103,946,12229,138,718,0,0,3299,0,28,0,584
1998,1635119,120,25,45,502,813,108,76,0,135,1599,21,47,9920,99,58,72,1145414,76,0,50,0,0,0,0,1039,0,0,435864,50,0,0,12574,4896,105,510,66,107,115,0,1700,125,0,0,84,31,0,303,0,18370,0
2000,2562982,0,0,12,0,213,0,97,605,3530,0,34,0,0,69,0,0,0,0,57,122,19,31951,2564,69,19663,7598,17901,342,0,9131,155,532,0,163,140,0,0,1753,338,0,0,77,76,70,48,4081,2461379,24,139,30
2002,373179,237,14,0,1408,0,3398,0,277,0,1802,0,76,168,0,772,14,97,348,300,0,23,162,17213,15,0,83,16,0,4258,848,93,0,1135,0,0,180,297,0,24,806,337501,852,588,0,0,13,0,123,0,38
2004,530990,68,8750,24,609,204,3675,71,0,67516,260,27,6,43,141,45,46,49541,144,0,87,0,0,0,0,477,0,0,120,80,0,0,48,4022,62,111,605,80,714,0,913,391188,0,0,50,36,0,556,0,671,0
2006,2812316,0,0,854,0,134,0,766,47,169,0,137,0,0,14,0,0,0,0,28,839,58,341,201,101,16076,406505,110,397,0,327,49,15,0,52,559,0,0,283,1725,0,0,11377,126,80,76,2370445,288,28,57,52
2008,3225186,118,317723,0,24,0,766,0,97,0,385,0,140,52,0,131,147,2429,2050,164,0,69,98,2887646,162,0,38,272,0,2061,421,165,0,1153,0,0,265,7189,0,39,364,136,72,580,0,0,85,0,113,0,32
2010,70569,91,3986,135,184,804,30460,20,0,180,221,27,38,0,380,85,41,647,224,0,118,0,0,0,0,437,0,0,2458,151,0,0,14,602,27,270,40,253,21014,0,64,0,0,0,96,71,0,3821,0,3610,0
2012,411710,0,0,8901,0,134,0,22,56,491,0,135,0,0,2426,0,0,0,0,150,78,1511,190,67,302,324,5778,351,57530,0,219,2505,15,0,321144,2264,0,0,1013,95,0,0,68,329,63,38,2447,194,142,2700,28
2014,220943,6,17680,0,281,0,21359,0,451,0,1420,0,90,698,0,1177,724,344,4313,62,0,156,463,781,172,0,265,75,0,8094,459,690,0,33561,0,0,52,222,0,49,254,154,87,110,0,0,126564,0,107,0,23
2016,824185,107,270,479,145,157,2510,38,0,1399,433,31,54,353,857,136,88,403,423,0,128,0,0,0,0,10478,0,0,13302,739140,0,0,2486,2539,19,185,42,141,40046,0,9,43,0,0,47,102,0,261,0,7334,0
2018,8259234,0,0,15174,0,1231,0,20,169,8190005,0,45,0,0,2354,0,0,0,0,209,68,139,1980,280,455,2451,6582,225,3241,0,660,128,7712,0,722,1824,0,0,506,158,0,0,722,12870,78,49,326,300,7764,728,59
