year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9688780,2422,343,198975,273,421609,253454,8811,15492,28,9252,14084,28451,168354,255339,225110,351190,59306,4853,18851,483995,13861,10279,250976,2034,39520,44782,4287,6337,7381,1512,63144,24145,54295,25106,4377,4369813,122628,1030985,250955,1933,17522,65307,6926,213884,2317,7312,233381,228221,2592,59857,2919
1978,4024101,2706,1229,3026,23534,56964,146838,8170,974,0,33642,2141,65,1123,185199,19926,19933,10383,7325,130900,1769,22918,4594,214159,6786,1137,2937,2520,7347,54,29653,40922,3299,39028,7746,102,152545,2450,1492,180224,5572,5755,130321,1485,733414,6172,38,1238279,27525,495216,3851,713
1980,9454384,104782,2566,121939,838047,194243,55173,243138,24419,28,17701,48607,34751,442765,234161,209942,24399,3892,73863,5559,11292,28074,2544748,240662,22052,81087,14105,908,1737,462,8362,225505,41555,47327,523614,779,12075,40479,295914,261239,2476,116032,1188,1618216,71917,8315,212495,224820,17167,12918,86688,201
1982,3206881,168549,75,167778,2832,45892,3013,200424,5026,0,35096,2048,61,9577,230336,44918,2817,1202,2749,0,24695,6061,1697,16188,288161,39583,238656,2651,917,25995,1398,22748,9177,13684,184251,232,20451,2466,28019,528020,26298,8203,14710,146993,144591,3176,15124,460537,2011,4409,2509,877
1984,6476650,36802,947,19373,4953,10885,3666,9171,1188,23,4130,5674,1155,202619,284924,243823,210832,1250,1295931,272,583,24793,24488,227877,2087220,46984,13228,1059,9618,926,1009,6559,859,71076,966688,179,6552,6675,7901,313337,10981,1681,909,7122,52993,213971,561,14050,2646,12827,3511,169
1986,3271100,1212567,2004,768,520,75400,85767,3729,128,0,2439,46654,389,16753,156807,169971,42290,447,1351,24562,1600,135109,681,29680,203777,12494,22249,3228,734,6383,1078,1921,362,213527,350853,289061,5925,2503,3292,6431,670,19993,14326,3055,10408,15938,175,4074,55285,320,13332,90
1988,2891531,1164,468,1215,872,69585,2960,273984,1271,23,454671,2086,2660,493,223156,8003,3026,1179,2042,2122,1440,208291,2890,8479,6239,5502,13621,15791,223369,9111,1226,11943,18956,233173,238619,1230,4220,5936,229159,29272,3913,14238,3596,2622,11268,1218,19660,2673,305639,6888,19019,181350
1990,1946208,22108,9847,1393,647,379011,3709,15709,315,0,20686,164994,411,4413,5448,165741,168042,1331,128740,5510,34397,1606,12738,4967,23913,243,208776,582,28956,389,6359,46089,202,8483,210571,150,33764,1521,4204,22422,2005,1124,2708,1469,9081,2675,498,144995,13969,10782,6963,1552
1992,6558773,63073,9944,32839,22748,511738,9970,1560483,2509,18,313605,696881,1153,1896,8379,42380,309801,6506,19675,251249,4132,19233,8633,297869,544350,2329,49875,27868,24901,22556,91735,30317,2787,110615,214691,1538,290013,10389,14588,518480,448,39191,9181,223690,26241,11297,1792,15165,59995,918,15347,3762
1994,3655807,176154,214,2469,14796,555917,1360,190632,852,0,20187,11865,1426,1258,9234,23226,5693,5212,280670,0,15264,1584,16876,22356,260356,1454,7104,3362,187057,153602,4700,155881,2585,247342,182606,3173,70738,10724,269702,209044,2343,8526,250,185646,39998,1797,14021,24333,75273,541,175096,1308
1996,5962313,70247,663,282332,14687,300970,74718,235360,900,17,9375,190972,9538,24436,262680,59371,64282,22056,398145,1705180,6301,2975,287325,7236,9201,6393,29829,21973,1621,467587,30627,27430,3981,14394,18552,3675,54883,8117,19624,464795,479,7808,31435,26087,38433,10628,478,40958,527952,715,62530,2362
