year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,11832152,1451,167,195530,150,476704,247103,4704,7855,15,5078,7401,14826,167370,234049,356860,286203,50841,2541,86222,483524,6678,5629,221696,207891,672249,23659,2184,3717,3874,763,33042,11618,29741,125580,2365,4337856,71828,1030488,379066,1133,8919,49820,3497,824969,1180,3824,190511,223251,695823,29217,1515
1978,5169886,1376,699,1604,14541,247191,144192,4048,566,0,16082,1088,40,670,181885,11336,9457,239665,3418,130908,1117,102409,2324,189813,3642,97822,1617,1285,3411,31,15884,32648,97612,128597,71250,62,317378,1362,728,171198,2753,72063,129751,822,900133,3288,22,1229896,15430,564436,2019,338
1980,9870000,53751,1309,59326,837797,175279,25752,238395,14381,18,8409,23992,17790,441494,231302,204617,12462,1970,274158,3151,6456,14247,2535819,231136,11147,173631,7316,492,980,249,3946,219663,21833,25232,546125,391,102862,40922,293710,390432,1424,62210,622,1617974,448813,3972,210643,211800,8561,7005,44941,118
1982,3047520,166862,44,167333,1647,24519,1606,190527,2731,0,19144,1059,37,4916,216323,22887,1483,629,1483,8,11448,3272,962,8692,283381,32324,212262,1430,488,14637,756,13010,4738,6946,178360,128,138809,1497,13517,523972,12877,4793,8353,146617,142096,1654,6837,445088,1071,2342,1508,443
1984,8051148,144460,492,9585,2805,137066,1842,4837,590,14,2282,2670,741,202522,258421,239215,208488,702,1406511,137,311,11138,12140,218801,2085944,199562,200518,569,5106,527,552,3410,467,34789,955726,103,154826,3681,4157,475488,5350,982,512,3596,818015,213896,277,7768,1454,5948,2087,93
1986,4857400,1308713,1085,146902,286,35015,43696,1846,68,0,1268,22311,217,8220,259368,161223,48354,109506,755,12323,880,132609,386,14897,197254,86839,141146,2025,415,3404,663,1042,204,292461,337668,289039,248895,1441,1643,255911,395,10588,8069,1625,529436,8694,89,2222,28686,90905,6679,55
1988,5567599,684,248,653,456,57872,1495,228524,650,15,361541,201469,1553,279,340302,4279,1628,169358,1217,1227,879,317355,1543,4316,3236,2810,6652,8743,222851,4631,682,102177,109504,758137,453334,774,2469,3122,225913,594093,2021,6911,2122,1291,592196,675,9294,1519,441664,122036,10045,181177
1990,4915357,13375,5806,860,369,458408,1999,8393,165,0,10736,1194317,215,2680,2848,162545,167331,711,266665,2672,18474,869,6093,2660,12889,323551,199078,324,14351,219,3542,23702,80791,4572,206355,83,141747,800,2110,618766,1028,612,1417,802,713008,1629,272,143210,6526,81248,3765,795
1992,7045002,54525,5098,16468,11539,462923,5255,1554019,1535,12,288601,465180,660,1025,4268,21093,297368,3448,10162,249271,2423,10091,4685,291420,543198,1165,25905,17549,13043,10603,48685,16036,1544,61083,109417,830,456812,5525,7715,1037502,247,21223,4850,220338,439499,6420,962,7629,42613,173412,8155,2000
1994,4092237,175956,122,1256,8302,495477,139377,188444,494,0,10969,6070,835,685,5058,11829,3637,2820,280225,7,7848,843,10484,11694,244649,817,3851,1946,186251,152911,2500,149330,1231,238819,267781,1585,333133,5617,261280,181106,1193,4727,125,183104,262584,1000,8040,14668,47731,286,172842,728
1996,5808413,49891,345,269276,8014,265721,39790,231767,489,11,4934,233303,5238,11609,251637,48980,33267,11798,331274,1702683,2934,1519,282478,4107,4848,3874,14325,11804,819,466200,15282,16260,2242,7998,9964,2194,27808,4052,10512,461230,286,4317,15374,14238,19856,5890,269,23041,515593,317249,40673,1174
1998,3028175,947,117,2917,1220,115565,13523,157872,62,0,1204,341416,180,2128,300854,10498,1440,3280,1153762,191331,146,640,1033,3365,6740,1285,1894,999,121,441721,997,11326,2733,12103,18798,395,4117,866,8607,177772,80,2183,134,1185,4837,1036,104,424,4419,51,19569,199
2000,17005858,526,100,2607,22954,224060,2016,227548,952,14,6227487,203097,360,153,18514,7884,1353918,8425,2622,1478,2992,2456,459,327891,337215,671,30815,9371,15682,6903,44137,310134,600417,4963,2460,1161,8872,957,1534681,345854,502,1053,180,5197,4019,679,722,9531,2469408,12960,2608704,119
2002,2438847,20478,40,5954,1561,4806,176847,1826,291,0,28291,507106,342,334,350636,10236,4583,6605,12866,2879,4551,5547,522,1363,15904,593,612,150,120,792,4571,1609,124215,182213,3561,3304,126892,2094,1276,25764,179,987,338895,3687,223022,224283,66,483,5035,347,375,181
2004,8057049,595,8937,1470,1844,332213,13215,5045,1334,11,69858,1045913,1238,139,9206,290422,246116,1072,220490,116018,1264,871,527,6941,8801,573,3676,249,800,11436,43302,2908,757417,324241,6311,360,239282,974,5878,456321,306,1277,392721,233672,182420,779,236,2651,6063,890,2998347,438
2006,6756202,341,291,7351,418,383832,11834,250223,247,0,266790,424851,321,2843,17045,7250,13010,6535,16271,1193,154,1206,360,9261,4176,298,15619,406690,2106,28399,11603,431105,211383,259578,206217,132,465501,395,813,500187,1773,1013,43,11029,172296,431,987,2380844,10110,543,15067,196263
2008,21731488,293829,320194,3381,255,1101468,2965,6569,331,12,19549,4494,87,347886,4993,82194,2054,4447,6042,321859,1276,360997,479,16536,2897700,1495,2937243,13215,6326,4443,5178,7136,1715,7753460,4313808,1121,313412,587,7175,25394,222,7984,1332,841,198466,299,65,323851,3280,1000,2025,843
2010,4022877,16721,4051,55103,1963,391773,32156,3247,301,0,5778,350316,1962,848,223669,191418,27686,488,240514,566,1006,1117,5542,18578,33944,3636,17202,105,223,270171,54251,12681,6866,618780,194825,899,10354,636,4302,400106,1916,1932,241959,881,112740,3935,129,236039,28547,180477,10525,37
2012,5080174,513,407,312622,839,41315,24284,11535,365,11,439821,644373,1039,222,563993,55995,5154,211853,6163,678,823,709,391693,352901,359543,1113,1669,6447,42244,57313,10056,3021,3266,90413,357859,321800,277385,563,1431,13806,806,1985,614,1196,193955,245500,124,10770,2904,1430,5569,108
2014,3483186,261,15096,223505,2082,265295,18512,3106,567,0,260312,769007,5024,308,16161,1185,19435,1152,704,4650,2688,191283,1761,4497,269633,315,1936,604,6665,9311,13515,2792,1055,231144,37474,249,145050,303,868,445000,369,858,236,599,232946,2957,54,107966,155501,7897,1261,58
2016,11677578,1424,817,8773,478,343720,7196,1176,811,11,67459,730164,148,219,451725,1856,4036,1130,473914,2037,9533,1615,535,4801584,748085,431,11212,477,515179,340271,1540889,5448,1314,10583,9604,113,2347,367,1897,949730,426,1078,215,524,469557,809,191,6163,2925,415,146889,104
2018,13063267,590,1620,16387,2192,148569,2481,1021,248,0,8233931,874042,91,244,278621,4067,26785,265723,7599,250,281667,636,592,15985,301151,540,6416,9577,17345,5440,1302,313463,42728,331789,477589,827,12077,239352,1123,262219,348,288566,118,1070,263976,269647,83,35205,7488,7887,2491,134
