year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,4656807,888,47,194774,69,441316,247228,1526,4735,2118,7788,2714,167374,216419,355300,209380,57798,1194,83666,326,5451,4941,225279,207363,93865,17330,976,923,16,214,18473,76,32848,125889,119,220485,13338,615,362743,134,7741,62,713,816480,693,61,151986,218502,129159,5222,474
1978,2821511,1533,556,1487,15908,241672,144200,4054,304,19776,1128,41,562,180779,9922,3495,239648,3668,130907,861,102970,1782,184747,3323,97446,1671,779,3905,31,187,26669,95826,128058,70364,57,317202,1255,640,169826,2538,71572,129772,477,309979,3276,21,8702,14723,71065,1941,228
1980,3418868,5358,28,430,22,174621,1199,237212,142,2352,509,28,1814,229973,202503,11620,1902,236747,313,74,7128,10681,229137,7183,128995,1995,406,809,43,249,219847,19196,23554,147744,410,102544,38071,291695,368541,680,13030,349,358,444536,5086,16,209779,7808,3371,28749,56
1982,2957304,167125,37,167064,1519,23198,1548,187935,2014,23620,1115,23,4971,217753,21231,1572,687,1595,8,11502,3216,760,8219,281810,26578,185229,983,497,683,763,4917,3543,7152,178611,34,139569,1376,15748,523619,716,4597,7467,146516,141745,1455,30,432267,1145,2258,1268,39
1984,4591978,145591,408,9528,2333,136835,1728,4982,288,2193,2709,29,202455,238479,239035,206724,618,113840,8,126,10227,2441,215337,1274,187553,200385,156,144,432,274,3129,277,38202,937014,21,154854,3474,4067,479371,127,758,347,2890,816981,213861,42,6917,937,1602,964,32
1986,3220932,96831,358,146720,159,3398,14135,1849,74,453,2011,178,1033,259139,161693,37774,109468,704,10459,794,132760,374,19911,196956,86825,138200,1693,390,1042,528,1012,222,291199,339730,29,248954,652,1679,255737,352,10640,205,1524,529839,8933,10,2227,10143,90910,1005,47
1988,4878196,444,139,191,106,40755,349,333,55,253268,201307,629,167,321418,3822,877,168917,561,472,183,308683,268,3107,1474,1515,2365,823,222363,345,536,100698,107597,755404,451454,41,1317,2682,222568,580328,606,7664,41,1078,591892,561,4056,1140,394223,118590,740,67
1990,3567338,10487,5087,861,344,458005,1538,7767,64,10414,161180,242,2247,2792,162297,166222,771,262549,3178,16646,882,6226,2379,1838,49308,198987,257,15663,220,3038,16477,80759,4574,203395,96,135808,913,852,620693,850,567,71,778,712855,1374,259,143320,7117,80926,3521,671
1992,5021807,65120,4920,2329,10832,457320,1316,50807,395,273138,254275,56,260,3499,23556,288320,1413,4204,245338,1521,9425,4359,290695,542804,378,24897,6781,15177,3471,687,4514,745,54204,4251,289,437419,4056,5280,1029041,65,8847,42,217196,433821,6009,80,4342,47815,173058,3234,225
1994,4027505,175941,120,911,8125,499790,139453,187888,36,10151,6025,643,732,4886,11568,3163,3041,280251,7,7852,635,8830,11023,241395,706,3971,1620,185461,152231,2878,142224,194,234437,268014,1279,323772,5869,261760,169042,1074,4634,146,182219,259495,899,6647,3792,39825,263,172129,482
