year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,80178,292,32,1630,28,1437,3987,372,3249,646,4661,1471,495,890,783,2125,64422,676,2835,194,2956,2728,36188,151,59,7932,633,453,7,84,10747,35,30263,5231,69,8041,5820,233,7308,73,3962,27,236,747,377,32,1713,274,434,2466,263
1978,54651,969,228,610,23953,23521,1267,1618,197,28045,618,17,244,763,2790,1487,3053,2240,0,454,7047,1145,6401,901,82,592,446,2794,14,107,25974,49,4500,1283,31,2368,495,314,2976,1371,1051,315,158,16019,1756,9,3241,6341,526,480,125
1980,88626,3892,10,139,8,4316,500,1481,91,724,139,15,849,392,1291,5888,948,165,119,28,3818,4118,3625,3422,474,596,198,353,35,73,3861,8226,6491,22134,233,2510,47889,544,39006,322,4507,176,134,37164,3816,9,6483,3473,1998,36230,36
1982,102071,1048,22,80,801,7337,467,3139,1483,25779,377,10,1811,6084,7530,568,223,764,0,5835,1951,234,2614,74390,36655,1133,584,245,239,496,2273,2150,1922,3931,15,3616,908,9609,1155,282,2160,4395,89,524,602,16,1386,378,1238,339,17
1984,108861,37236,250,5202,1499,820,954,2424,189,541,1056,11,31,2083,1839,162,251,797,0,65,5004,826,1639,429,39231,3055,80,62,229,158,760,121,31195,66432,11,925,1489,1773,60291,60,211,208,1488,8756,25,18,2660,289,594,313,16
1986,72336,129,216,91,55,347,5314,842,37,67,873,102,540,4290,4035,50446,53,456,5018,481,1562,54,28219,4921,4113,2512,953,121,411,369,188,101,37107,7155,17,975,410,728,705,206,4454,151,545,2509,4639,5,728,6303,82,466,22
1988,53396,164,104,54,43,50586,80,96,27,1197,228,401,64,1642,1206,275,72,163,270,79,83,69,792,452,548,918,393,37,150,258,2021,4682,3639,4464,28,342,1260,107,347,300,2461,31,429,1823,187,2262,320,355,127,227,42
1990,26362,5116,2805,384,131,4015,678,2603,40,3167,2073,136,1137,564,1135,49,289,117,1944,8824,327,2468,577,655,71,4289,94,8430,100,1554,6082,38,681,664,75,22379,411,393,5498,367,233,39,248,1167,653,153,833,2215,2358,1137,271
1992,116611,78237,2902,1033,4414,10587,406,71575,219,4341,1099,24,99,668,29878,11288,750,1862,87,1017,3489,1289,1660,335,124,10002,4734,10025,2305,310,816,419,15517,1212,154,2053,1289,3585,2752,30,3975,24,134,2141,4917,34,1581,61483,69,1278,135
1994,88807,57,65,236,4372,74791,367,825,18,3513,2305,321,434,1304,3247,1413,1727,185,0,2828,191,5936,3210,5740,227,1775,1021,92,37,1702,170,58,30924,5745,617,38981,2366,3947,6596,562,2587,105,858,16406,378,5033,1196,28715,118,610,312
1996,127879,61175,122,143,1917,69273,293,1580,28,625,3934,2650,7094,4337,65201,64593,3600,1252,1041,360,267,2128,758,1243,188,7501,413,132,969,3998,5426,270,1500,1299,263,8582,1374,1443,820,74,789,118,443,5391,3123,69,141,4651,43,11958,180
1998,29314,235,41,925,394,14354,6802,233,45,418,544,102,893,5446,4554,473,1351,3932,8,77,147,360,710,2163,608,292,379,46,2973,799,4655,1235,1433,24709,163,1191,179,4372,2282,39,239,13,314,844,513,38,119,1138,23,1472,100
2000,103667,74,10,416,29221,32776,187,583,31,67259,781,66,34,7977,2433,491,3096,826,38,59,1002,64,265,48548,201,2490,1038,48,579,643,1333,806,531,544,606,786,216,252,2184,39,241,11,95,778,162,9,2922,2573,4701,5630,24
2002,32768,25559,12,2219,91,964,274,854,24,12179,4857,236,93,569,3202,1516,3904,4727,2089,2866,2546,106,307,480,372,153,56,37,337,269,241,394,930,617,1851,234,647,337,10347,79,45,719,1417,4042,80,40,136,2437,110,91,51
2004,11146,114,21,188,187,1077,3269,1644,33,515,4378,91,41,4568,899,546,364,444,640,149,83,84,289,682,145,879,58,330,250,110,342,642,902,649,101,343,120,655,8304,42,73,1231,269,3612,493,25,502,1660,163,273,213
2006,65698,99,209,3722,134,3861,5976,2912,112,43337,105,108,1527,7353,3144,5406,3722,7420,525,56,110,83,2971,1715,56,127,80,590,38958,4512,468,140,8224,960,34,3046,116,365,3204,27,299,18,158,907,97,743,6075,6750,248,5022,0
2008,19755,3602,1677,737,21,8149,351,2690,87,3502,282,24,37,1856,282,224,1084,1480,3758,536,132,45,6099,3690,434,7403,58,3373,1333,1086,2746,403,8661,582,71,1623,73,190,10574,57,2830,37,125,1273,84,5,2852,1709,283,640,446
2010,112885,7754,39,51792,592,3261,2830,1900,199,1088,4186,772,337,8406,398,29430,181,380,101,665,356,2312,8161,37616,1409,5721,70,92,82,78070,6114,3242,5783,927,734,2046,282,1199,74937,1031,749,7396,296,1563,2478,36,2975,9202,373,3339,33
2012,126292,101,30,3922,226,8350,9546,6632,37,3814,829,522,53,1093,85887,870,146,2980,265,147,95,119,1451,833,88,130,334,65539,1134,3191,495,218,46963,1530,235,3103,186,418,4420,283,442,140,403,1781,47,15,812,729,1028,501,23
2014,55647,77,296,1460,1041,15917,642,1277,87,4042,577,2972,112,7199,416,6987,200,143,139,1241,192,620,914,1050,44,1148,171,2839,7558,2579,491,235,54507,370,110,192,100,250,453,133,204,50,122,508,1807,32,354,1117,2589,340,23
2016,81548,554,164,919,126,9977,601,188,184,5746,151,18,53,1353,294,1036,252,135,429,532,306,126,372,14169,52,150,143,31,3180,79356,1972,135,1820,524,20,224,163,387,1130,94,241,67,79,598,277,9,1177,565,182,215,65
2018,74907,160,1119,1126,1086,6375,905,372,57,42526,223,19,118,2485,634,9122,335,3714,62,39,185,194,3288,3032,111,2993,2679,9423,857,876,1845,49785,34748,1882,68,3478,174,404,12835,64,444,46,131,10976,249,27,13960,3269,425,343,57
