year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6022963,479,133,246,89,20440,526,3151,2419,15,2643,63,11386,138,19470,1283,72978,1086,1559,2562,482968,2056,320,2583,417,16292,5913,1290,187,3612,517,14334,10146,802,707,2187,4110456,45278,1029876,10120,587,526,63188,472,7046,100,471,40641,4698,264,24079,186
1980,5241376,47805,80,66,837582,264,126,725,14120,21,253,310,17138,38,1314,235,393,115,37110,2444,5097,7150,2524090,1714,4129,41210,1798,110,41,57,74,357,218,22,15757,41,559,96,603,1354,518,48413,96,1617616,342,27,1702,437,428,3964,3171,70
1984,2114135,159,63,57,169,250,97,156,188,14,85,190,536,34,465,135,1092,68,194,152,141,2751,9782,217,2084449,131,178,153,38,73,54,134,179,461,134,79,179,51,567,1320,5872,88,94,309,90,32,264,103,473,633,988,39
1988,121798,199,168,170,404,5402,1176,2846,501,17,148,193,777,113,16854,173,744,456,484,726,674,9028,1348,1033,1672,173,4246,2310,156,164,102,400,3353,459,246,564,669,275,3275,13660,539,148,1685,262,431,61,6686,223,27442,3127,5706,151
1992,478405,1372,719,17273,177,297,3047,1554,802,13,16167,178777,501,315,329,1900,1885,2093,6619,2933,1052,351,214,1048,420,927,614,8740,202,7625,42532,11245,888,47,114407,393,21694,686,602,684,199,3909,4349,3537,5544,249,262,3365,436,376,3432,1626
1996,731061,1340,220,13455,258,391,40513,204,272,13,2322,55408,112,184,254,2241,655,179,81922,645,135,273,69,394,261,2740,1986,7089,201,464279,722,192,1109,132,2843,1500,1762,1295,959,748,64,1664,6135,12288,2975,176,143,16632,390,320,646,375
2000,12158273,334,77,1777,2664,520,944,249,421,13,5963110,511,212,40,582,305,1353022,189,277,1292,2714,277,89,2900,12271,279,7608,125,92,5626,44414,277,598605,1314,443,104,6007,150,1533950,4017,81,269,155,5693,163,51,727,994,2042,1673,2598607,41
2004,4097916,111,120,773,911,731,3154,642,1508,12,2798,285,1170,48,768,146,200132,114,175,362,1077,390,145,6600,6166,214,1455,170,63,12018,43614,1326,756304,20703,480,111,14794,76,4423,12704,175,261,163,328,130,37,213,1049,1265,475,2997007,45
2008,15074154,160,158,990,169,115,839,157,112,9,10302,2556,37,110,119,68071,815,297,271,208,234,104,101,277,660,418,2925205,15096,379,499,778,264,301,7722019,4310851,1016,3345,73,255,780,94,987,1020,328,507,89,60,1792,234,491,344,86
2012,152732,145,329,897,141,155,2334,260,227,9,94921,1122,46,76,281,610,2023,157,134,264,331,107,125,838,1207,622,858,413,138,1712,2342,300,693,1067,17854,210,8545,70,524,2476,103,688,226,168,297,28,62,4437,326,107,1710,41
2016,5944565,89,350,5502,119,84,3328,393,617,11,54759,2929,64,69,263,197,821,165,82,192,8190,811,108,4799284,30436,249,190,173,105,15393,744296,351,876,441,5133,54,991,53,631,154695,307,299,91,104,1004,170,98,2473,246,48,107220,35
