year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6041778,397,129,227,83,28741,528,2830,2390,15,2957,73,11405,127,17445,1264,75508,1164,1351,2547,482968,1770,292,2487,472,23943,5635,1163,198,3787,513,16287,11145,802,646,2143,4110456,58775,1029876,11627,681,424,49753,499,7842,88,467,38788,4657,341,23910,183
1980,5240604,39878,88,60,837582,239,104,725,14255,18,272,394,17741,40,1016,234,439,102,37346,2644,6375,8048,2524090,1780,4149,44728,1421,133,46,53,67,433,222,22,16241,49,684,110,717,1348,619,48430,82,1617616,383,24,1505,467,433,3804,3310,64
1984,2112671,153,54,61,171,274,88,192,169,14,85,159,708,34,486,128,1258,75,175,128,149,2225,8976,178,2084449,145,218,162,40,66,52,179,168,461,154,78,221,50,443,1566,5202,82,115,268,115,28,230,113,382,714,1010,42
1988,125566,220,137,144,358,5619,1146,2793,439,15,132,162,875,129,19023,207,676,439,655,767,675,8558,1198,998,1400,178,3942,2349,156,161,144,519,2752,459,294,527,766,253,3334,13698,607,140,2079,264,550,70,5025,179,31340,3370,5534,137
1992,437787,1532,772,13788,221,315,3187,1572,1039,12,15968,162457,530,347,302,1464,1796,2020,6355,3932,870,334,195,907,416,768,583,11593,218,6939,38178,11286,903,47,100638,395,18407,653,583,764,175,3781,4738,3091,4931,208,242,2883,388,359,2944,1784
1996,712697,1281,194,13568,232,430,36792,209,295,11,2035,42132,104,201,253,2233,612,203,76553,499,138,287,59,443,231,3107,1619,8133,190,464279,731,211,1370,132,3288,1607,1771,983,934,719,66,2198,5496,12666,2543,138,138,19815,435,293,501,361
2000,12154042,282,75,1634,2838,519,1150,239,442,14,5963110,534,184,46,515,342,1353022,184,371,1315,2761,271,106,2981,10349,239,7128,107,84,5475,42485,313,598605,1314,389,100,5737,175,1533950,4447,83,290,149,4723,144,40,654,1062,2335,2100,2598607,45
2004,4138072,127,132,675,767,692,3414,814,1284,11,3058,257,1033,48,770,174,244414,105,169,292,877,465,122,5612,6918,197,1245,172,68,10811,42945,1583,756304,20703,507,96,15119,74,4298,10268,183,260,182,421,151,33,165,1093,1479,453,2997007,47
2008,15084420,154,195,995,170,116,976,149,111,12,8418,3002,36,128,111,81073,889,294,295,208,233,127,109,297,679,555,2925205,13097,347,422,738,332,338,7722019,4310851,993,3469,82,231,575,102,1115,1145,368,493,101,54,1926,281,377,380,71
2012,153747,131,347,902,138,120,3256,233,233,11,95469,1196,45,79,246,740,2330,151,155,244,278,111,154,1020,1371,574,780,448,175,1740,2720,263,809,1067,15802,189,8611,79,468,2574,96,606,252,202,315,33,59,5015,337,104,1452,45
2016,5945084,96,286,6082,89,76,3173,396,487,11,47719,2822,68,60,253,200,895,146,83,191,8433,811,99,4799284,29537,229,194,151,105,12130,744296,331,979,441,5177,61,1024,52,513,133420,270,327,86,104,940,185,97,2626,266,43,139736,30
