year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,118188,302,72,80,44,24155,298,1535,1330,8,2246,50,5194,72,9018,619,59617,624,880,2080,0,676,195,1169,294,14043,2911,596,127,2565,243,7394,5862,0,341,1140,0,36694,0,9023,404,202,74903,382,5636,55,280,23511,3357,291,13126,102
1980,53144,23131,56,28,0,139,63,513,7488,9,174,313,10485,22,529,139,239,43,21672,1777,3877,5716,0,1346,2824,28187,830,75,23,28,32,290,131,8,10149,30,495,64,433,972,365,25429,37,0,224,11,611,302,221,2224,2375,44
1984,5790,83,27,29,100,145,41,143,85,6,52,64,521,19,395,86,711,43,146,54,73,1245,4954,91,0,90,130,79,17,39,23,97,96,0,124,59,132,24,207,1170,2823,37,62,145,110,15,118,62,229,451,730,21
1988,33103,134,83,60,171,3116,636,1413,233,8,67,71,495,102,11116,122,317,266,571,491,502,5739,727,448,763,119,1760,1574,69,82,120,336,1491,0,186,299,632,168,1598,5960,368,108,1695,159,364,52,3391,116,29307,2117,3418,73
1992,101667,1198,488,5433,119,168,1636,902,741,5,9159,78473,321,181,159,815,1218,1198,3827,2782,523,185,131,452,249,341,367,7207,132,3833,18572,6505,450,2,57890,214,15338,257,425,496,97,1971,2413,1830,2580,119,255,1586,208,199,1771,812
1996,53796,669,118,8228,174,234,23960,114,154,5,994,19208,75,160,165,1731,396,147,36052,265,73,192,33,291,113,2105,939,6020,122,0,509,155,829,0,2321,1056,1145,527,533,415,34,1582,3096,11032,1346,69,96,14380,273,170,220,224
2000,26093,150,44,1003,2058,253,764,253,302,7,0,392,89,24,329,262,0,126,319,732,1565,138,59,2309,5688,143,4248,62,69,4323,24753,161,0,0,201,86,3621,105,0,2866,41,196,95,3256,64,18,323,670,1664,1576,0,26
2004,330416,88,83,420,462,367,2197,577,590,5,1795,157,739,25,448,97,328721,57,85,125,486,416,84,4191,3823,116,611,105,36,5572,28190,885,0,0,299,53,7027,48,2783,5348,152,142,131,253,128,18,78,943,1039,204,0,27
2008,66145,76,124,557,80,55,525,83,57,6,4144,2351,22,75,65,63353,518,164,188,132,109,97,69,215,428,504,0,8281,187,196,398,180,170,0,0,771,2486,51,142,213,77,710,829,263,210,61,31,1093,165,180,238,41
2012,51890,48,176,565,94,68,2565,127,162,5,50543,602,28,46,155,399,1513,91,86,113,127,57,96,718,813,412,410,306,101,977,2106,168,607,0,7397,95,6104,72,330,1483,54,360,154,148,211,19,34,2524,198,50,741,30
2016,99428,72,152,4508,39,40,2123,250,227,6,20429,1622,30,32,158,116,654,79,47,109,5322,0,64,0,16757,137,107,87,67,8199,0,224,603,0,3362,39,515,26,203,66881,156,167,54,82,606,160,53,1751,175,27,73387,15
