year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6958,0,0,332,0,4478,0,120,240,68,0,331,0,0,169,0,0,0,0,92,172,17,1393,22,0,197,42,1526,42,0,86,263,346,0,93,4478,0,0,1773,191,0,0,1491,322,284,2957,128,15,0,28,633
1978,572270,5,15,0,11,0,148,0,156,0,9,0,26,1046,0,3396,493,55,0,109,0,390,1807,169,234,0,292,43,0,6909,365,1333,0,702,0,0,49,96,0,23,279,54,160,572912,0,0,0,0,0,0,80
1980,562023,4134,415,50801,130,110,15022,291,0,3524,11893,12,0,221,788,698,91,54,84,0,33,0,0,0,0,3004,0,0,115,2713,0,0,11,565476,0,29,521,566,5095,0,18,110,0,0,16,0,0,786,0,12034,0
1982,21652,0,0,152,0,1262,0,3275,370,108,0,10,0,0,683,0,0,0,0,69,75,147,160,1089,69,15619,307,29,6704,0,2851,678,4,0,62,208,0,0,97,9146,0,0,68,173,199,4676,7473,26,47,51,218
1984,15711,44,24,0,236,0,40,0,123,0,7,0,19,15466,0,345,13,0,0,22,0,497,3041,120,106,0,215,2743,0,178,43,21,0,3484,0,0,19,39,0,15,42,19,56,157,0,0,24,0,3634,0,10
1986,36363,0,528,71,96,20408,24088,39,0,472,13914,13,4756,51,74,35,22,15,1237,0,111,0,0,0,0,1158,0,0,1188,43,0,0,672,0,0,85,389,53,264,0,36,6733,0,0,15,47,0,9555,0,7573,0
1988,314468,0,0,154,0,842,0,305066,54,61863,0,9,0,0,38,0,0,0,0,8,86,30,66,214,768,35,2734,241,2832,0,645,64,50,0,101,290,0,0,38,442,0,0,51,87,38,29,23,12909,48,2205,0
1990,9118,146,45,0,0,0,248,0,58,0,0,0,144,51,0,579,17,2518,0,62,0,197,152,6994,0,0,29,80,0,31,6196,22,0,1653,0,0,8,966,0,85,44,1402,20,66,0,0,7,0,26,0,75
1992,44982,45,228,86,114,1480,546,0,0,36,42444,37,322,528,242,30,50,60,0,0,35,0,0,0,0,1110,0,0,425,5813,0,0,915,3157,70,435,93,1661,6785,0,4866,45,0,0,143,268,0,545,0,1051,0
1994,13718,0,0,169,0,11822,0,264,175,22,0,13,0,0,29,0,0,0,0,79,128,121,597,1608,25,91,78,401,551,0,3895,929,186,0,224,304,0,0,5999,49,0,0,268,63,35,449,5309,257,30,153,90
1996,27427,926,12,0,1977,0,1604,0,64,0,25657,0,196,224,0,1689,56,181,0,1167,0,723,98,569,20,0,2652,226,0,4725,412,38,0,956,0,0,143,2065,0,62,450,7329,69,463,0,0,1757,0,21,0,241
1998,12547,59,16,34,175,490,69,49,0,68,806,13,17,6096,58,29,40,0,55,0,23,0,0,0,0,545,0,0,0,44,0,0,349,1886,36,352,24,69,94,0,986,72,0,0,31,14,0,192,0,11617,0
2000,31145,0,0,9,0,112,0,48,250,2208,0,14,0,0,32,0,0,0,0,35,51,11,22408,1314,48,8992,4540,15986,151,0,4207,68,277,0,77,77,0,0,756,116,0,0,35,29,21,16,2330,0,14,81,13
2002,10673,134,8,0,607,0,2006,0,134,0,885,0,34,85,0,487,9,36,95,176,0,10,62,9874,6,0,60,8,0,2296,313,56,0,763,0,0,77,213,0,16,234,0,479,368,0,0,8,0,61,0,14
2004,36968,27,5241,13,334,79,2012,34,0,32304,150,13,2,23,98,24,17,19403,79,0,34,0,0,0,0,265,0,0,78,36,0,0,17,2361,31,62,183,41,271,0,411,0,0,0,36,25,0,178,0,257,0
2006,8825,0,0,462,0,40,0,482,32,80,0,56,0,0,9,0,0,0,0,13,310,36,222,138,60,5449,0,47,172,0,210,18,8,0,31,358,0,0,109,779,0,0,7869,58,32,53,0,200,24,26,19
2008,5806,72,0,0,10,0,334,0,79,0,181,0,101,22,0,64,73,1239,824,96,0,40,46,0,68,0,21,124,0,906,197,118,0,477,0,0,156,5323,0,20,292,74,31,491,0,0,25,0,42,0,16
2010,23279,84,2043,87,148,637,22049,4,0,161,189,19,21,0,274,40,29,294,156,0,74,0,0,0,0,297,0,0,1239,62,0,0,5,282,16,131,21,118,10042,0,28,0,0,0,49,39,0,2173,0,2300,0
2012,39299,0,0,7563,0,53,0,9,25,346,0,71,0,0,1583,0,0,0,0,42,29,694,156,40,115,146,1930,272,36027,0,111,1257,7,0,0,1374,0,0,506,50,0,0,32,144,41,18,1188,88,124,1906,18
2014,63823,3,12272,0,103,0,9598,0,256,0,859,0,41,424,0,523,347,186,2013,36,0,94,233,537,102,0,173,37,0,4959,195,300,0,24751,0,0,25,135,0,40,163,96,48,61,0,0,50266,0,62,0,12
2016,22913,45,145,230,68,102,2356,12,0,657,243,16,25,219,384,75,47,257,222,0,77,0,0,0,0,5503,0,0,5278,0,0,0,0,1053,8,83,18,73,20187,0,3,22,0,0,26,47,0,119,0,4748,0
2018,12431,0,0,8802,0,651,0,5,73,0,0,29,0,0,987,0,0,0,0,129,28,73,893,76,102,1838,3015,193,1372,0,445,93,0,0,291,772,0,0,197,125,0,0,460,8059,48,17,165,150,4344,424,27
