year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9110882,1335,198,195364,160,388014,247196,5445,7785,15,4754,6807,13401,167362,233478,220774,277328,61852,2569,9352,483589,7201,5358,236133,1164,22145,23992,2188,3455,4150,890,33599,12589,34239,14380,2053,4339581,62925,1030516,224003,955,8536,46514,3786,203115,1228,3692,196215,222858,1319,33584,1765
1978,3666349,1571,636,1593,18067,50812,144053,4015,550,0,16251,1147,36,594,182085,11782,10154,5892,3971,130900,933,13712,2373,191363,3664,651,1659,1275,3734,31,14589,21222,1608,19857,4373,53,147636,1249,779,169634,3698,2985,129845,790,601064,3367,22,1230330,13060,494362,1973,372
1980,8692450,58275,1447,63211,837823,174374,29507,238257,12121,22,9391,22824,18182,441276,231735,204331,14411,2203,39015,3625,5763,14261,2535331,230099,11770,39702,8071,477,896,282,4787,220332,21463,24436,402579,405,6595,36295,293604,225239,1222,54573,665,1617956,47482,4804,211232,211863,8526,6476,43153,106
1982,2903791,167046,39,167308,1513,23811,1860,190786,2944,0,17901,1174,36,4454,215313,25637,1387,643,1584,0,15256,2984,884,7704,272377,29030,210576,1460,469,12119,778,12804,4645,7522,177894,123,10658,1471,13977,523744,12288,4302,7358,146650,142140,1598,7861,446744,1197,2022,1329,416
1984,6212686,21162,441,11186,2555,5882,1776,4736,640,12,2082,2853,599,202528,259684,239031,208886,641,1294253,164,281,12542,13170,219051,2085944,35241,7130,615,5616,488,515,3630,504,36747,952915,94,3751,3974,4140,295429,5264,917,471,3762,29858,213893,314,7347,1501,6488,1909,97
1986,2979351,1212243,1119,423,273,37576,45853,1920,73,0,1401,24080,222,8841,143705,161304,32041,258,675,12661,738,132538,391,24574,197624,6620,11201,1611,419,3609,589,1048,200,204621,338532,289042,3418,1207,1895,3572,367,10314,7655,1474,5177,7298,100,2161,29886,191,6577,59
1988,2446013,628,239,634,496,60818,1426,141254,680,15,356894,1127,1474,299,203327,4306,1737,669,1036,1125,738,200484,1442,4377,3492,3114,7483,8417,222849,4002,658,6715,9500,221260,227424,721,2342,3475,225868,19606,2178,7418,1642,1327,6234,687,10591,1574,267352,3606,10076,181202
1990,1725921,10572,5046,768,329,360061,1852,7857,157,0,10690,160759,249,2224,3023,163272,167278,693,124992,3417,19866,910,6576,2652,12458,143,199426,308,14557,211,4035,23685,109,4591,206688,82,19381,890,2368,12923,1053,592,1571,750,4797,1427,322,143118,7586,5398,3487,748
1992,5733742,64100,5128,17682,10994,469500,5679,1557431,1326,12,289120,479997,689,1081,4685,21110,289628,3165,10283,248524,2633,11360,4435,291400,543323,1300,24805,14250,14875,12066,47128,16573,1586,57782,104713,934,267617,5290,7371,502164,257,20497,4408,220583,13474,6321,907,8078,36938,559,8244,1765
1994,3333295,175983,115,1208,7623,501041,734,188455,463,0,9949,6524,700,625,5003,12057,3084,2608,280239,0,8656,850,9758,12247,245377,762,4582,1648,186218,152931,2579,148879,1359,238652,169167,1759,44005,5706,261727,181812,1284,4153,109,183190,20367,937,6945,11723,55975,314,172590,648
1996,5435734,64361,349,270390,7724,300573,38534,231492,522,13,4708,107863,4735,13527,253164,49072,47836,11940,335176,1702832,3328,1571,281983,3879,5543,3288,15046,11639,886,466070,17235,14636,2098,7876,9952,1958,29604,4102,10217,460996,258,4323,17972,13368,21089,5553,315,21289,515226,441,37991,1216
1998,2341356,988,131,2982,1103,44980,12845,157956,58,0,1130,2938,176,1884,19102,13084,1382,3522,1154244,191319,171,614,994,3575,5884,1146,1734,1096,120,442010,1195,10586,2513,12336,22800,403,4077,868,9259,177772,79,2382,153,1159,4640,896,106,444,4357,56,17925,205
2000,16488432,636,95,2896,27661,224676,1941,227457,992,14,6234949,3261,435,161,17395,8309,1354038,7447,2609,1430,2507,2374,463,324157,339884,710,29047,9672,15158,7193,49478,311020,600672,5121,2479,1276,8688,930,1534691,12577,501,1001,192,5408,4138,666,806,9972,2470444,12041,2608674,116
2002,1291846,17405,36,5837,1560,4748,176876,2002,276,0,34648,159180,303,313,2047,9967,4376,7762,13534,3041,4995,5816,505,1237,16340,626,639,156,127,997,4390,1730,1185,182354,3730,3193,1385,2127,1404,26300,156,795,338580,3346,15457,224277,72,467,4704,343,369,162
2004,5401325,579,7514,1598,1926,6368,13339,5007,1265,11,72863,6717,1356,150,9796,290502,182427,1171,41345,116110,1347,826,508,8205,8053,544,3758,245,883,12266,42826,2923,757578,324156,6742,352,18477,1008,5914,31124,262,1442,392914,1215,8713,786,261,2733,5403,870,2998533,439
2006,5774473,355,249,7105,392,12555,12102,250095,267,0,272869,302481,347,2919,14898,7643,13737,6208,12855,1216,164,1243,355,9869,4260,292,13072,406717,2127,21794,11709,200825,211413,261098,124009,123,465097,384,884,498260,1439,956,41,9582,4880,419,1123,2380180,10388,510,16724,196269
