year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,113223,449,82,1408,71,15367,3437,1932,4180,8,1621,3000,8436,666,13520,1598,49787,4374,1056,3589,246,3026,1852,35590,401,13391,29115,1228,1249,1916,538,15263,8534,28426,5788,1388,12270,32002,230,41447,459,5781,87581,1187,5587,523,2877,32147,3263,364,14102,771
1978,72963,832,452,809,22823,31925,1158,1918,225,0,28289,620,18,223,1236,2740,4547,2993,2277,0,362,6071,976,7167,1423,286,483,490,3621,15,7474,31974,763,6554,1626,30,1865,498,345,2603,2277,1314,296,225,13643,2394,14,4428,4821,350,551,139
1980,105314,24964,821,40869,142,5467,22908,2127,7316,13,5501,15236,4999,890,1082,1825,5554,862,21675,2282,2926,6166,3012,3551,3799,17386,2903,237,430,85,2904,1769,33534,10926,47867,340,2031,931,762,14994,457,23592,273,92,42440,2883,1184,9481,4624,2635,22234,42
1982,32960,1267,26,150,892,7013,543,4012,1449,0,8767,358,13,2267,5833,8241,349,328,564,0,9697,1578,295,3312,3996,1319,16556,666,224,5322,440,5229,2645,1928,2352,84,3005,589,7772,1316,7755,1225,5461,139,828,996,4943,9711,271,1116,397,311
1984,62205,36469,245,6280,1204,1214,840,2291,177,7,753,1048,399,56,14523,2145,752,291,1020,102,131,4250,7730,3461,480,554,3139,197,3698,191,329,1036,196,38212,29918,57,1128,2017,1649,28664,4841,313,218,2483,7613,42,211,4141,515,3657,733,41
1986,70001,124,514,137,101,24051,25735,931,49,0,563,20015,76,3237,5353,4391,599,72,394,6587,589,1359,92,38209,5919,2666,3663,1297,162,1238,323,197,74,36057,8696,14,817,453,795,934,234,4250,4620,813,2039,5258,78,763,11634,60,4547,29
1988,220565,193,89,240,260,49864,911,183969,470,9,70369,268,500,88,12057,1540,667,378,337,499,307,4210,826,1314,746,1058,3760,3421,206,2492,346,3344,3117,6711,6006,347,513,1933,2415,11292,866,3709,1208,428,2032,267,5267,509,21726,2036,3383,100
1990,33988,5730,2819,213,140,4740,862,2787,91,0,4651,2151,96,1380,743,1099,767,174,3405,1960,12916,273,2843,564,8798,62,4569,130,7556,96,1681,10109,32,616,1761,73,21447,347,1009,7510,464,231,1022,270,1595,795,149,1121,3117,2315,1517,374
1992,115872,1552,2414,11257,5402,27391,2005,1172,805,8,8901,98966,301,348,874,9010,11757,1815,4348,1881,857,5793,1658,1258,290,468,11452,5878,7971,10326,24453,5852,659,33777,53792,350,12933,2579,3360,6465,156,5258,2983,1929,5958,2955,305,4570,1738,253,2470,1163
1994,94337,125,64,447,5718,71286,423,1014,192,0,6070,3042,410,323,1263,3971,884,1280,255,0,4741,212,4740,3645,7893,300,1765,1030,649,299,835,5148,976,1487,5607,836,4663,2951,6196,10906,995,2464,70,1028,16275,283,3800,4209,45775,121,871,347
1996,123759,4613,167,11765,2436,3650,24218,2527,194,6,1809,51195,2705,7681,4178,1170,63556,5047,28098,1728,1213,410,2445,901,2220,1982,8360,4370,271,1228,8173,5972,782,1476,2787,939,7496,1377,5741,1315,116,1932,9097,8324,6317,2553,163,12269,6324,163,51483,533
1998,26562,383,46,1397,360,9986,6571,229,37,0,505,1016,69,1270,7079,7847,885,1787,2512,47,86,217,414,833,3019,735,743,760,43,2915,635,4765,1464,1415,19046,458,1831,247,3810,1677,32,1099,87,816,829,559,50,104,1891,20,8529,148
2000,104907,216,63,1345,46087,32080,741,452,538,5,2564,941,173,52,7830,2306,368,4615,837,880,1956,1336,84,20742,48874,277,14334,3379,8671,3561,75918,7069,1412,489,708,1008,3622,280,342,4218,220,329,78,2515,811,213,399,4260,4297,10162,4938,46
2002,56718,23879,18,2981,767,1256,1687,1078,122,0,45684,3134,149,146,400,2825,1775,3981,6446,1200,3198,2132,107,220,11323,345,197,61,65,421,2643,520,646,785,1282,1618,277,750,737,8303,81,413,964,2208,4148,66,39,144,3929,109,91,102
