year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3056933,868,46,194380,65,358372,246624,1635,4857,2038,6744,3010,167227,216472,219261,209317,60641,1133,7498,449,5084,5049,230901,638,213,18110,832,1006,20,232,16572,80,32769,13751,105,220369,14439,640,212257,144,8054,63,635,196236,662,75,151538,218511,1007,5861,468
1978,1478925,1563,608,1593,18048,50812,143813,4015,271,16251,1130,36,532,180818,11782,3652,5351,3844,130900,803,13712,1574,187319,3361,316,1659,716,3680,31,171,20748,109,19857,3422,53,147636,1190,652,169634,3669,2461,129771,488,163136,3367,22,8074,13060,1011,1973,253
1980,2294208,4818,29,414,23,173885,1045,237168,123,2121,535,27,1590,229963,202636,12865,1996,516,293,76,7549,11241,228494,7083,890,1973,369,854,44,249,219958,21253,24380,48453,363,5834,35509,291800,211880,621,12458,362,340,47136,4748,16,211417,7241,3327,18219,49
1982,2812383,167046,39,167053,1513,22274,1860,187571,2363,17761,1174,21,4454,215313,24565,1387,643,1584,0,15090,2882,716,7422,270613,28942,185249,1042,424,715,778,4670,3466,7512,177894,37,10356,1471,13977,523578,740,4302,7358,146505,141869,1356,38,432372,1160,1963,1251,37
1984,2763789,20891,353,11117,2035,5607,1600,4579,239,2010,2632,30,202459,238465,238925,206677,557,1689,0,114,9716,2652,215239,1252,34933,6930,143,133,431,255,3369,247,36286,948020,22,3532,3889,3559,294118,119,757,341,3391,29491,213861,49,7182,1089,1790,1004,33
1986,1336778,346,298,231,150,3585,14652,1836,73,485,1992,191,1048,143632,161173,31964,216,641,10231,738,132363,391,24574,197624,6620,8584,1611,419,910,515,1048,200,202847,338532,29,3301,612,1793,3170,367,10223,221,1474,5177,7267,9,2161,10033,191,996,59
1988,1856508,428,110,188,94,53582,355,327,71,253539,957,642,182,186944,4063,892,225,568,386,164,191028,275,3055,1552,1611,2518,777,222363,334,542,5128,6161,220753,227169,40,1278,3222,222569,1579,669,7296,41,931,5584,568,4319,1354,219128,191,716,65
1990,1692934,10426,4962,768,325,360061,1494,7857,71,10690,160759,249,2093,2932,163272,166233,660,121015,3417,19732,910,6126,2368,1956,143,199426,260,14306,211,3973,15300,71,4591,203386,82,19381,874,888,12923,928,520,49,701,4646,1427,322,143099,7586,5348,3487,654
1992,3686002,62392,4175,2282,10613,466400,1153,55354,448,272623,254933,57,293,3739,19131,288009,1233,3723,245332,1672,10995,4244,290382,542909,362,22738,5515,14650,3158,769,5109,750,54158,4731,258,248883,4346,4349,489933,67,8686,45,217232,8878,5813,89,4250,35315,119,3540,188
1994,3273378,175983,115,873,7623,480838,734,188003,41,9900,6524,671,625,5003,12009,3084,2608,280239,0,8505,624,9542,11429,242689,715,4443,1526,185459,152226,2579,142168,199,238427,169167,1436,43678,5706,261727,168371,1202,4153,109,182867,20213,896,6098,3898,55400,255,172350,474
1996,2913652,61560,134,255738,5228,300156,890,231307,42,2852,8649,4632,13053,252639,47042,44172,11644,254207,2276,730,1277,280599,3262,4472,696,13126,918,334,1791,7664,13613,735,7744,5358,448,27965,2817,4103,460205,112,1378,151,1544,17775,5383,156,549,514798,57,37373,326
1998,716862,878,104,2934,686,44305,12752,157874,58,1002,1563,160,1838,8621,12992,1330,3456,8830,191257,171,563,994,3575,5884,1146,790,1096,120,6146,1144,10586,2513,5458,18298,327,3585,812,9175,177668,79,809,30,1159,4640,815,75,444,4104,56,3780,205
2000,1784375,237,28,1028,25501,223886,867,227113,51,268606,2764,161,118,16895,7958,1016,7283,2222,167,173,1987,335,298849,325248,389,4762,2913,136,1262,1408,302915,1926,3371,1957,1026,2961,778,741,7243,99,680,30,411,3906,538,27,5525,6808,10105,9940,50
2002,922832,17202,21,5837,233,4748,173677,2002,32,34648,157739,303,250,1904,9967,3682,7749,13455,2812,4725,5816,484,1108,1179,609,639,70,112,997,504,1022,1106,182354,2656,3193,1385,1982,1153,26300,135,206,1079,2621,14933,224277,72,455,4704,227,369,124
2004,803282,415,28,854,478,5408,6771,4265,51,1775,6209,193,95,9053,290189,1678,1017,1122,115618,433,343,404,1387,1966,333,1810,66,817,456,293,1318,1274,303409,2536,209,1731,330,1316,18577,110,297,1555,871,8571,704,48,1604,3668,438,826,386
2006,2968985,355,249,6339,392,12414,12102,249383,214,272719,302481,222,2919,14898,7632,13737,6208,12855,1216,137,447,304,9527,4076,206,676,212,2030,21400,11709,200525,211367,261084,124009,78,464599,384,884,498033,80,956,41,558,4753,349,1063,9735,10081,486,16667,196215
2008,2527934,294447,2854,2486,60,393629,1168,5951,167,10546,1142,52,347624,5381,1073,981,3881,3314,319865,925,360818,321,18241,10046,897,10352,69,4673,3089,2246,6469,1245,32000,1944,134,310847,282,377,27050,84,6445,67,459,6333,188,14,321661,3081,490,1703,785
2010,3118230,16708,46,70486,1544,253972,4783,3680,279,5288,12495,1977,781,222538,191075,23044,423,240069,433,1098,959,5191,17118,33451,3097,16832,115,234,268056,52660,14275,6967,620808,194687,887,10042,616,3550,232421,2009,2016,13613,961,112281,3095,73,237067,26173,180398,7850,33
2012,3230952,389,61,302465,764,42451,17657,9732,69,345053,1912,1008,156,563625,74789,2846,347,5046,444,426,473,390292,351886,358055,304,666,671,40968,2528,8272,2578,615,77499,342323,404,7834,505,875,10385,580,1468,344,957,6422,245416,25,3175,2652,1455,2068,39
