year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,92630,289,31,1373,26,2008,3651,532,2564,564,2581,1715,392,614,703,2410,67767,365,2505,277,1975,2632,48757,179,90,8321,484,530,11,113,5884,28,39405,6339,63,8317,7320,275,22831,86,3279,24,155,678,282,45,1270,207,338,3363,328
1978,65497,973,356,817,28070,55115,1004,1542,166,7605,699,13,225,667,5125,2682,3453,2156,0,515,7907,644,8392,1036,130,553,275,1745,12,67,6867,50,4761,1435,24,1776,446,274,2287,2923,1129,351,157,17020,1956,10,3382,4610,495,607,148
1980,99884,2326,15,136,12,4709,309,1561,70,483,172,9,937,399,1537,5890,832,168,88,29,4383,6054,1983,3199,408,564,130,570,31,116,3167,13539,7676,45775,231,2338,45518,677,37303,222,4459,162,94,37908,3564,8,9084,2776,1847,8814,30
1982,77639,1095,22,103,674,5434,807,2941,1580,7650,703,7,1736,5176,23336,375,229,626,0,10014,1230,185,2507,68488,36776,1386,611,196,278,449,1802,1686,1914,2353,19,4917,760,6271,995,294,1448,3764,85,591,603,26,1325,312,727,296,14
1984,105635,27038,195,7027,1323,910,450,1545,148,406,835,11,41,2012,2034,164,167,912,0,60,3902,1207,1953,376,49836,2204,57,53,227,133,922,89,9932,85065,15,900,1878,1146,47861,38,223,171,2000,13462,28,32,3749,382,709,320,19
1986,82312,145,168,69,56,553,5618,828,47,94,896,112,608,4872,3977,43798,67,338,4981,505,1253,83,33727,4958,5000,3290,943,144,288,273,199,72,46978,7727,17,1300,226,724,692,227,3625,112,584,1803,3000,4,824,5759,69,364,35
1988,68928,166,57,60,45,68680,146,98,41,1432,248,368,92,2165,1385,280,89,207,174,73,105,54,1042,588,709,993,340,43,164,252,2582,3012,4998,4760,23,269,1910,74,435,371,2961,25,249,2109,207,2576,576,493,65,267,33
1990,28924,4515,2797,399,87,6680,524,3418,39,3782,1953,148,1030,885,1962,48,174,101,2299,10616,374,2578,681,799,68,4100,91,6754,82,2257,5351,30,633,517,53,21787,471,444,9164,480,278,20,223,973,652,297,782,2837,2272,1317,276
1992,126607,79405,2336,802,4047,37625,380,76554,255,2985,1423,23,123,787,7484,9479,546,1309,85,1222,6345,1182,1369,305,104,9095,3441,8769,1231,378,1822,549,12638,1420,179,2343,1291,2401,2717,25,3870,31,220,2965,4018,54,1358,45443,53,2331,83
1994,86998,120,62,237,2972,49520,310,1434,25,3262,3139,358,286,1104,3238,1285,1126,183,0,4264,136,6148,3761,6220,185,2585,672,72,38,1380,157,67,36614,4869,906,38861,2436,3760,5043,804,2360,52,1518,6008,367,2672,1215,54573,105,914,323
