year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6017929,468,153,261,95,22250,573,3525,2415,15,2608,64,10013,135,17007,1319,68012,1211,1436,1854,482968,1897,269,2440,486,21932,5515,1259,173,4051,659,16895,12138,802,629,1844,4110456,48487,1029876,9685,540,483,46451,472,6574,91,506,44427,4315,313,27684,219
1980,5232112,45586,67,60,837582,303,116,695,11999,22,223,294,18134,39,1251,229,429,111,38409,3106,5688,6634,2524090,1605,4687,38812,1644,108,43,61,81,374,211,26,16792,43,714,105,633,1209,602,42073,81,1617616,347,25,2092,447,324,3150,3105,57
1984,2113955,157,49,69,154,275,90,157,193,12,73,202,570,34,496,106,1661,59,158,164,134,2826,9727,194,2084449,132,201,146,46,58,51,177,224,461,122,73,220,57,508,1311,5106,104,102,274,95,32,266,114,413,734,905,40
1988,131638,200,129,145,403,6202,1071,2702,495,15,175,171,810,117,16384,194,845,444,468,740,556,9330,1089,1177,1582,186,4904,2006,175,180,117,414,3239,459,256,508,707,254,3300,17968,520,123,1601,309,437,60,6226,182,33040,3322,5552,173
1992,448850,1630,619,15299,201,341,3605,1416,878,12,16423,179749,557,332,341,1656,1581,1866,6440,3192,961,318,192,1018,414,939,649,8735,225,8357,35808,11465,837,46,95738,481,17739,763,623,977,191,4065,4281,3352,4597,231,259,3828,409,440,3223,1578
1996,727616,1317,200,14653,270,417,35178,185,346,13,1856,56986,104,196,225,2030,699,209,80471,455,140,295,56,371,225,2549,1920,7811,179,464279,754,255,1306,132,3046,1510,1640,1028,915,792,59,1983,6014,11706,2614,170,160,18172,428,358,619,344
2000,12158854,400,67,1855,2160,565,1074,248,439,14,5963110,497,239,44,501,293,1353022,164,388,1263,2291,269,108,2650,11944,254,6407,102,80,5611,48070,273,598605,1314,523,95,5589,153,1533950,4065,80,321,163,4920,162,52,737,919,2257,1916,2598607,41
2004,4078411,105,105,723,900,804,3595,673,1214,11,2696,272,1137,51,699,180,180707,114,180,380,914,416,104,6818,6088,211,1512,180,67,11704,42463,1606,756304,20703,479,87,16644,80,4533,11886,152,233,171,345,143,38,179,1129,1208,432,2997007,53
2008,15072271,175,169,843,179,132,888,130,119,10,9971,2953,40,111,105,67965,782,328,304,209,321,124,110,262,571,442,2925205,13043,343,450,823,311,321,7722019,4310851,1110,3573,79,333,639,84,990,964,350,552,99,52,1809,232,387,367,68
2012,167573,145,371,871,127,147,2597,215,216,12,107943,1339,33,71,243,687,2189,183,167,278,301,125,135,936,1114,587,837,390,152,1566,2199,218,770,1067,19471,188,8505,56,465,2391,116,755,232,175,289,34,57,4237,375,102,1875,41
2016,5938308,88,330,6703,117,85,3188,410,530,10,51360,2686,76,79,268,185,731,134,73,228,7430,811,97,4799284,25948,260,203,161,122,12728,744296,428,1103,441,5992,59,1013,63,544,140365,278,338,80,107,908,188,94,2430,284,46,124913,33
