year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,101179,288,81,155,72,14996,273,1921,1638,8,1521,58,7894,105,13550,1005,49436,767,1085,1615,0,1238,165,1268,316,13393,4956,1069,116,1919,500,13592,8553,0,313,1372,0,22597,0,7485,386,271,87575,372,5492,58,362,32185,3216,150,14180,143
1980,40783,24535,63,36,0,173,84,550,7312,13,212,257,4998,17,1064,164,391,64,21666,2286,2927,3161,0,1339,2641,17360,928,74,30,32,49,333,118,14,9375,30,434,86,390,1216,340,24683,57,0,288,15,1185,371,400,1618,1468,32
1984,9294,152,27,31,133,142,61,119,137,7,36,89,397,17,272,79,635,46,126,102,103,1411,7065,112,0,60,129,65,31,52,29,154,157,0,91,56,104,24,302,726,4841,88,77,155,52,22,212,83,240,357,572,34
1988,23313,88,66,82,256,4932,896,1984,475,9,124,115,268,58,11947,124,560,385,279,476,247,4228,811,660,633,110,3629,1280,102,96,73,241,1576,0,288,307,334,160,2426,11324,389,91,1210,274,400,41,3574,137,13746,2023,2556,88
1992,109993,871,549,11354,181,308,1619,1151,712,8,8750,100732,296,174,235,1165,751,1753,3792,1855,495,185,112,689,204,446,329,5128,150,9012,23854,5391,609,8,53109,295,12642,774,293,702,157,2735,2974,1920,4227,139,184,3255,272,252,1783,1152
1996,56320,1020,116,11736,160,284,24276,158,180,6,1574,35435,70,133,184,902,468,147,28233,346,102,223,60,330,159,1987,1557,4053,198,0,482,134,696,0,1924,851,1031,718,666,599,44,1699,2928,8378,2751,101,121,12462,251,159,372,373
2000,75683,191,61,1275,1325,368,629,204,451,5,0,316,152,23,349,343,0,104,226,885,1944,124,55,1575,7000,171,4393,71,72,3367,75995,265,0,0,286,47,3533,105,0,2261,78,255,78,2484,104,25,402,844,1352,1828,0,31
2004,489921,69,67,407,414,582,1477,463,720,7,1426,126,797,23,585,132,489802,42,181,170,641,324,65,6748,6069,161,1386,99,51,4397,25982,1201,0,0,329,64,12607,46,2527,6936,105,151,127,234,100,19,115,904,1338,288,0,38
2008,57661,131,87,599,99,79,747,63,125,5,4471,2079,23,77,77,57191,667,250,216,158,219,51,84,215,496,334,0,10047,269,269,566,267,238,0,0,715,1503,55,208,375,55,809,819,250,382,59,28,1762,166,293,307,45
2012,50353,107,267,613,98,81,1836,250,130,5,46505,740,30,29,182,539,2179,88,99,192,245,69,96,552,784,419,427,264,118,1115,1510,167,437,0,11085,110,6587,49,372,2679,47,425,147,115,199,13,37,3160,262,44,847,47
2016,95041,56,183,2849,52,41,1507,189,347,4,38312,1406,52,34,134,110,556,99,69,112,8616,0,66,0,26053,202,141,115,61,8062,0,206,727,0,3510,30,666,37,424,75366,245,183,36,77,436,122,76,1308,224,25,50509,29
