year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9198,0,0,487,0,4448,0,149,312,58,0,221,0,0,104,0,0,0,0,93,124,21,1834,29,0,336,54,1340,56,0,83,200,407,0,45,6408,0,0,1058,195,0,0,1600,113,344,1733,196,17,0,23,673
1978,634273,5,21,0,10,0,176,0,153,0,9,0,37,823,0,4355,284,89,0,63,0,565,2700,220,222,0,311,24,0,6725,238,652,0,712,0,0,27,91,0,16,318,64,206,631879,0,0,0,0,0,0,66
1980,504328,5591,983,34508,106,121,15672,237,0,5325,10881,13,0,371,1586,653,54,49,146,0,43,0,0,0,0,2806,0,0,120,2990,0,0,14,489244,0,26,334,692,6253,0,25,124,0,0,15,0,0,463,0,19512,0
1982,21351,0,0,143,0,919,0,1943,317,80,0,6,0,0,809,0,0,0,0,106,53,111,191,906,59,14594,280,21,6119,0,5210,634,4,0,57,175,0,0,102,5335,0,0,94,181,133,4804,12639,20,44,41,210
1984,12353,93,19,0,262,0,46,0,150,0,9,0,20,12216,0,340,13,0,0,22,0,457,2216,124,119,0,206,3109,0,118,61,17,0,3414,0,0,20,44,0,20,25,15,73,148,0,0,33,0,1910,0,23
1986,33342,0,562,167,79,20527,23943,57,0,446,11679,16,5495,36,53,70,20,19,1328,0,146,0,0,0,0,1921,0,0,1925,54,0,0,1638,0,0,56,297,77,285,0,43,5064,0,0,15,49,0,11682,0,2602,0
1988,192057,0,0,160,0,633,0,186057,59,52491,0,16,0,0,26,0,0,0,0,9,68,41,69,216,785,40,4120,197,1827,0,678,45,28,0,92,167,0,0,29,641,0,0,65,292,32,21,17,11377,67,2701,0
1990,9990,69,64,0,0,0,182,0,41,0,0,0,67,69,0,637,18,2430,0,79,0,305,172,7205,0,0,21,219,0,35,5409,25,0,2006,0,0,8,1229,0,66,49,910,31,120,0,0,9,0,24,0,53
1992,32846,52,166,57,92,1854,510,0,0,38,27296,48,320,280,305,18,40,80,0,0,25,0,0,0,0,816,0,0,269,7036,0,0,2253,2410,113,648,100,1560,7711,0,5838,62,0,0,133,266,0,774,0,629,0
1994,14222,0,0,186,0,11948,0,217,239,35,0,16,0,0,21,0,0,0,0,113,143,132,437,1260,21,110,71,437,345,0,3425,713,98,0,161,156,0,0,8126,49,0,0,162,84,23,487,4177,352,46,149,74
1996,32332,830,8,0,1217,0,1531,0,79,0,29576,0,198,159,0,2535,52,318,0,1639,0,914,210,544,32,0,1733,236,0,5199,543,35,0,848,0,0,162,3338,0,49,595,7118,61,553,0,0,1655,0,14,0,454
1998,10265,72,18,33,196,383,60,52,0,75,950,7,30,7883,58,30,31,0,50,0,37,0,0,0,0,473,0,0,0,37,0,0,0,2449,33,293,28,51,67,0,1215,77,0,0,49,25,0,124,0,5996,0
2000,18510,0,0,8,0,189,0,63,295,1877,0,28,0,0,28,0,0,0,0,18,70,10,10802,2236,59,12884,5992,9959,202,0,4334,77,227,0,93,82,0,0,563,210,0,0,45,37,55,29,2000,0,11,90,13
2002,9845,112,9,0,757,0,1625,0,125,0,973,0,34,77,0,453,8,38,78,185,0,12,58,8603,10,0,72,8,0,2694,370,39,0,758,0,0,72,130,0,12,296,0,424,300,0,0,7,0,74,0,27
2004,61964,33,3258,10,251,87,1554,46,0,56515,183,15,1,33,89,23,17,18293,63,0,27,0,0,0,0,246,0,0,61,32,0,0,22,2487,31,77,472,36,393,0,556,0,0,0,27,17,0,323,0,369,0
2006,9079,0,0,451,0,102,0,426,36,112,0,60,0,0,6,0,0,0,0,15,704,32,215,92,48,6656,0,57,229,0,168,28,6,0,19,427,0,0,118,827,0,0,5002,85,36,25,0,239,15,31,33
2008,3218,102,0,0,11,0,499,0,45,0,171,0,100,27,0,61,88,1467,938,70,0,31,57,0,96,0,22,241,0,1452,226,147,0,615,0,0,121,2033,0,35,279,108,37,305,0,0,55,0,64,0,16
2010,22057,49,2962,65,122,457,19501,2,0,95,171,13,29,0,135,57,15,308,100,0,84,0,0,0,0,209,0,0,1464,105,0,0,4,315,10,135,28,154,10555,0,30,0,0,0,60,53,0,1435,0,2345,0
2012,36765,0,0,4198,0,69,0,5,35,266,0,64,0,0,1092,0,0,0,0,79,50,721,82,31,302,286,2175,149,37118,0,118,1331,7,0,0,1673,0,0,574,67,0,0,25,224,30,15,1345,130,68,1670,12
2014,66630,4,7936,0,115,0,15907,0,197,0,1328,0,47,255,0,879,341,197,1476,32,0,75,213,413,80,0,91,43,0,2690,260,370,0,15710,0,0,36,118,0,25,110,79,57,52,0,0,69355,0,45,0,21
2016,28828,57,139,208,105,73,1773,8,0,848,477,29,34,162,524,70,69,229,184,0,71,0,0,0,0,9405,0,0,8125,0,0,0,206,1199,9,68,25,75,23630,0,4,22,0,0,23,49,0,103,0,3280,0
2018,9880,0,0,6273,0,627,0,4,64,0,0,23,0,0,794,0,0,0,0,107,40,69,850,113,170,806,3009,223,1822,0,340,69,0,0,405,764,0,0,488,95,0,0,527,4871,30,19,152,249,3230,571,29
