year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,42492,0,0,698,0,7480,0,349,588,141,0,426,0,0,253,0,0,0,0,210,263,59,3136,48,0,438,126,2545,90,0,183,485,650,0,160,11333,0,0,2874,422,0,0,2742,459,586,4268,246,41,0,50,1156
1978,4071339,12,38,0,24,0,268,0,316,0,21,0,75,1774,0,8841,706,159,0,172,0,812,5121,348,380,0,695,74,0,18226,554,1765,0,1227,0,0,83,178,0,32,770,75,309,2312540,0,0,1222256,0,493351,0,152
1980,2680105,9797,1441,83934,276,228,34373,498,0,8683,30942,24,439647,457,1352,1429,120,108,251,0,92,0,0,0,0,4954,0,0,193,5719,0,0,40,1797665,0,55,930,1370,14343,0,54,245,0,0,43,209124,0,1290,0,30441,0
1982,112964,0,0,292,0,2026,0,4650,792,179,0,22,0,0,1418,0,0,0,0,201,133,192,316,2681,112,30511,518,68,14082,0,9330,1763,11,0,112,340,0,0,263,14871,0,0,176,259,300,9907,16663,43,59,108,581
1984,1344615,135,50,0,465,0,101,0,193,0,23,0,44,25181,0,691,30,1292407,0,42,0,839,4551,384,173,0,348,6026,0,282,109,47,0,6146,0,0,33,83,0,52,83,33,127,351,0,0,67,0,5504,0,27
1986,1680815,1211897,896,221,153,44389,39859,93,0,1053,32304,39,8451,92,180,82,53,41,3128,0,186,0,0,0,0,3242,0,0,3067,89,0,0,1687,0,289013,168,864,119,465,0,143,8919,0,0,37,111,0,21746,0,8042,0
1988,535090,0,0,369,0,1265,0,174314,147,131258,0,27,0,0,69,0,0,0,0,23,174,117,192,406,1517,74,6533,390,5628,0,1156,138,59,0,214,507,0,0,85,1147,0,0,90,286,83,60,50,23078,106,4581,180964
1990,40694,217,74,0,6,0,424,0,129,0,0,0,183,106,0,1129,38,5067,0,195,0,535,332,14173,0,0,56,256,0,84,10301,39,0,3215,0,0,18,1845,0,168,93,1598,61,164,0,0,22,0,66,0,113
1992,1608419,96,375,144,198,3324,1024,1500661,0,84,51257,87,516,755,331,54,87,106,0,0,49,0,0,0,0,1878,0,0,717,9132,0,0,4027,5639,201,1210,215,2542,10543,0,8577,79,0,0,361,677,0,1530,0,1959,0
1994,69836,0,0,435,0,19805,0,550,462,51,0,41,0,0,69,0,0,0,0,161,242,335,1077,3623,75,144,143,1122,736,0,9340,1665,294,0,413,444,0,0,15662,107,0,0,481,198,48,867,10000,704,62,288,209
1996,1813261,2001,21,0,2995,0,2772,0,181,0,51191,0,300,433,0,3160,123,557,1700102,2824,0,1852,270,1155,44,0,3415,455,0,9820,770,70,0,2019,0,0,354,5927,0,124,1050,14232,157,800,0,0,3521,0,33,0,547
1998,1635378,129,29,45,547,902,128,75,0,150,1649,26,50,10286,98,60,71,1145414,92,0,49,0,0,0,0,1128,0,0,435864,59,0,0,8916,6724,124,531,76,123,122,0,1882,140,0,0,83,42,0,320,0,19457,0
2000,2572071,0,0,16,0,198,0,99,732,3795,0,42,0,0,72,0,0,0,0,69,140,24,33322,3053,75,22608,7364,19793,368,0,10705,177,532,0,188,157,0,0,2050,386,0,0,76,85,81,51,4243,2461379,25,146,35
2002,375333,275,20,0,1430,0,3303,0,273,0,1886,0,84,191,0,1020,14,107,306,322,0,26,172,18505,19,0,94,18,0,4489,859,94,0,1279,0,0,198,302,0,28,773,337501,895,678,0,0,15,0,126,0,47
2004,537586,68,10892,28,744,229,4285,76,0,69746,261,32,7,44,154,54,50,50957,167,0,99,0,0,0,0,517,0,0,130,86,0,0,51,3760,71,121,691,84,739,0,839,391188,0,0,54,40,0,615,0,722,0
2006,2814490,0,0,1088,0,134,0,914,51,210,0,157,0,0,17,0,0,0,0,30,858,65,385,241,111,16755,406505,101,413,0,328,53,16,0,54,663,0,0,311,2059,0,0,11822,130,80,82,2370445,278,32,57,59
2008,3226092,121,317723,0,28,0,776,0,118,0,415,0,158,53,0,150,167,2490,1951,188,0,77,118,2887646,173,0,53,330,0,2256,468,159,0,1314,0,0,291,7400,0,46,358,152,77,606,0,0,92,0,121,0,33
2010,77062,98,3778,131,228,840,33398,18,0,182,221,32,44,0,433,102,50,730,257,0,132,0,0,0,0,522,0,0,2872,166,0,0,15,670,29,247,43,257,23865,0,65,0,0,0,113,83,0,3945,0,3515,0
2012,412486,0,0,9250,0,155,0,19,56,511,0,144,0,0,2924,0,0,0,0,158,90,1457,210,70,284,383,6310,376,55966,0,248,2502,17,0,321144,2521,0,0,1060,112,0,0,68,358,65,37,2860,235,146,2735,34
2014,228607,8,18404,0,319,0,20466,0,482,0,1623,0,97,898,0,1280,922,447,5044,71,0,157,479,889,191,0,281,82,0,8988,489,739,0,39650,0,0,58,235,0,59,268,177,106,117,0,0,125451,0,113,0,31
2016,825033,121,272,543,157,184,2433,29,0,1570,476,35,56,361,900,160,111,435,504,0,140,0,0,0,0,11515,0,0,14230,739140,0,0,1799,2486,24,186,44,168,38112,0,11,48,0,0,55,124,0,263,0,8355,0
2018,8262385,0,0,16007,0,1270,0,19,192,8190005,0,64,0,0,2819,0,0,0,0,231,73,148,2042,230,398,3054,6175,282,3591,0,662,129,5712,0,831,2122,0,0,614,180,0,0,892,14502,80,50,338,316,8565,733,73
