year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,118024,432,121,1417,64,10096,3388,1535,2595,10,1842,4025,8743,502,10274,1146,31995,62342,975,3040,212,2688,4350,11270,412,13677,13198,851,1729,2317,383,10961,8189,39869,6533,1226,10782,24663,320,9906,358,5378,82094,1994,3367,432,2305,29403,5398,512,21034,479
1978,730763,691,337,1103,16790,44105,2074,2288,301,0,38548,487,17,241,952,3240,3381,1761,1355,0,440,6086,863,6983,1622,286,496,499,1891,19,11752,22176,1408,5326,1281,45,1690,445,270,3168,1256,1244,312,230,726003,1516,13,4561,4400,585,844,168
1980,607781,19454,917,28297,179,5746,12484,1677,6049,9,4081,11600,10953,870,839,1962,4397,984,17793,1540,4648,4883,4481,2668,4539,21214,3027,209,415,94,2603,3070,9691,10136,594293,139,1894,45783,931,38217,593,35662,188,102,19886,1674,1295,7802,4193,2250,18660,60
1982,83675,766,26,179,750,6964,460,4949,1416,0,7701,552,13,2015,5093,8490,385,241,802,0,8167,1372,259,2468,62986,62446,24910,783,285,5556,292,6205,2081,2202,2877,62,4040,640,5419,998,7270,2027,5840,119,651,752,4414,6679,366,1364,374,280
1984,113559,11979,330,7447,1476,1189,740,1716,276,5,509,1348,382,54,10440,1818,1197,177,622,75,96,6352,6212,3562,434,53444,3990,198,4051,213,228,920,123,29991,69836,45,1152,2099,1323,48875,3228,187,265,971,10701,35,185,2758,389,2751,947,23
1986,73213,94,491,131,89,13482,16649,795,34,0,435,14467,124,3898,4442,2696,50614,62,290,6256,1055,1758,90,6402,3413,5242,6183,973,200,1104,268,250,53,42458,7166,11,892,796,742,699,179,3297,6522,671,2551,4885,61,671,12466,74,3523,17
1988,340180,198,100,279,181,58950,945,303271,269,8,64244,219,575,95,16578,1305,546,455,386,566,368,3398,654,1194,1063,1139,3048,2542,264,1912,334,2655,5849,4316,5182,362,558,1681,1516,10718,867,3715,1126,319,3892,263,4047,637,22603,1229,5017,107
1990,29049,5049,3857,380,111,4549,793,3643,85,0,4303,2160,84,1562,1182,1626,581,309,1464,1679,9234,315,2977,765,8900,49,3343,101,6076,86,1725,6294,39,714,1841,30,22542,441,997,4188,628,161,767,282,1350,778,289,1250,2341,1954,1830,618
1992,160961,66703,2993,11012,6100,28519,1803,80805,570,10,12004,66732,211,307,723,9251,35152,1011,3281,1877,843,4138,1173,1981,352,562,9906,7461,7383,4743,27624,4844,690,18841,79483,274,10404,1862,2721,6869,115,6919,1934,2217,4226,3889,534,2784,61779,194,3236,780
1994,100839,86,69,348,3458,60536,430,928,481,0,5924,3045,211,482,1045,3318,1400,1582,213,0,6661,265,4095,3862,9051,216,1121,609,389,510,2046,4755,692,22165,5845,789,38473,3558,4458,9799,641,2430,61,1183,6451,435,3532,6241,55675,130,985,309
1996,135503,44681,159,6656,2973,51052,23369,1597,149,8,1609,31399,3558,8443,3604,28804,64228,6340,42763,904,1814,330,1779,983,1907,1979,6017,4566,430,1238,4341,6314,721,1101,3095,843,7144,1235,4383,1023,88,1552,7285,5044,6036,3496,111,11848,6633,174,51171,453
