year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9399048,1664,244,196411,186,397530,248825,5464,10125,22,5542,8813,17675,167635,237763,222049,294328,188641,3356,11489,483642,8900,6570,229584,1363,26378,33112,3140,4009,4763,923,40482,13971,45110,16265,2650,4350155,75304,1030615,228624,1351,11393,74148,4679,205970,1490,5260,205187,224693,1706,37685,2188
1978,5639485,1714,878,2122,26950,61206,144796,5075,580,0,20255,1473,44,805,182812,13110,12395,6786,4951,130900,1211,18164,3401,195648,4576,808,1868,1572,4533,35,18151,37745,2109,24494,4902,63,148770,1643,972,172914,3513,3534,129951,957,2487759,3825,27,1233304,18624,494505,2538,537
1980,10443245,72127,1763,80747,837876,179912,30956,239586,13864,22,11002,31779,23468,441480,232205,205868,15762,2422,49861,3546,7078,19167,2537022,233076,14006,52585,9158,644,1152,297,4832,220353,25143,31319,1869951,498,8409,148775,293921,243211,1701,75349,754,1618053,47556,4896,211410,214158,11913,7320,55174,142
1982,3262855,167302,50,167418,1907,30489,1995,194267,3051,0,21356,1340,45,6116,219460,29706,1813,838,1716,0,17981,4696,1124,10354,442463,150054,217283,1743,626,14517,812,15235,6078,9081,179655,162,13773,1685,17000,525103,15927,5084,8734,146736,142792,1899,10017,447151,1271,2758,1649,569
1984,6589470,46199,681,11171,3123,7299,2132,5813,837,20,2706,3849,817,202542,266743,240507,209171,777,1294707,160,349,14888,17929,221717,2086256,183572,7804,737,5365,658,686,4383,554,47064,1099541,114,4303,4625,4915,303988,7348,1177,600,4764,30997,213928,393,8721,1743,8721,2284,115
1986,3178107,1212339,1208,510,346,43230,58386,2662,83,0,1606,30474,272,10111,147585,163116,162534,295,887,15489,986,133211,489,26021,197863,8766,13114,1974,458,3972,687,1252,242,208033,341620,289048,4289,1663,2386,4225,452,12440,9172,1821,6392,11660,127,2654,32244,207,9465,66
1988,2574909,766,329,810,606,61845,1973,208533,828,18,373010,1354,1892,326,206752,4767,2072,787,1359,1295,916,203047,1724,5371,4121,3625,9863,10357,222982,4998,859,8126,12398,222366,229833,794,2883,3690,226509,16730,2733,8889,2605,1658,7747,797,14074,1848,276697,4265,11871,181239
1990,1786640,16476,5563,923,423,364015,2332,9742,212,0,12607,162148,255,2569,3761,163721,167269,876,125623,3431,20563,1066,8985,3351,15985,178,202022,378,18625,262,4535,31274,138,5722,207641,103,25990,1039,2789,16601,1366,754,1790,985,6004,1711,344,143981,8928,6284,4383,939
1992,6449551,232006,6468,22129,14018,474919,6268,1746026,1736,15,295327,513362,864,1297,5501,25348,298748,4285,13099,249295,2719,11408,5612,293188,543481,1492,34825,19015,15263,14458,53549,20395,1983,71650,133843,1033,274002,6667,10149,506383,303,25718,5556,221206,16834,7774,1137,9989,215868,583,10656,2124
1994,3764253,176044,141,1590,10163,608605,953,188828,514,0,12018,7720,883,698,6049,14852,3509,3657,280416,0,9702,956,10913,14589,250553,924,4498,2089,186406,153156,2958,150972,1668,338892,171873,2113,198097,6645,263687,188690,1364,4936,177,183324,24855,1159,8492,15543,73836,342,173369,860
1996,6068619,220427,450,272336,10039,509372,42059,232440,646,15,6309,119744,6117,15406,254820,224972,46770,14046,339301,1703491,4017,1918,283954,4584,6303,4244,17109,13244,1048,466425,19655,18157,2701,9621,11825,2380,35503,5533,12469,462114,333,5051,20764,16280,24512,6655,299,24966,517570,474,48616,1564
1998,2375349,1268,139,3588,1370,46284,13189,158055,79,0,1356,3827,213,2411,22014,17112,1658,4454,1156845,191338,175,776,1325,4539,6896,1650,2202,1092,156,442210,1455,13258,3234,15181,19812,452,4945,956,10499,179108,100,2887,183,1497,5595,1286,129,515,5582,69,22162,247
2000,16788517,725,111,3398,36989,229530,2584,227786,1221,16,6426993,4266,486,184,22230,9315,1354184,10361,3206,1738,3498,3082,540,338759,353631,851,43719,11188,19948,8883,55412,314360,600971,6166,2854,1515,11158,1177,1534823,16203,639,1191,206,6303,5268,814,926,12940,2470714,14055,2611280,144
2002,1350315,28482,46,7740,1990,5865,178034,2204,314,0,43265,160867,421,365,2416,12132,5777,8193,15695,3350,6393,7089,631,1584,21580,827,741,180,138,956,4984,2168,1638,183422,4397,4153,1648,2563,1760,30634,247,1045,339052,4433,18582,224328,85,622,6170,467,473,195
2004,5738489,692,8516,1785,2253,7514,16722,6320,1715,14,84846,8417,1464,185,11173,291396,433542,1330,62473,116245,1525,1113,631,10295,10068,701,4675,317,1060,13985,47121,3868,757841,331297,7969,438,20829,1203,7408,40225,360,1768,393083,1516,10371,926,316,3364,7068,1111,2998875,584
2006,5853485,415,289,9269,451,15824,14141,251295,277,0,277445,302585,370,3631,19229,9474,15604,8619,17330,1637,185,1316,424,11116,5543,365,19165,406732,2411,29394,15222,201087,211480,269397,124320,178,466986,501,1145,501295,1906,1102,62,13040,5728,463,1386,2383884,12101,621,20798,196268
2008,21007425,295974,321506,4341,330,397045,3479,7188,410,12,24611,5336,100,347976,6335,97702,2431,5741,7120,417553,1511,361068,613,21542,2901347,1877,2940921,17236,7063,4852,6011,9101,2127,7757977,4314687,1414,315627,726,8771,33023,262,9305,1665,1007,8587,365,79,324762,3814,1169,2625,1126
