year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3039628,853,49,194343,76,358447,246922,1540,5138,2022,7478,3054,167290,216514,219445,209582,54454,1089,7073,353,5476,5887,218934,654,212,18730,916,1015,19,214,18208,84,32434,13396,117,219447,15012,662,208845,141,8613,72,713,196297,664,66,151673,218536,1066,5309,518
1978,1469401,1407,631,1639,13762,42091,144510,4497,294,25138,1098,38,544,180851,10527,3194,4285,3235,130900,799,11298,1759,186044,3689,295,1594,820,3546,32,189,24070,123,21191,2992,64,147284,1202,644,170330,2645,2573,129752,486,157705,3043,23,9942,13128,1099,2177,250
1980,2283884,4705,30,429,21,175656,1106,237129,119,2309,521,28,1622,229972,202711,10380,2007,535,267,81,6402,11103,229172,6921,904,1935,378,776,38,254,219538,21722,26453,43322,313,6088,34465,291651,214146,736,13930,337,327,37150,3730,16,209955,8031,3255,21182,48
1982,2843501,166745,44,167067,1542,23209,1498,187933,2001,18299,1134,19,4923,216249,21796,1476,686,1576,0,13900,3079,821,8059,268889,62494,185232,1202,497,649,658,4874,3724,7646,178095,41,10175,1295,12810,523726,659,4317,8008,146514,141847,1285,32,432139,1085,2290,1243,42
1984,2758803,17788,448,11489,2118,5664,1817,4759,288,2076,2927,29,202465,239230,239231,206670,592,1701,0,125,10267,2812,215267,1328,39101,6967,148,137,412,266,3254,259,38685,940796,25,3424,3832,3637,291020,123,792,389,2844,28833,213863,49,7000,1048,1826,980,28
1986,1331447,369,303,268,153,3488,13614,1872,71,457,2012,179,956,144444,160824,37460,196,658,12045,997,132826,392,15273,196411,6929,9344,1692,402,1042,496,1029,181,199950,338930,24,3135,710,1733,2978,352,9510,310,1587,5518,8604,12,1992,8600,184,915,42
1988,1847488,427,135,188,100,42637,362,355,55,252994,960,533,155,185996,3994,881,224,539,376,170,191014,248,3284,1442,1653,2577,768,222358,327,600,5447,7392,220398,227942,43,1270,2829,222560,1556,659,8361,40,949,6005,588,4798,1370,219026,189,673,61
1990,1687753,10302,5555,839,345,359283,1684,9149,80,11370,161114,215,2155,3007,162715,166216,707,121020,2970,15960,879,6169,2316,1966,135,198849,264,13992,213,3286,15541,76,4640,203341,72,18940,831,844,11650,1003,514,63,742,4845,1405,324,143438,7214,4994,3737,810
1992,3698706,50183,4493,2391,12510,460625,1308,58828,399,273776,254781,58,279,3505,21074,292960,1242,4021,245329,1455,10522,4311,290645,542789,403,24140,7108,12790,3829,682,4678,637,56997,4674,258,248804,4588,4600,489825,59,10182,42,217219,8269,5877,86,4485,47605,126,3051,231
1994,3268302,175940,119,939,7618,482275,754,187927,40,10919,6265,593,822,4855,12810,3147,2940,280297,0,9850,597,8339,11056,244536,731,3404,1426,185447,152225,2713,142167,202,229269,168523,1292,44201,6247,261930,169084,1172,4191,125,182604,21194,952,5925,3560,53808,250,172529,514
1996,2845111,40120,129,255703,4575,261066,935,231732,43,2951,9232,4370,13404,251076,26712,48366,12218,254398,2077,573,1281,280600,3121,4039,722,12847,1067,322,1936,7423,15206,727,7370,5012,560,26392,2916,4374,460416,112,1205,165,1453,18040,5802,127,557,517141,53,44150,321
1998,706517,883,90,2907,623,39517,12122,157863,70,1020,1669,150,1972,8754,12093,1268,3632,8346,191256,153,590,1043,3380,6531,1266,847,897,126,6578,1227,10660,2611,5515,12303,348,3961,807,8467,178001,77,767,30,1095,4848,781,85,394,4835,56,3817,209
2000,1739808,285,26,1016,20165,217228,919,227221,60,248157,3173,162,103,16339,8254,924,6845,2384,161,155,2331,325,298879,316710,408,5308,2556,134,1522,1423,302907,1993,3242,1864,891,2993,795,796,7321,101,727,32,410,4007,537,29,4685,5241,8956,9088,44
2002,917735,19358,20,6066,264,4751,173685,1800,37,29059,156920,327,221,2005,9881,3999,7665,12958,2776,5255,5561,497,1100,1086,627,614,79,96,851,492,934,1120,182242,2570,3367,1324,1728,1009,24770,173,193,1085,2666,15749,224256,61,472,5212,251,393,133
2004,804244,366,31,765,566,5462,7602,4961,48,1897,6448,206,101,7997,290282,1841,969,1219,115614,502,345,410,1391,2128,396,1968,75,683,500,281,1321,1186,303384,2509,189,1624,328,1327,18659,120,302,1447,825,8311,716,41,1636,3614,447,822,405
2006,2976611,344,232,6994,375,14062,11480,248748,227,269994,302482,193,2813,14841,7755,13228,5632,13659,1263,126,442,315,8643,4026,218,677,202,1980,30090,13553,200328,211349,258955,123896,71,464637,388,830,499313,67,938,52,519,4955,318,1084,11146,9347,420,17213,196215
2008,2532552,293257,3134,2283,63,392337,1108,6141,157,11191,1112,48,347629,5092,1202,935,4271,3461,319972,1096,360842,328,17887,8045,915,11692,81,5294,3318,2220,6596,1107,38227,1986,122,310868,292,391,26780,83,6271,61,426,6077,217,15,322133,3069,458,1576,713
2010,3145688,15342,46,64959,1432,255381,5876,3306,263,5603,12149,2033,880,222656,190997,34387,401,240143,371,1187,890,5928,18374,41010,3396,16083,112,222,268049,62917,12766,6586,618812,194505,853,9363,594,3525,235038,2106,1759,16354,1076,112757,4034,91,236844,25827,180488,7908,35
2012,3217009,394,60,302504,675,41572,19101,12783,68,345012,2001,1032,155,563565,56292,3037,358,5126,434,409,497,390303,352001,357983,248,613,750,33915,2265,7899,2399,550,86019,342778,462,7700,529,822,9064,621,1663,351,874,7046,245410,35,3362,2820,1419,2021,34
2014,1836659,270,667,223678,1747,263134,2566,2902,145,261818,1480,6010,233,15169,1127,18730,522,453,430,2881,191241,1550,4593,268785,172,1855,345,6365,8216,5982,2398,584,245086,1714,279,1078,208,682,2302,350,651,77,510,117742,3128,72,1491,155450,8485,1293,34
2016,2014379,1063,346,2251,240,343369,1939,702,367,17963,838,46,129,4852,951,3162,885,323,1377,1181,688,440,2287,717149,197,577,288,288353,315173,41124,5649,323,9145,2609,30,1140,299,1156,4556,187,762,106,422,232275,667,14,3263,2518,337,621,60
2018,4124901,574,1461,4141,2236,146580,2462,1012,91,45222,598587,59,214,278477,2281,25285,265786,8364,225,281467,536,474,13460,301138,276,4164,3159,24313,2350,1527,312920,33582,325695,290034,107,10851,239339,1092,29959,158,288646,113,495,256344,269612,42,39976,7023,1175,1775,62
