year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,80887,376,30,1401,40,1868,3374,492,2476,634,4033,1927,501,644,846,2752,62231,426,2355,174,2308,4265,11309,166,102,12985,478,550,12,120,8785,36,39910,6565,68,10038,7604,320,8988,65,5397,40,261,862,229,37,1498,241,470,2740,298
1978,70537,691,337,1103,16779,44105,2048,2288,227,38548,488,17,227,606,3240,1389,1749,1339,0,433,6086,865,6086,1639,85,496,379,1891,19,108,22160,63,5326,1080,45,1690,451,267,3168,1254,1263,308,151,13515,1516,13,4561,4400,585,844,157
1980,73442,3332,17,143,8,5744,421,1622,66,669,246,11,866,340,1724,4240,955,188,66,40,2616,4481,2524,3318,433,624,187,411,20,98,3062,9695,10135,39695,139,1883,45724,427,37970,341,5588,129,102,19888,1679,11,7732,3908,1532,13175,30
1982,76158,766,26,92,750,7060,460,3737,1370,7698,552,8,2015,5093,8477,385,241,802,0,8190,1369,238,2472,63257,62446,1140,683,284,254,292,1646,1894,2202,2877,20,4025,640,5419,1028,222,2027,5840,92,619,718,14,1046,368,1365,371,23
1984,112954,11988,331,7448,1492,1131,739,1706,190,503,1363,10,48,2706,1829,162,171,596,0,65,5062,1344,2031,416,53444,3972,69,52,214,168,931,100,29991,69680,21,1133,2094,1243,48724,50,186,242,961,10656,29,23,2770,297,885,257,13
1986,71277,94,134,70,57,523,4465,785,34,98,886,125,501,4440,2703,50616,54,289,6634,1055,1761,90,6402,3413,5242,5416,973,200,498,264,250,53,42429,7166,11,888,413,737,734,179,3303,269,671,2551,4882,7,671,4528,74,292,17
1988,61665,127,63,53,38,58139,122,97,27,665,198,262,72,1314,1299,237,101,274,142,73,88,49,889,570,716,1138,444,36,156,333,2734,5417,4319,5213,21,350,1676,99,390,314,3713,22,243,3817,260,2630,637,322,61,200,29
1990,26904,5063,3848,380,111,4549,824,3643,56,4303,2160,84,1558,1182,1626,40,312,96,1679,9232,315,2972,745,839,49,3343,102,6065,86,1727,5252,34,714,418,30,22542,439,442,4188,625,172,37,279,1351,778,289,1251,2341,1960,1830,594
1992,136718,66849,3024,966,6098,28048,437,80864,199,4082,1400,25,117,578,9142,34986,474,1438,109,787,4097,1193,1812,305,155,9830,4585,7403,2790,289,1146,310,18879,1510,159,2103,1744,2436,3102,19,5197,25,235,2181,3892,45,1542,61886,52,1043,136
1994,99099,86,69,270,3458,57239,430,932,30,5920,3045,211,482,1045,3321,1400,1582,213,0,6641,131,4078,3989,9136,218,1098,610,80,37,2046,137,76,22153,5845,747,38498,3558,4458,6336,644,2430,61,1187,6465,439,3319,1173,55717,126,946,271
1996,122170,44516,75,114,1625,51070,274,1544,27,770,3002,3563,8423,3597,28734,64348,6327,854,868,225,323,1365,734,1799,201,5989,852,203,1238,3437,6311,256,1101,1420,384,7229,1001,2005,734,55,531,71,338,5497,3500,100,125,6576,39,51157,190
1998,29906,296,38,1416,251,25946,6436,228,41,517,512,69,858,3615,4939,409,1495,3236,6,65,141,388,944,3429,729,262,435,38,4625,738,5177,1011,1678,6455,201,1892,224,5286,1805,32,213,21,338,1157,305,63,126,1941,22,1344,114
2000,55393,126,14,355,10358,13981,351,510,45,44846,1133,82,46,7162,5040,375,3142,951,42,60,1477,50,264,11914,178,2422,1521,46,845,856,1572,1101,515,436,453,763,361,302,2665,45,219,19,119,669,213,15,2191,1846,3554,4547,19
2002,46531,24450,9,2713,106,614,303,665,20,34668,3453,218,107,638,3280,1343,5290,6446,1763,3763,2764,86,181,279,303,144,49,47,351,194,209,432,651,721,2046,241,640,397,7704,94,49,605,1281,5189,64,27,132,2403,122,122,87
2004,10396,85,17,202,270,1059,4018,3021,35,454,2927,81,44,3843,832,793,374,470,512,270,77,77,325,930,164,520,41,292,308,109,332,511,610,579,91,280,105,479,8412,81,84,819,226,2631,298,30,537,1194,163,286,215
2006,57199,102,132,2908,141,6184,4858,2591,287,13971,94,97,1640,5100,2420,5541,2886,6682,486,53,152,49,3029,1350,87,130,146,782,39715,7334,299,85,8041,1155,40,1853,129,318,3779,24,355,30,106,1296,122,634,5676,4198,125,8974,0
2008,45191,2479,2695,574,24,7198,278,3911,84,3329,217,16,32,1624,328,297,2178,1773,5630,690,152,67,10468,3550,371,5631,49,2856,1430,1631,2793,398,43181,451,79,2453,101,166,10008,39,2355,35,141,1186,70,8,1938,1469,260,682,495
2010,142308,7185,27,83548,472,4075,3126,1055,136,1202,4483,1273,632,9112,497,38972,142,355,78,406,414,2127,12814,50295,1343,6992,81,100,84,81507,6501,2708,4870,1486,521,2870,251,1667,65361,1152,620,10146,367,2000,2691,79,3570,10980,373,3289,18
2012,97249,100,38,5846,323,7954,12128,6413,36,4769,821,732,65,1180,73947,1103,163,3002,242,235,116,134,1771,963,87,155,561,47605,865,2844,574,203,59508,2093,294,2278,156,301,2982,248,627,164,306,2546,40,17,1206,1128,665,640,17
2014,56577,59,328,2235,755,15638,845,1067,81,6609,598,3852,97,5684,350,10698,178,132,151,1838,192,493,1738,1042,48,900,225,3986,4315,4083,599,275,54153,337,251,152,71,301,423,162,226,46,128,409,1500,39,394,590,4791,395,16
2016,54905,466,214,724,95,10504,533,283,225,5907,186,16,60,1892,200,1420,468,115,641,496,224,137,484,13274,56,136,174,20,2648,48604,2498,80,2343,469,14,190,131,472,1351,80,193,68,89,526,294,9,1217,542,156,154,22
2018,87437,139,738,1278,1434,6839,782,517,64,58957,234,31,74,2906,780,10682,509,5885,46,51,124,149,3301,2770,95,1593,1646,34199,902,708,2447,49774,13537,2358,61,3281,122,335,9442,65,425,55,108,12068,163,38,17633,3269,560,546,43
