year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,99524,281,111,191,45,9085,219,1478,1325,10,1564,39,8533,126,10198,742,32436,780,895,1583,0,1506,222,1617,370,13685,1834,738,78,2320,386,9404,8232,0,447,1240,0,23893,0,4676,322,371,82098,368,3276,70,393,29626,5325,224,20898,148
1980,42497,17541,54,48,0,176,56,302,6050,9,121,287,10957,19,748,121,307,49,17800,1544,4651,3844,0,1317,3536,21285,1097,74,29,36,35,261,111,7,6656,21,719,55,500,544,473,34724,67,0,202,12,1295,347,190,1825,1523,53
1984,7518,126,24,30,91,168,57,63,96,5,54,127,383,21,305,80,1087,23,138,75,77,2164,5563,138,0,89,91,102,21,50,27,160,97,0,55,43,140,23,327,665,3236,53,78,134,71,20,184,68,267,420,877,19
1988,28240,161,75,78,180,2882,937,1452,253,8,70,98,491,68,16700,82,506,433,308,495,365,3376,643,754,833,157,2948,1593,128,105,43,194,1853,0,203,369,377,132,1530,10654,434,77,1125,148,502,34,2826,130,20925,1234,4471,96
1992,88669,811,379,10971,138,213,1706,729,525,10,12109,66574,201,146,198,711,1253,986,3014,1880,443,335,139,514,175,554,257,4994,142,4250,23418,4846,546,1,79366,243,10472,495,307,412,114,1791,1949,2176,3839,111,284,1745,193,190,2721,790
1996,51408,720,121,6672,186,205,22857,128,128,8,1437,26165,64,121,193,1584,334,131,42750,297,85,140,30,396,135,1985,1132,4211,186,0,296,112,685,0,2463,824,619,911,637,541,38,1399,3466,5051,1680,122,64,11713,363,170,441,190
2000,32597,245,42,1280,2338,338,805,176,317,7,0,320,87,22,334,168,0,148,164,663,1225,169,40,1367,9986,126,3498,55,82,4937,27694,134,0,0,264,74,4495,94,0,3102,39,274,97,2332,85,33,234,807,1124,1210,0,14
2004,455137,73,77,371,318,445,2491,442,824,5,1016,174,573,30,261,109,447541,42,121,246,404,511,47,4574,3721,170,730,96,42,4692,21042,1021,0,0,253,54,10630,42,2237,8260,54,102,136,181,125,15,96,748,1123,304,0,36
2008,50902,90,77,442,137,67,604,132,62,5,6281,903,25,51,73,49136,531,167,197,101,184,58,70,212,396,254,0,8571,231,224,544,207,156,0,0,358,1961,51,202,315,52,840,502,215,225,77,35,1250,174,250,209,40
2012,63845,67,172,356,92,60,1651,156,123,6,63280,730,14,50,185,253,1346,101,91,102,177,63,86,445,1111,514,669,241,93,1231,1524,108,483,0,9364,95,4497,54,227,1173,58,423,164,117,195,17,36,4681,191,71,720,26
2016,115267,83,236,3705,50,58,1558,215,369,6,34524,1936,30,34,108,114,389,80,43,81,5210,0,70,0,11640,147,166,176,54,9881,0,173,412,0,2348,31,554,35,254,78663,148,172,54,43,427,114,73,1284,186,21,85744,16
