year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6116137,539,184,316,102,28709,677,3225,3402,22,2933,74,13932,162,20408,1575,83009,1512,1986,2691,482968,2459,391,3106,578,26152,6729,1871,195,4652,643,18927,13396,1030,724,2373,4110456,58527,1029876,11474,793,547,74060,516,8356,95,538,51961,5943,354,30710,299
1980,5304062,57217,114,79,837582,322,130,843,13729,22,314,433,23411,45,1368,253,507,151,49127,2956,6982,11006,2524090,2205,5218,51520,1849,171,54,56,87,588,260,29,20878,53,726,150,807,1709,891,57238,100,1617616,504,32,2268,575,596,3590,3562,69
1984,2122632,175,65,78,167,378,118,186,250,20,101,243,782,38,539,163,1759,78,223,160,162,2980,13790,257,2084449,143,202,184,52,76,60,223,209,590,160,89,257,62,580,1708,7148,150,135,375,121,41,343,139,499,849,1048,52
1988,152910,253,189,210,485,7302,1562,3605,597,18,189,209,1117,132,19446,227,920,528,705,745,698,11803,1302,1531,1948,242,6679,2572,209,185,132,446,3659,586,359,522,907,358,3891,14771,668,168,2552,328,574,73,8331,234,38046,3900,6636,188
1992,534247,1713,784,19094,290,449,3713,1957,1140,15,20504,200237,707,376,390,1906,2209,2582,8195,3952,984,399,241,1255,526,1037,757,11685,248,9455,41882,14543,1193,59,122603,476,21752,1027,707,965,215,5631,5415,3837,5741,286,282,3866,491,447,4182,1871
1996,756769,1922,257,16564,280,519,38103,241,384,15,2691,61646,126,224,280,2211,873,247,83869,615,163,296,69,484,357,3339,2003,8613,235,464279,715,318,1693,168,4061,1727,2256,1431,1188,1151,73,2504,7124,14353,3576,190,136,21086,515,379,750,492
2000,12180789,410,82,2179,2625,657,1411,297,575,16,5963110,718,281,55,596,379,1353022,256,386,1520,3209,289,119,3520,14949,311,8421,123,113,6884,53506,353,598605,1691,611,110,7523,197,1533950,4873,100,347,167,5745,204,51,839,1516,2847,2401,2598607,53
2004,4356811,131,126,861,1003,867,4711,965,1661,14,3593,362,1190,67,975,194,431249,134,268,389,1002,601,143,8752,7564,266,1784,223,82,13288,46654,2242,756304,26837,573,108,18692,104,5496,14706,205,373,187,452,223,49,232,1418,1899,547,2997007,59
2008,15110591,194,181,1208,229,155,1217,168,137,12,11460,3554,43,165,139,96252,1012,389,385,241,315,134,158,283,844,550,2925205,17110,374,637,959,382,375,7722019,4310851,1243,3580,104,290,843,120,1153,1437,401,687,108,64,1927,292,490,440,95
2012,183357,200,436,1100,162,176,2965,313,254,12,109949,1464,49,84,306,896,2701,203,188,373,382,122,159,1006,1691,811,999,488,224,1944,3112,287,811,1372,24441,219,9663,76,625,2927,120,824,262,218,335,39,67,5829,498,118,1834,48
2016,6009998,115,355,6833,132,96,3282,502,598,12,72700,3535,88,76,342,250,962,195,103,258,10780,1039,125,4799284,36285,291,264,201,155,15451,744296,466,1195,563,6217,61,1217,67,706,163115,355,417,90,123,1210,215,120,2818,337,50,132041,37
