year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,34033,0,0,640,0,7319,0,281,448,126,0,467,0,0,248,0,0,0,0,201,217,45,1903,38,0,334,102,2590,78,0,145,414,549,0,114,6910,0,0,2536,326,0,0,2598,390,458,3489,228,30,0,37,788
1978,2275197,8,24,0,19,0,250,0,303,0,14,0,55,1196,0,6780,532,129,0,133,0,784,3987,267,387,0,601,57,0,18202,542,1874,0,963,0,0,73,126,0,28,569,67,309,521204,0,0,1222256,0,493351,0,121
1980,1256799,8038,1327,53466,251,208,25956,378,0,6339,23886,23,439647,367,1428,1109,119,71,214,0,69,0,0,0,0,3716,0,0,162,4243,0,0,33,437920,0,44,706,1114,13386,0,50,202,0,0,38,209124,0,1224,0,21958,0
1982,96030,0,0,252,0,1398,0,4256,560,127,0,18,0,0,1100,0,0,0,0,159,96,140,269,2093,121,27969,398,54,12016,0,7902,1424,10,0,95,295,0,0,230,13518,0,0,133,239,267,8110,12246,32,62,76,381
1984,1334514,109,41,0,347,0,76,0,179,0,19,0,32,19358,0,555,26,1292407,0,37,0,860,3822,232,148,0,279,5493,0,266,95,46,0,5003,0,0,27,72,0,36,67,35,101,275,0,0,45,0,4418,0,22
1986,1634207,1211897,758,206,132,30970,31590,83,0,810,19817,27,7050,80,153,76,48,31,2118,0,142,0,0,0,0,2588,0,0,2157,72,0,0,1299,0,289013,127,843,95,421,0,88,7847,0,0,35,94,0,17556,0,5998,0
1988,521533,0,0,351,0,993,0,203554,127,101153,0,25,0,0,59,0,0,0,0,18,132,64,154,369,1518,55,4927,382,3958,0,1087,94,53,0,189,406,0,0,59,948,0,0,84,211,59,56,39,15722,80,3658,180964
1990,31646,163,72,0,4,0,391,0,103,0,0,0,152,82,0,986,36,3307,0,140,0,454,269,12002,0,0,47,208,0,59,7160,39,0,2823,0,0,16,1353,0,126,76,1261,45,117,0,0,18,0,61,0,93
1992,1600802,91,290,97,176,2469,808,1500661,0,90,48784,65,438,766,353,51,86,103,0,0,38,0,0,0,0,1470,0,0,568,10509,0,0,3546,4502,175,910,156,2190,9836,0,7464,74,0,0,317,697,0,1191,0,1845,0
1994,62700,0,0,322,0,20207,0,521,503,45,0,34,0,0,54,0,0,0,0,125,233,338,949,2954,55,138,121,758,776,0,7334,1259,253,0,300,387,0,0,12387,94,0,0,391,161,43,761,10162,546,48,240,216
1996,1795045,1700,18,0,2604,0,2933,0,151,0,45553,0,314,345,0,2767,94,575,1700102,2512,0,1534,261,954,43,0,3040,387,0,6222,636,57,0,1529,0,0,241,5078,0,98,894,10271,116,705,0,0,2758,0,28,0,542
1998,1625778,117,24,40,442,682,103,67,0,116,1558,22,40,9227,88,47,61,1145414,69,0,51,0,0,0,0,945,0,0,435864,47,0,0,7101,3913,99,466,51,98,102,0,1546,123,0,0,83,29,0,267,0,16891,0
2000,2547767,0,0,13,0,190,0,76,531,2916,0,29,0,0,63,0,0,0,0,46,114,24,28125,2330,72,16603,5313,15245,304,0,7651,134,532,0,136,110,0,0,1397,338,0,0,65,67,58,42,3704,2461379,20,130,26
2002,369267,222,16,0,1125,0,3018,0,268,0,1665,0,68,132,0,649,13,92,254,230,0,27,158,15493,16,0,67,15,0,3881,801,106,0,837,0,0,156,262,0,20,738,337501,851,438,0,0,14,0,112,0,39
2004,522376,66,8086,23,525,177,3116,70,0,62363,223,23,6,35,121,44,41,48313,144,0,69,0,0,0,0,448,0,0,112,85,0,0,49,3799,58,88,496,79,683,0,766,391188,0,0,43,32,0,504,0,519,0
2006,2807092,0,0,761,0,125,0,604,41,158,0,129,0,0,13,0,0,0,0,27,696,52,290,175,88,13164,406505,99,378,0,261,44,16,0,48,522,0,0,276,1538,0,0,10028,95,70,71,2370445,266,23,49,49
2008,3222638,116,317723,0,20,0,650,0,78,0,369,0,130,41,0,115,110,1982,1658,164,0,61,83,2887646,117,0,38,282,0,1645,433,134,0,1053,0,0,240,6522,0,33,333,110,75,473,0,0,83,0,108,0,28
2010,56566,80,3506,105,155,673,23826,15,0,168,202,28,28,0,344,81,40,613,199,0,113,0,0,0,0,408,0,0,2720,149,0,0,13,564,26,262,40,243,15427,0,57,0,0,0,96,65,0,3242,0,3094,0
2012,397125,0,0,7388,0,115,0,15,39,455,0,133,0,0,2009,0,0,0,0,168,69,1537,196,59,312,303,5463,340,46985,0,217,2075,14,0,321144,1883,0,0,884,85,0,0,59,264,60,32,2426,181,139,2064,26
2014,214715,6,20612,0,228,0,20235,0,400,0,1435,0,82,560,0,1340,598,279,3586,66,0,155,393,663,178,0,237,68,0,6630,400,577,0,30911,0,0,45,211,0,37,192,143,83,108,0,0,124149,0,99,0,22
2016,809552,97,268,490,130,147,2395,25,0,1122,385,29,45,308,719,134,78,355,413,0,101,0,0,0,0,10444,0,0,11941,739140,0,0,1395,2302,18,168,40,122,31272,0,9,36,0,0,40,91,0,228,0,5081,0
2018,8252601,0,0,13581,0,950,0,16,150,8190005,0,39,0,0,1782,0,0,0,0,188,71,112,2119,183,327,2495,6988,170,3159,0,556,123,4449,0,640,1569,0,0,403,147,0,0,708,13673,63,56,302,233,6623,679,56
