year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,7882,0,0,365,0,4609,0,143,251,86,0,335,0,0,163,0,0,0,0,135,123,19,703,17,0,149,72,1704,54,0,84,272,279,0,64,3617,0,0,1612,171,0,0,1996,255,369,2271,146,14,0,17,325
1978,727357,3,10,0,15,0,214,0,190,0,5,0,31,671,0,3213,325,72,0,69,0,496,3224,128,280,0,350,29,0,11763,426,1409,0,611,0,0,47,49,0,15,289,36,149,728792,0,0,0,0,0,0,64
1980,597642,6935,913,28301,179,141,12548,201,0,4087,11653,12,0,182,930,648,68,40,125,0,41,0,0,0,0,2788,0,0,88,2584,0,0,15,598106,0,27,394,777,8045,0,37,111,0,0,24,0,0,792,0,13321,0
1982,30260,0,0,167,0,791,0,3380,296,62,0,10,0,0,658,0,0,0,0,136,46,71,141,1511,98,25143,184,39,5612,0,6261,908,3,0,58,163,0,0,180,7227,0,0,74,132,153,4416,6302,13,61,36,279
1984,12961,52,28,0,240,0,50,0,92,0,11,0,18,10362,0,277,13,0,0,25,0,607,2494,96,71,0,177,4052,0,134,48,32,0,3158,0,0,18,41,0,18,50,31,64,186,0,0,25,0,2562,0,11
1986,22361,0,492,115,77,13495,16664,47,0,422,14534,11,3941,40,86,49,29,16,994,0,49,0,0,0,0,1705,0,0,1002,28,0,0,885,0,0,82,718,41,283,0,47,6556,0,0,20,61,0,10938,0,3547,0
1988,302831,0,0,247,0,734,0,303296,62,64165,0,15,0,0,34,0,0,0,0,8,86,24,108,283,918,31,2122,209,1866,0,728,48,34,0,98,209,0,0,29,759,0,0,45,120,33,33,18,8791,51,2328,0
1990,10026,81,36,0,0,0,230,0,55,0,0,0,95,44,0,574,23,1458,0,66,0,236,134,8831,0,0,23,93,0,33,3580,21,0,1777,0,0,8,960,0,72,44,767,24,43,0,0,10,0,37,0,62
1992,27950,66,145,40,110,1350,400,0,0,65,27232,41,219,441,268,36,49,50,0,0,19,0,0,0,0,764,0,0,312,7844,0,0,2000,2439,102,506,71,1186,6034,0,4515,47,0,0,176,471,0,670,0,902,0
1994,18714,0,0,209,0,12747,0,302,482,25,0,17,0,0,32,0,0,0,0,82,190,275,626,1943,38,94,52,388,514,0,4774,702,129,0,177,261,0,0,8370,50,0,0,245,95,24,500,6195,335,24,129,126
1996,27575,1506,8,0,2014,0,2079,0,82,0,24892,0,195,231,0,1637,54,605,0,1710,0,1224,217,602,29,0,1890,257,0,2657,295,39,0,1036,0,0,117,3842,0,60,499,6845,60,597,0,0,1498,0,20,0,348
1998,13346,88,12,28,253,352,64,41,0,68,1304,16,25,6578,59,21,33,0,35,0,33,0,0,0,0,574,0,0,0,23,0,0,1557,2070,59,291,22,57,52,0,940,75,0,0,46,15,0,141,0,9507,0
2000,25017,0,0,7,0,154,0,35,274,1390,0,11,0,0,43,0,0,0,0,25,68,15,20116,1698,45,8207,2515,6629,170,0,5539,76,410,0,69,50,0,0,694,275,0,0,33,43,27,27,2121,0,11,71,17
2002,9860,143,8,0,557,0,1993,0,208,0,1123,0,36,55,0,318,7,69,127,99,0,15,87,9082,15,0,33,8,0,2199,469,78,0,386,0,0,82,149,0,8,574,0,638,205,0,0,9,0,92,0,21
2004,44229,37,3829,11,262,106,1640,52,0,33007,118,11,2,20,75,31,22,26809,87,0,32,0,0,0,0,252,0,0,82,66,0,0,36,2220,57,38,248,38,430,0,396,0,0,0,21,17,0,281,0,219,0
2006,10662,0,0,431,0,62,0,224,24,79,0,84,0,0,9,0,0,0,0,21,417,34,176,112,58,9388,0,57,243,0,162,22,10,0,30,267,0,0,218,964,0,0,5577,42,40,41,0,148,10,31,27
2008,3940,74,0,0,9,0,347,0,42,0,294,0,88,19,0,73,38,1620,898,113,0,48,41,0,63,0,22,189,0,1111,287,61,0,654,0,0,149,3364,0,19,147,61,51,292,0,0,51,0,57,0,12
2010,15306,46,1783,50,88,347,10586,4,0,92,112,17,11,0,288,55,22,348,86,0,53,0,0,0,0,261,0,0,2161,97,0,0,5,315,15,199,29,172,6458,0,36,0,0,0,64,44,0,1860,0,2083,0
2012,23294,0,0,3598,0,59,0,6,17,244,0,91,0,0,1136,0,0,0,0,93,42,1078,151,37,183,228,3155,209,22639,0,140,808,5,0,0,1039,0,0,507,54,0,0,36,144,36,16,1520,100,73,1405,15
2014,92295,3,12422,0,107,0,11310,0,303,0,942,0,56,294,0,1089,346,136,1854,43,0,103,198,397,109,0,151,37,0,3469,247,371,0,21608,0,0,26,147,0,13,82,98,53,58,0,0,89737,0,69,0,11
2016,24391,63,169,302,55,88,1420,8,0,512,247,16,32,189,427,92,34,240,263,0,43,0,0,0,0,10544,0,0,9352,0,0,0,0,1923,10,103,22,70,15992,0,5,16,0,0,21,49,0,186,0,2058,0
2018,12388,0,0,7495,0,470,0,5,86,0,0,19,0,0,923,0,0,0,0,95,41,62,1415,80,157,2010,4431,81,1651,0,324,82,0,0,392,884,0,0,166,84,0,0,494,9734,29,42,165,141,3578,494,35
