year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,11836574,1367,179,195702,158,468701,247754,4913,7710,15,4871,7851,14547,167512,235889,356818,282358,58883,2752,86227,483477,7756,5302,230233,207815,664589,23614,2354,3516,3697,731,32950,10580,34257,126595,2436,4339182,58616,1030491,375249,1050,8267,63249,3695,823926,1231,4678,192845,223229,695782,29339,1665
1978,4979904,1541,587,1487,15927,241672,144419,4054,571,0,19776,1142,41,614,182054,9922,10954,240351,3780,130908,1013,102970,2484,188446,3596,97784,1671,1351,3966,31,14375,27222,97567,128058,71343,57,317202,1335,797,169826,2568,72103,129841,769,718070,3276,21,1230958,14723,564416,1941,347
1980,9897782,60274,1175,69784,837848,175074,26717,238406,14261,21,9731,23622,17186,441498,231701,204050,13123,2137,273939,2934,5170,14344,2534771,230851,11311,170204,8208,516,849,260,4316,220204,19414,23605,569339,450,103148,38962,293376,382019,1197,61485,647,1617974,444878,5146,210842,210215,9454,7334,53711,125
1982,3054100,167125,37,167323,1519,24877,1548,192570,2614,0,23786,1115,40,4971,217753,22338,1572,687,1595,8,11642,3323,937,8453,283748,26677,212474,1478,551,12665,763,11944,4815,7161,178611,129,139880,1376,15748,523787,14675,4597,7467,146646,142014,1741,7837,446193,1185,2324,1355,448
1984,8045052,145844,513,9584,2869,137085,1906,5137,669,14,2277,2916,564,202525,262384,239169,208365,710,1406441,161,303,12977,13022,219404,2085983,187862,200563,604,5321,504,602,3350,497,38663,942282,99,155033,3552,4701,480691,6033,907,471,3296,817353,213892,306,7067,1409,7153,1952,93
1986,4866848,1308728,1067,146882,287,39571,47986,1932,74,0,1406,23875,206,8547,259221,161833,37840,109513,735,12614,794,132937,374,19911,196956,86825,140593,1693,390,3352,604,1012,222,292382,339730,289042,249090,1322,1777,256168,352,10723,8784,1524,529839,8964,99,2227,27638,90910,8274,47
1988,5519067,642,306,641,510,47120,1525,192540,668,17,364253,201500,1427,280,338271,4052,1621,169372,1044,1198,874,317847,1679,4282,3487,2775,6671,8522,222862,4834,638,102202,111050,755922,451699,779,2375,2956,225843,594055,2008,7812,1726,1417,592504,684,10793,1406,439070,121797,10355,181182
1990,4907672,10682,5156,861,348,458005,1975,7767,168,0,10414,1194619,242,2422,2873,162297,167160,802,266332,3179,16781,882,6599,2664,12591,323552,198987,305,15851,220,3099,25030,80796,4574,206316,96,135808,928,2241,620693,986,644,1560,825,712998,1374,259,143335,7117,80979,3521,784
1992,7101863,66572,6008,19736,11194,460261,5240,1553021,1197,13,289382,482676,623,1072,4598,25758,290249,3577,10932,248271,2573,9825,4573,291743,543224,1305,27164,15521,15379,11721,53227,15759,1632,56961,123183,853,460000,4915,8227,1040400,263,20175,4461,220733,439364,6531,921,7707,49353,173433,8529,1850
1994,4089150,175941,120,1255,8125,520783,139453,188366,411,0,10196,6025,671,732,4886,11624,3163,3041,280251,7,7998,874,9098,12003,244161,758,4125,1757,186219,152884,2878,148607,1423,234699,268014,1599,324123,5869,261760,181347,1162,4634,146,182604,259627,958,7340,13734,40358,313,172378,674
1996,5838713,53554,398,269192,8131,269570,43800,231696,460,13,5264,237130,4619,12797,252823,51824,49781,11404,336722,1702869,3023,1537,282477,3943,4636,3476,14615,11143,907,465986,16788,14078,1905,7710,9496,1981,29226,4781,9690,461079,291,3802,17282,14048,21068,5754,275,20207,514778,317292,32206,1210
1998,3037828,974,109,2742,1072,120594,12853,157931,66,0,1178,341121,182,2121,301899,11273,1456,3259,1153978,191338,164,665,1011,3475,5840,1082,1846,853,117,441309,1307,10765,2711,12041,22963,424,4339,789,8990,178575,88,2364,153,1109,4587,954,98,418,4429,58,19999,184
2000,17016156,602,99,2778,25754,218169,1727,227517,963,13,6226790,202908,396,136,17599,8399,1353952,7267,2561,1461,2926,2415,436,330804,344639,771,29982,9484,18702,7269,45842,311548,600374,5035,2390,1356,8900,893,1534685,344874,445,962,182,6136,4165,615,787,10557,2469378,11195,2609223,118
2002,2438431,19915,36,5356,1574,4767,176676,2227,278,0,26735,507889,369,305,350687,9590,4698,7174,13080,3121,4604,5438,514,1378,16608,667,615,163,113,766,4381,1659,124108,182406,3367,3155,126908,1858,1263,26682,193,764,338788,3523,223168,224280,68,477,5223,338,365,137
2004,8006416,574,9121,1611,1969,332465,13696,4874,1561,12,59531,1046653,1402,148,9630,290316,201827,1117,220409,116142,1481,812,546,7949,8043,574,3802,246,757,12629,43968,2662,757629,324163,6953,356,238923,892,5947,455012,285,1372,392803,233643,182765,874,286,2687,5604,904,2998359,454
2006,6754906,328,299,7894,390,382242,10916,249174,254,0,276118,424872,321,2829,17138,7735,12263,6708,14655,1287,148,1050,374,9705,4182,284,13052,406662,1878,27395,11149,431149,211402,259079,206384,121,465661,398,848,499145,1370,949,43,11044,172257,378,1122,2381476,10733,533,13278,196256
2008,21715053,294713,320767,3500,248,1101208,2650,5678,351,9,20991,4090,93,347880,5343,69217,1912,3796,5498,320129,1325,360948,475,16469,2897282,1522,2937728,15213,5480,3438,5056,6995,1567,7749407,4313973,1160,313853,608,7181,27742,209,7218,1208,805,198605,308,72,323813,3495,1057,1900,890
2010,4023421,15497,3079,43632,1684,390412,34046,4002,312,0,5195,348897,1759,801,221771,191427,26900,503,240566,598,1250,1049,5447,17803,35308,3152,17463,116,230,270272,60103,13069,6901,619889,194873,901,9349,634,3876,413050,1925,1955,241866,1000,112148,3994,125,236341,27279,180536,10420,40
2012,5070183,568,384,312811,791,40954,20029,11224,346,9,438405,644390,998,227,563733,66758,4781,211844,5423,724,797,666,391693,352818,359480,1124,1806,5316,44563,55757,10687,2895,3465,74751,359899,321757,277163,589,1437,13554,788,2073,539,1173,194229,245509,125,9963,3040,1891,6161,100
2014,3477425,275,16840,223290,2213,265352,18939,2903,552,0,260144,769242,4936,324,16454,1207,17419,1178,769,3973,2634,191235,1696,4310,269613,307,2101,536,6457,10187,13292,2729,1109,242912,34483,250,145087,280,970,445097,380,864,232,591,233007,3001,62,94197,155830,6665,1260,61
2016,11681529,1312,921,8123,509,344140,8239,1099,946,11,74200,730264,144,238,450872,1913,4132,1014,473865,1862,9321,1657,561,4801563,748910,452,9367,448,515184,341581,1545833,5812,1229,10335,9803,107,2275,370,1906,973854,503,1104,235,510,469648,881,197,5961,3102,428,114499,118
2018,13057190,586,1792,16232,2001,148585,2452,1052,241,0,8227719,873962,99,251,278524,4214,25664,265634,7175,247,281665,628,621,14557,301943,566,8104,8961,17273,4919,1535,313197,34225,332065,477326,728,12515,239366,1161,261318,328,288584,114,1222,269482,269750,73,40403,7925,7815,2297,119
