year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,133350,611,96,1753,80,10595,3961,1814,3363,8,2021,4659,7266,512,12422,1267,39268,64468,1298,3872,215,3097,2769,35893,279,5923,8733,972,1555,1899,265,13959,3770,30229,5417,1613,9236,27164,233,9055,310,3981,88567,1560,3854,514,2956,23192,3010,430,14599,719
1978,570951,968,233,610,23952,23521,1289,1618,239,0,28045,618,17,249,1253,2790,3238,2993,2235,0,450,7047,1135,6804,924,264,592,588,2795,14,6903,25919,1341,4500,1470,31,2368,492,331,2976,1376,1025,321,228,574579,1756,9,3241,6341,526,480,160
1980,583176,35991,422,50824,132,4313,15086,1613,7955,11,3532,11897,10196,849,1100,1359,5823,982,22934,1299,2165,5246,4118,3644,3895,24762,3286,198,351,127,2723,3873,8222,6488,565998,234,2503,47803,773,39737,448,25277,218,134,37202,3821,954,6474,3697,3160,41902,60
1982,98209,1048,22,181,801,7157,467,4380,1473,0,25822,377,13,1811,6084,7594,568,223,764,0,5842,1955,288,2636,74198,36647,15696,673,241,6753,496,3427,2148,1922,3931,63,3625,908,9609,1153,9183,2160,4395,112,595,649,4677,7176,376,1246,343,220
1984,117446,37251,250,5199,1574,844,959,2400,252,8,538,1060,326,34,15753,1841,475,250,814,112,90,4988,6810,3862,469,39205,3067,252,2743,237,246,748,184,31195,66298,56,920,1485,1775,60144,3544,217,214,1499,8718,34,155,2672,431,3514,612,25
1986,83931,129,544,113,103,20366,24255,842,37,0,469,13903,100,4758,4286,4023,50438,56,456,5148,481,1574,54,28219,4921,4113,2736,953,121,1242,369,188,101,37299,7155,17,1000,525,726,777,206,4454,6719,545,2509,4640,46,728,10274,82,7561,22
1988,313126,221,180,180,284,50538,623,304905,293,10,61858,256,562,94,10817,1211,479,267,269,507,420,4027,1381,921,1155,828,2400,3294,272,2850,274,1966,5177,3653,4473,459,592,1259,2004,7698,514,2460,1149,442,1841,193,5057,373,18137,2331,4426,84
1990,29038,5134,2813,384,131,4015,754,2603,76,0,3167,2073,136,1114,577,1135,574,292,2526,1944,8827,327,2468,590,7155,71,4289,101,8442,100,1567,8923,46,681,1700,75,22379,410,1056,5498,378,245,1410,249,1161,653,153,832,2215,2360,1137,267
1992,168326,78098,2887,11382,4368,10553,1655,71506,456,7,10476,96342,299,371,924,29883,11170,1429,3964,1587,1143,3465,1307,1786,403,719,9990,8214,10020,5754,28710,6459,581,15683,68416,294,17080,1320,3755,7247,154,6333,2752,2840,5937,4907,315,2409,61502,223,3392,945
1994,90257,57,65,280,4372,75405,367,878,174,0,3510,2305,320,434,1304,3247,1413,1727,185,0,2836,239,5980,3193,5738,224,1789,1024,407,551,1702,3913,931,30915,5745,612,38982,2366,3947,9138,565,2587,105,911,16416,373,4992,5309,28695,117,650,315
1996,145362,61030,165,7940,2688,69381,24171,1580,161,7,1593,46058,2653,7065,4332,65035,64655,3606,54846,1145,1322,281,2146,810,1298,1665,7361,4343,281,969,5844,5425,649,1500,2225,823,8647,1543,2591,996,108,1195,8781,6698,5962,3115,133,11129,4613,260,12009,372
1998,31697,247,43,931,423,14304,6791,231,45,0,415,997,102,895,8523,4543,482,1352,3932,59,77,146,360,710,2163,608,618,379,46,2973,798,4655,1235,1474,24838,166,1265,181,4373,2275,39,975,75,314,844,511,39,119,1125,23,11807,100
2000,124389,251,45,991,29092,32785,539,630,398,6,67348,851,119,39,7952,2420,491,3109,837,905,1584,1040,77,22261,49912,312,10260,4746,15975,2744,28704,4401,798,648,617,612,3350,234,252,3079,130,303,78,3687,800,168,404,3567,2603,4737,5627,33
2002,35311,25559,15,2219,629,964,2027,854,139,0,12179,4926,236,98,549,3202,1450,3905,4732,2110,2849,2546,105,294,9892,371,153,80,37,337,2325,393,407,930,1071,1851,234,646,399,10347,80,235,719,1512,4112,80,40,135,2437,131,91,55
2004,280434,116,5230,509,872,1176,3929,1697,1191,6,32028,4365,1040,46,4695,901,272869,377,19341,640,803,213,128,4182,4776,175,1309,115,327,7342,29426,642,642,902,2404,123,7641,217,2550,11348,97,433,1230,320,3609,493,167,674,1725,316,345,218
2006,64627,99,209,3755,134,3855,5976,2894,112,0,43328,105,126,1527,7353,3145,5406,3722,7420,525,56,335,90,3028,1744,84,5470,80,585,38935,4512,522,136,8223,960,43,3186,116,365,3191,781,299,18,7904,900,112,749,6075,6733,251,5017,19
2008,52504,3597,1664,917,90,8147,601,2693,116,4,9415,1494,33,129,1886,45627,544,1094,1894,3812,531,138,76,6146,3830,519,7403,11506,3398,1387,1304,2762,419,8661,823,637,2717,179,5366,10666,90,2866,641,234,1417,99,36,3346,1704,436,650,434
2010,118348,7754,2038,51783,613,3374,22215,1899,199,0,1101,4184,773,334,8406,451,29446,188,438,183,665,364,2312,8161,37616,1409,5723,70,92,1240,78082,6114,3242,5782,965,733,2043,286,1219,76802,1031,753,7396,296,1563,2476,57,2975,9162,373,3825,33
