year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,135472,486,74,1577,59,24156,2630,1697,3057,8,2144,3911,5209,386,8920,935,59783,56930,946,3606,219,1968,2724,8412,352,14047,8053,873,2000,2562,296,11162,5863,12229,5297,1162,10399,37328,238,11728,441,3529,74898,1215,5636,371,1857,23686,3393,530,13490,591
1978,802723,718,418,748,17419,31590,1002,1940,289,0,7177,458,19,308,1029,4186,3290,2633,1817,0,575,6314,916,8214,1226,197,468,476,1424,18,8859,34779,1004,4574,1341,36,2866,436,200,4146,1799,886,260,270,812054,2132,12,3666,7337,467,634,142
1980,558720,23902,661,26865,69,5410,11275,1813,7481,9,2920,13599,10484,929,598,1705,6138,820,21705,1779,3871,5880,4672,3145,3665,28266,3129,169,550,104,1578,2764,11929,7159,528485,174,2143,50554,1015,45624,662,25735,226,143,44307,1765,609,8596,3509,2812,15503,60
1982,89419,784,25,141,888,5946,679,2573,1401,0,10637,416,12,1981,4945,9083,454,206,636,0,5041,1800,268,2822,74585,43660,18992,648,220,6577,418,5730,1844,1242,2853,49,3124,982,5875,1324,7793,2495,4614,93,679,648,3336,7257,257,904,389,208
1984,118325,36962,240,4636,1382,732,902,1525,189,6,640,773,518,56,10859,1560,824,302,712,54,87,3745,5264,2288,338,57364,2713,160,2792,289,187,941,162,9072,77108,61,690,2511,1635,49044,2836,301,230,1680,7794,43,123,3591,432,1967,778,27
1986,64691,90,433,120,109,14478,15739,659,42,0,410,10745,104,5152,4597,3789,57289,53,433,5390,518,1231,83,6630,5567,2826,3240,1189,179,1644,358,224,89,37262,5536,14,886,901,471,662,260,4125,4872,836,1929,5863,41,948,11455,65,3203,36
1988,334733,209,112,202,167,68400,630,347104,229,8,72719,285,576,117,11177,1389,508,292,608,577,508,5736,727,997,1292,757,1895,5653,231,2160,264,2140,3132,5953,6254,341,716,1668,1595,6042,646,1913,1690,308,2221,221,3930,592,29334,2115,3993,105
1990,42383,9375,4438,405,157,5210,970,3511,63,0,3133,2089,98,1781,837,1266,845,192,2159,1470,8650,295,1991,572,6131,52,3737,104,7238,98,1614,7565,51,671,1833,46,36314,318,918,4349,372,158,786,322,1608,893,179,696,2143,2974,1627,342
1992,174946,66822,1795,5686,5478,16125,1758,71244,770,5,9312,84732,325,242,703,9282,47972,1364,4127,2799,919,3988,1530,1243,421,336,11852,8285,6834,4182,20571,6654,571,17189,57802,273,16025,1995,3443,4859,108,6856,2405,1870,4337,3967,462,3132,51625,200,2821,800
1994,100413,74,81,328,4201,53779,223,1531,304,0,4599,2406,466,390,1249,2842,1859,1225,169,0,3138,193,7969,3264,6826,272,1786,1370,505,372,1422,4345,622,36998,5514,861,53525,2379,3392,12098,672,3547,58,971,17065,398,5006,6751,47885,76,1431,361
1996,136376,55743,150,8212,3592,61215,24322,1486,181,5,1495,30504,2658,4551,2994,65162,32023,4596,36114,880,1163,340,2249,795,1561,2150,5624,6231,319,967,4460,6332,916,1696,3033,1149,9146,1022,3364,880,91,1728,6279,11067,4964,2759,113,14258,4758,167,42707,349
1998,29157,246,70,1144,591,9384,7404,250,32,0,567,1032,91,937,7459,4213,575,1354,2685,47,75,179,374,915,4059,659,725,579,39,2738,469,6590,1713,1455,18393,150,1206,218,5535,1498,35,787,64,480,1082,482,53,129,1117,14,8854,115
2000,103738,177,49,1044,11736,43456,790,630,371,7,67967,1292,111,57,7939,2668,302,4781,959,741,1559,815,87,15700,48412,213,12289,3947,11291,4381,24933,4160,578,582,650,533,3752,353,243,4577,192,351,98,3267,732,261,322,3741,3180,6758,4961,42
2002,45890,24779,21,3036,784,867,2284,538,149,0,33728,3523,182,118,515,3811,1579,3677,4534,1547,2386,3102,92,320,8305,217,159,61,63,341,2477,439,509,649,1148,2236,215,983,437,6956,76,478,979,2100,5132,106,27,131,2657,172,104,114
