year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,4636045,1054,39,194640,68,441240,246575,1611,5011,1999,7328,2985,167243,216604,355360,210695,49678,1190,83676,375,4680,5297,217019,207382,93873,17686,923,845,19,250,16573,88,28418,124934,103,220053,13053,612,365051,119,8496,67,691,816763,719,63,151515,218562,129123,5273,446
1978,2830462,1369,669,1604,14523,247191,143961,4048,288,16082,1072,40,607,180853,11336,3393,239155,3290,130907,974,102409,1598,186092,3375,97478,1617,673,3339,31,179,32155,95831,128597,70295,62,317378,1296,599,171198,2720,71474,129692,500,310824,3288,22,7640,15430,71085,2019,225
1980,3424470,4966,33,436,31,174870,1136,237293,126,2282,498,26,1807,229901,202970,10920,1775,236732,289,81,6121,11729,229357,6999,128904,1837,360,934,36,263,219231,21612,25180,149079,342,102141,40068,291796,373722,806,13731,319,358,448430,3914,14,211333,7064,3202,19386,55
1982,2952786,166862,44,167056,1647,22932,1606,187116,2115,19007,1059,21,4916,216323,21761,1483,629,1483,8,11295,3153,804,8441,281053,32218,185515,1027,439,657,756,4839,3424,6936,178360,42,138435,1497,13517,523800,762,4793,8353,146486,141873,1398,34,432044,1030,2291,1422,44
1984,4605263,144191,391,9524,2288,136792,1668,4645,245,2197,2494,34,202454,238486,239087,206695,605,113930,8,130,8913,2532,215634,1212,199255,200300,145,142,462,261,3154,264,34328,949597,25,154606,3608,3646,473922,112,841,366,3233,817643,213869,47,7604,1072,1520,1077,30
1986,3225671,96816,343,146716,162,3432,15308,1754,68,498,2108,188,921,259296,161077,48277,109466,721,9976,880,132441,386,14897,197254,86839,138028,2025,415,964,585,1042,204,291293,337668,26,248794,697,1548,255548,395,10474,209,1625,529436,8663,10,2222,12089,90905,951,55
1988,4890902,465,111,195,99,51311,350,344,70,253222,201308,658,150,321279,4012,952,168920,562,461,186,308643,260,3149,1486,1474,2651,852,222365,376,539,100615,106643,757622,453040,47,1311,2869,222579,580337,588,6772,44,948,591436,537,4217,1298,394191,118580,728,76
1990,3574883,13201,5751,860,365,458408,1661,8393,73,10736,160878,215,2517,2766,162545,166224,681,262523,2671,18330,869,5726,2353,1832,49307,199078,286,14130,219,3477,15497,80756,4572,203381,83,141747,785,876,618766,892,524,68,754,712845,1629,272,143193,6526,81194,3765,709
1992,5009182,52919,3999,2535,11142,459727,1232,51787,496,272551,254389,58,289,3340,19365,295525,1362,3699,245338,1553,9718,4491,290514,542782,397,23799,5956,12825,3143,741,4750,641,57757,4646,258,437148,4715,4706,1028417,72,9913,44,217248,434568,5928,76,4746,41078,173053,3553,216
1994,4031738,175956,122,885,8302,476684,139377,187972,38,10923,6070,806,685,5058,11780,3637,2820,280225,7,7743,625,10204,10707,241636,769,3732,1830,185454,152225,2500,142197,192,238560,267781,1300,332774,5617,261280,169445,1115,4727,125,182616,262446,951,7245,4036,47252,232,172564,536
