year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,68243,412,21,1631,29,1623,2661,492,2907,530,3906,1560,394,837,845,3941,56959,491,2533,190,1832,2715,8306,197,71,7962,650,486,12,138,6606,35,12251,5205,70,9667,5127,238,7978,46,3556,25,194,897,345,45,1436,257,426,3436,294
1978,50889,718,414,748,17418,31590,927,1940,237,7177,458,19,300,909,4186,2065,2612,1822,0,583,6314,639,8413,1198,99,468,223,1423,18,90,34813,64,4574,1197,36,2866,431,200,4146,1797,803,252,174,19996,2132,12,3666,7337,467,634,127
1980,81310,3161,20,138,20,5418,488,1798,86,597,110,9,925,328,1470,6130,812,154,80,33,2257,4672,3050,2389,400,513,146,549,16,97,2799,11918,7163,35394,162,2151,50583,586,45216,528,5073,173,143,44301,1767,8,8597,3469,1533,9783,31
1982,90363,784,25,78,888,5857,679,2111,1350,10626,416,7,1981,4945,8937,454,206,636,0,5034,1817,245,2817,74283,43654,1541,608,226,283,418,1532,1687,1242,2853,22,3122,982,5875,1316,377,2495,4614,65,663,640,19,1271,261,898,401,34
1984,116697,36962,242,4637,1364,741,909,1499,144,637,762,16,43,1875,1558,204,303,713,0,72,3734,1170,1770,279,57385,2732,61,63,290,132,939,127,9072,76301,14,682,2512,1620,48641,67,304,221,1656,7826,40,26,3589,351,716,392,16
1986,66883,90,223,81,71,438,5646,643,42,93,1095,105,360,4596,3790,57294,55,429,5301,518,1229,83,6630,5567,2826,2496,1189,179,513,347,224,89,37306,5536,14,885,441,478,648,260,4135,113,836,1929,5863,6,948,7021,65,453,36
1988,70407,179,71,55,37,68818,105,93,58,832,277,371,56,1393,1398,419,93,182,260,92,63,54,977,927,557,979,399,39,186,252,1954,2711,5961,6279,45,343,1667,84,353,248,1930,22,265,2114,188,1847,604,330,120,231,68
1990,41961,9358,4432,405,157,5210,983,3511,42,3133,2089,98,1767,827,1266,44,193,108,1470,8657,295,1928,532,913,52,3737,104,7217,98,1611,5940,47,671,812,46,36314,319,528,4349,366,158,52,322,1615,893,179,696,2143,2978,1627,344
1992,129850,66577,1768,963,5472,16114,440,71382,325,3085,985,27,116,577,9258,47889,504,968,70,693,3969,1526,1164,302,157,11814,5259,6826,1283,356,1166,269,17047,1281,138,2253,1961,3145,2763,24,5708,25,204,3029,3977,26,2518,51578,65,1708,112
1994,98607,74,81,206,4201,51801,223,1516,21,4590,2406,464,390,1249,2839,1859,1225,169,0,3137,160,7939,2974,6058,264,1786,1375,71,30,1422,173,62,36973,5514,835,53561,2379,3392,7138,654,3547,58,924,17072,397,4819,1762,47851,74,1412,336
1996,104839,55927,73,121,3216,61212,241,1488,23,930,2635,2636,4621,3037,65219,31595,4569,855,828,454,283,2009,783,1424,213,5483,375,150,967,3698,6419,404,1696,2004,403,9031,861,1992,889,55,635,92,324,4519,2747,72,127,4726,26,42691,159
1998,25732,241,68,1143,309,9294,7405,247,32,546,568,89,938,4625,4215,573,1354,2685,6,75,178,374,915,4059,659,245,579,39,2738,472,6590,1713,1455,17697,143,1079,208,5522,1519,35,236,17,480,1082,482,41,129,1107,14,981,115
2000,95224,93,13,333,11059,43521,314,527,39,67322,1146,65,52,7902,2622,302,4798,874,46,83,805,65,227,48488,133,2656,1739,50,448,920,900,570,469,642,514,828,340,243,2201,41,290,21,102,743,257,20,2216,2303,6876,4963,25
2002,44157,24784,19,3036,129,867,199,538,18,33728,3493,182,123,510,3811,1579,3678,4531,1555,2402,3102,94,289,446,218,159,49,60,341,248,203,506,649,685,2236,215,981,416,6956,77,63,979,2120,5104,106,27,130,2657,174,104,100
2004,13313,121,10,223,132,1096,2732,1639,27,401,4015,61,31,4150,958,534,372,495,618,157,78,84,277,747,167,783,46,383,227,101,323,545,743,663,117,339,103,660,9921,65,83,854,276,2275,371,23,445,1740,206,209,267
2006,45082,124,144,2816,187,5365,6320,3381,116,10529,94,69,1854,6703,2398,5991,4242,10945,413,67,166,64,3552,1889,65,144,99,779,38855,5226,561,143,8043,771,58,2423,103,345,4199,23,435,23,109,1038,158,545,4890,6347,273,5775,0
2008,27279,2404,884,631,25,8031,492,4202,68,4931,235,20,21,1364,261,334,2113,1735,6235,517,142,78,7602,3882,363,8212,49,3369,2620,1710,2299,483,14055,532,81,1366,64,166,7624,37,2895,29,82,1401,77,5,1754,1587,241,623,477
2010,133559,9726,30,69785,1153,5546,2081,1005,223,1229,5278,1136,633,12427,577,29057,140,337,122,407,330,2019,8603,37707,1947,6314,59,92,114,74919,6099,3368,4960,1165,540,3127,326,2138,58703,867,827,8802,207,1965,2129,44,3301,9880,313,2469,20
2012,130185,113,34,3942,293,9093,11906,7044,63,3541,824,383,57,1299,74468,959,151,3509,196,191,140,133,1409,964,108,161,492,57637,747,3396,710,180,71488,1424,381,2914,133,391,4838,266,442,178,384,1172,45,18,857,716,498,495,20
2014,41483,62,399,1851,670,16790,813,1607,88,2980,518,3003,97,6518,334,9036,162,126,215,1438,282,668,1326,1209,51,1034,272,3198,4256,3660,934,144,40744,407,159,171,202,231,556,144,189,49,134,499,1597,19,332,828,4375,217,22
2016,80271,618,217,991,80,10715,544,270,160,6438,180,23,41,2148,250,881,525,130,576,443,205,136,440,13038,89,127,221,31,2135,80706,1917,113,2174,572,16,189,117,581,1054,56,182,57,75,533,197,8,1451,640,147,211,51
2018,104278,175,852,1106,1406,6673,846,436,60,52496,249,25,124,2611,691,9624,504,4194,53,47,171,118,4228,2881,68,1951,1416,9216,925,550,2384,58639,34326,1922,63,3692,134,349,8586,106,357,69,79,9777,119,18,13565,2564,457,575,44
