year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,105787,556,91,114,74,9607,250,1820,1289,8,1995,35,7166,82,12499,793,39423,490,1092,2187,0,1259,246,1640,225,5908,3759,746,120,1891,243,8273,3794,0,672,1605,0,26350,0,4958,296,422,88568,262,3717,77,266,23040,3041,130,14663,114
1980,57736,36153,46,40,0,181,80,407,7954,11,141,189,10197,18,1091,119,190,67,22919,1299,2170,3858,0,1001,2133,24721,1069,59,18,33,49,227,125,8,8725,17,274,40,333,929,280,25427,64,0,186,18,957,328,207,2581,2086,45
1984,7848,107,52,27,89,165,52,101,112,8,51,130,326,17,296,71,376,49,120,112,73,1536,6745,134,0,86,86,109,16,53,36,50,94,0,76,55,70,30,347,763,3536,47,52,168,47,22,155,48,350,258,523,22
1988,18732,113,150,88,285,3043,622,2653,292,10,146,133,364,69,10046,79,402,266,214,428,408,4019,1378,607,1115,108,2330,1448,95,100,48,252,1914,0,105,444,490,179,1994,7677,247,109,1148,163,240,36,4318,164,13993,2331,3597,79
1992,110446,597,362,11433,67,153,1605,1110,420,7,9142,88385,281,234,174,1073,1236,1278,3296,1604,706,203,159,583,236,716,390,5406,118,5535,26517,6178,448,5,68106,221,17077,308,345,317,151,2392,2751,2829,5215,129,144,1777,315,211,2841,925
1996,62996,900,116,7955,184,224,24312,141,158,7,1427,34530,84,109,165,1084,390,96,54721,484,63,124,40,208,183,1680,1267,3859,125,0,432,120,511,0,1779,824,1024,770,509,415,40,762,3633,6685,1845,122,120,11294,217,248,400,232
2000,29583,244,44,978,2391,303,472,149,270,6,0,256,115,15,491,229,0,127,142,902,1585,187,49,1914,6004,199,4620,72,55,2612,28629,129,0,0,258,66,3326,91,0,2087,45,137,77,3666,86,29,403,446,913,1046,0,17
2004,281292,55,68,529,769,371,1811,304,1183,6,1370,224,1046,23,487,58,272859,63,90,229,811,188,89,4167,4643,114,975,84,31,7364,29406,589,0,0,216,75,7650,41,2564,7475,93,155,134,217,55,22,160,490,558,308,0,23
2008,46926,100,91,481,86,51,379,87,57,4,8529,1425,20,51,61,45624,455,142,145,116,111,57,48,146,468,281,0,11499,243,293,487,131,151,0,0,625,2152,44,166,385,49,591,659,195,307,55,36,1118,132,359,140,56
2012,51370,84,194,435,89,123,1251,198,130,5,46046,401,25,43,216,262,845,93,86,151,204,57,63,480,647,464,634,269,71,936,1457,208,449,0,10370,130,5307,40,404,1602,73,469,141,69,154,11,36,2671,169,60,1059,25
2016,138180,49,238,2990,84,50,2583,309,525,5,38367,1830,41,33,166,120,668,84,43,133,4481,0,63,0,18735,148,83,97,58,11554,0,182,432,0,2945,33,429,27,424,117955,158,137,55,62,704,100,61,1623,109,28,52399,23
