year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,1156805,0,0,683,0,6946,0,237,556,110,0,448,0,0,236,0,0,0,0,183,250,42,2371,37,554433,372,89,2408,70,0,144,358,607,0,131,8242,0,0,2387,330,0,0,2511,401,440,4147,219,29,566359,40,1006
1978,2158394,9,31,0,19,0,220,0,268,0,15,0,53,1275,0,7459,703,113,1,152,0,703,3699,274,338,0,572,61,0,14188,554,1741,0,979,0,0,80,157,0,31,532,69,293,408091,0,0,1222256,0,493351,0,119
1980,1237540,7112,1068,69289,245,190,25393,470,0,7128,22804,21,439647,415,1313,1110,121,84,179,0,66,0,0,0,0,4416,0,0,161,3994,0,0,29,405839,0,46,795,1079,12125,0,42,203,0,0,33,209124,0,1219,0,21792,0
1982,96796,0,0,259,0,1680,0,4635,600,166,0,18,0,0,1108,0,0,0,0,140,107,178,234,1938,100,27245,496,54,11982,0,7028,1272,10,0,96,312,0,0,169,13959,0,0,130,269,287,7808,13927,40,67,87,409
1984,1338940,95,43,0,369,0,82,0,194,0,18,0,37,23441,0,550,25,1292407,1,37,0,800,3851,260,178,0,296,5140,0,275,87,42,0,5134,0,0,29,68,0,34,62,31,97,283,0,0,48,0,4919,0,23
1986,1645916,1211897,710,162,129,36174,33852,84,0,953,21864,29,7514,82,141,66,46,31,2155,0,177,0,0,0,0,2393,0,0,2310,76,0,0,1183,0,289013,137,670,99,431,0,84,8580,0,0,32,90,0,17496,0,7270,0
1988,519074,0,0,281,0,964,0,189362,113,110838,0,22,0,0,58,0,0,0,0,18,137,63,142,342,1088,61,5389,343,4326,0,1105,100,59,0,175,390,0,0,68,864,0,0,78,181,63,53,43,17406,81,3909,180964
1990,1340334,195,70,0,4,0,438,0,105,0,1033439,0,176,81,0,939,32,3784,1,135,0,373,285,10753,274244,0,48,189,0,62,8554,37,0,2921,0,0,16,1390,0,136,77,1490,48,144,0,0,16,0,54,0,114
1992,1601653,80,369,135,186,2645,877,1500661,0,78,49625,66,498,771,303,44,71,110,1,0,50,0,0,0,0,1655,0,0,627,10009,0,0,2711,4526,171,888,174,2346,10676,0,7420,72,0,0,274,580,0,1103,0,1864,0
1994,61645,0,0,344,0,20993,0,479,375,45,0,29,0,0,56,0,0,0,0,146,240,268,980,2767,52,155,138,758,654,0,6384,1230,263,0,320,352,0,0,12305,89,0,0,385,133,60,694,9942,534,51,249,193
1996,1787097,1632,19,0,3035,0,2319,0,141,0,36140,0,268,337,0,2752,91,399,1700102,2213,0,1311,196,913,38,0,3290,385,0,8145,693,61,0,1705,0,0,279,4410,0,98,842,10969,121,697,0,0,2997,0,28,0,488
1998,1625610,108,24,44,387,785,109,71,0,117,1389,20,40,9767,90,53,63,1145414,76,0,47,0,0,0,0,985,0,0,435864,52,0,0,6928,4131,85,517,54,109,119,0,1601,127,0,0,72,28,0,293,0,16059,0
2000,2554865,0,0,16,0,187,0,82,488,3348,0,30,0,0,61,0,0,0,0,58,104,24,29075,2315,69,16583,6980,18481,301,0,8279,126,462,0,142,123,0,0,1399,270,0,0,71,66,54,39,4086,2461379,26,129,27
2002,369210,229,16,0,1334,0,3035,0,241,0,1556,0,69,147,0,761,13,79,246,265,0,21,137,15373,14,0,80,15,0,3850,655,89,0,989,0,0,150,288,0,23,579,337501,759,563,0,0,12,0,107,0,31
2004,508989,63,8968,21,576,171,3305,61,0,54778,238,26,6,41,126,41,37,41422,127,0,73,0,0,0,0,442,0,0,112,72,0,0,41,3939,55,98,488,70,565,0,802,391188,0,0,48,35,0,431,0,538,0
2006,2806491,0,0,707,0,105,0,711,46,136,0,113,0,0,13,0,0,0,0,23,603,60,330,196,90,12419,406505,96,318,0,338,45,14,0,48,502,0,0,233,1303,0,0,10456,117,66,76,2370445,272,30,47,41
2008,3222874,108,317723,0,20,0,678,0,96,0,343,0,143,42,0,114,117,2098,1648,152,0,65,91,2887646,136,0,34,229,0,1722,362,168,0,997,0,0,259,6512,0,35,376,125,63,599,0,0,66,0,91,0,31
2010,290998,89,3024,125,182,781,28529,15,0,181,244,28,33,0,396,74,39,557,222,0,108,0,0,0,0,427,0,0,2209,125,0,0,12,486,26,226,37,215,17590,0,54,227947,0,0,83,61,0,3394,0,3492,0
2012,402652,0,0,9434,0,104,0,17,49,487,0,118,0,0,2315,0,0,0,0,111,64,1293,182,69,227,286,4303,341,51423,0,197,2187,14,0,321144,2083,0,0,853,80,0,0,58,270,64,35,2096,162,139,2442,24
2014,177567,6,16187,0,232,0,16436,0,412,0,1361,0,83,682,0,948,619,303,3524,59,0,150,384,765,151,0,251,63,0,7435,395,597,0,32752,0,0,46,214,0,49,244,153,80,101,0,0,92781,0,97,0,23
2016,813457,90,238,399,125,152,2845,26,0,1234,425,31,46,302,737,113,79,376,383,0,116,0,0,0,0,8608,0,0,10205,739140,0,0,1395,2110,18,157,34,133,36935,0,9,40,0,0,43,86,0,244,0,6599,0
2018,8246897,0,0,12230,0,1132,0,16,144,8190005,0,46,0,0,2040,0,0,0,0,200,57,126,1608,194,301,2431,5238,215,2645,0,637,127,4449,0,600,1427,0,0,403,163,0,0,712,11702,68,39,312,277,6705,615,51
