year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,1154329,0,0,664,0,6724,0,263,455,122,0,437,0,0,237,0,0,0,0,182,229,42,2191,38,554433,339,100,2675,69,0,184,386,522,0,120,7347,0,0,2388,333,0,0,2308,365,374,3295,208,32,566359,36,887
1978,2339425,8,30,0,19,0,231,0,278,0,17,0,64,1033,0,6064,510,128,1,144,0,726,3722,268,344,0,612,73,0,15706,493,1781,0,956,0,0,66,129,0,34,589,59,323,589309,0,0,1222256,0,493351,0,114
1980,1204926,8908,1189,58831,184,171,24514,377,0,5856,23101,24,439647,386,1414,1103,94,80,219,0,79,0,0,0,0,4059,0,0,161,3617,0,0,31,380807,0,38,745,1198,15364,0,50,223,0,0,35,209124,0,1064,0,22246,0
1982,94735,0,0,277,0,1588,0,3412,616,137,0,17,0,0,1126,0,0,0,0,153,120,158,251,2329,107,26747,404,50,13980,0,8172,1314,11,0,86,374,0,0,172,12115,0,0,131,223,256,6804,13044,41,52,87,399
1984,1333214,117,48,0,346,0,86,0,177,0,18,0,35,19450,0,536,23,1292407,1,33,0,632,2990,283,163,0,263,4924,0,241,78,36,0,5976,0,0,24,69,0,37,60,32,96,257,0,0,52,0,3714,0,22
1986,1631729,1211897,743,187,124,31583,28389,93,0,771,20204,29,7300,72,147,78,41,34,2347,0,169,0,0,0,0,3119,0,0,2441,78,0,0,1168,0,289013,101,745,95,364,0,115,7860,0,0,32,79,0,16597,0,5728,0
1988,551132,0,0,315,0,944,0,225388,142,108188,0,21,0,0,62,0,0,0,0,19,155,86,170,350,1159,60,5544,331,4095,0,1044,110,57,0,201,394,0,0,59,827,0,0,79,212,69,54,43,16134,88,3785,180964
1990,1340474,174,55,0,5,0,338,0,93,0,1033439,0,163,82,0,1108,30,4143,1,144,0,368,308,11057,274244,0,39,222,0,65,8206,35,0,2975,0,0,16,1234,0,136,88,1350,49,164,0,0,17,0,55,0,87
1992,1598034,75,328,146,177,2882,837,1500661,0,83,48336,73,389,628,265,47,67,109,1,0,40,0,0,0,0,1524,0,0,522,9767,0,0,3280,4133,179,1257,158,2428,8322,0,7531,69,0,0,284,644,0,1147,0,1659,0
1994,60500,0,0,372,0,18794,0,472,456,47,0,30,0,0,50,0,0,0,0,105,218,280,987,3013,48,119,116,797,686,0,7133,1039,259,0,285,360,0,0,11661,79,0,0,489,138,49,796,10633,480,54,278,193
1996,1793264,1386,19,0,2292,0,2097,0,155,0,45612,0,264,270,0,3473,108,463,1700102,2115,0,1358,233,833,41,0,2823,338,0,6828,751,60,0,1476,0,0,206,5320,0,98,948,9704,121,637,0,0,2650,0,25,0,472
1998,1624774,98,22,40,568,704,110,75,0,120,1655,18,42,9190,81,55,57,1145414,69,0,42,0,0,0,0,986,0,0,435864,50,0,0,6878,3885,95,512,69,97,113,0,1344,104,0,0,81,31,0,268,0,16053,0
2000,2549288,0,0,14,0,226,0,86,449,3697,0,29,0,0,73,0,0,0,0,55,103,24,26094,2599,54,17697,6499,15455,290,0,7227,145,459,0,129,135,0,0,2054,312,0,0,69,64,66,42,3613,2461379,20,118,28
2002,369184,189,16,0,1314,0,3258,0,255,0,1577,0,82,155,0,642,13,82,238,293,0,24,154,14798,15,0,76,17,0,4101,682,73,0,979,0,0,182,281,0,19,780,337501,746,499,0,0,14,0,100,0,42
2004,518126,62,8782,22,558,184,2735,56,0,65014,240,24,5,42,122,42,47,41563,128,0,73,0,0,0,0,430,0,0,120,86,0,0,44,3306,60,98,579,80,615,0,703,391188,0,0,44,32,0,486,0,570,0
2006,2809495,0,0,675,0,111,0,697,42,148,0,124,0,0,13,0,0,0,0,23,761,52,323,199,94,14985,406505,85,349,0,255,42,15,0,52,436,0,0,254,1706,0,0,10488,135,61,60,2370445,243,25,58,48
2008,3223271,112,317723,0,20,0,653,0,88,0,364,0,134,43,0,110,116,2195,1955,167,0,52,93,2887646,150,0,36,219,0,1839,329,136,0,991,0,0,235,6541,0,32,346,130,75,537,0,0,75,0,113,0,33
2010,289612,84,4001,131,161,771,26963,15,0,177,207,24,29,0,311,92,42,532,166,0,117,0,0,0,0,415,0,0,2094,116,0,0,12,560,23,223,38,232,17064,0,61,227947,0,0,93,64,0,3429,0,3432,0
2012,404508,0,0,9046,0,124,0,14,50,420,0,121,0,0,2202,0,0,0,0,127,72,1243,173,64,266,257,5303,365,53230,0,216,1895,14,0,321144,1784,0,0,878,83,0,0,56,295,55,36,2476,174,132,2183,26
2014,191771,7,14443,0,247,0,15870,0,430,0,1183,0,76,665,0,981,634,267,4214,53,0,154,433,590,149,0,223,70,0,6776,383,590,0,35763,0,0,49,213,0,42,234,153,68,96,0,0,106602,0,107,0,23
2016,813834,108,228,408,150,148,2086,25,0,1175,373,29,51,274,681,109,94,401,421,0,115,0,0,0,0,10456,0,0,12737,739140,0,0,1395,1903,19,161,44,142,34046,0,8,37,0,0,42,80,0,258,0,6507,0
2018,8247057,0,0,12444,0,1132,0,15,148,8190005,0,36,0,0,1812,0,0,0,0,199,48,131,1709,193,302,2138,6554,187,3003,0,540,122,4449,0,713,1712,0,0,475,145,0,0,573,10086,68,47,314,273,6762,670,67
