year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6475,0,0,363,0,3521,0,150,223,83,0,235,0,0,146,0,0,0,0,113,172,23,1190,21,0,182,57,1903,42,0,172,187,249,0,84,2975,0,0,1595,198,0,0,1004,201,123,1814,121,27,0,23,518
1978,810954,4,18,0,8,0,198,0,190,0,13,0,46,481,0,2931,271,81,0,93,0,479,2076,146,176,0,410,68,0,8835,276,1006,0,521,0,0,34,66,0,23,454,31,183,811147,0,0,0,0,0,0,51
1980,539252,7902,640,26845,68,74,11230,167,0,2873,13626,14,0,189,1071,751,38,41,113,0,59,0,0,0,0,2887,0,0,99,1562,0,0,12,530538,0,19,356,716,9763,0,33,173,0,0,24,0,0,729,0,12502,0
1982,22893,0,0,132,0,795,0,1364,340,75,0,10,0,0,759,0,0,0,0,79,97,93,126,1248,85,19134,241,32,6544,0,5527,768,4,0,42,288,0,0,93,7796,0,0,74,100,111,3336,7167,24,35,55,214
1984,11035,86,29,0,176,0,57,0,79,0,10,0,27,10261,0,413,11,0,0,22,0,348,1214,218,96,0,132,2811,0,124,57,20,0,3113,0,0,9,39,0,24,34,15,51,150,0,0,30,0,1689,0,13
1986,21733,0,373,93,82,14471,14524,73,0,384,10656,13,5193,35,74,50,21,21,1287,0,110,0,0,0,0,1979,0,0,1490,49,0,0,676,0,0,39,548,47,162,0,74,4871,0,0,14,39,0,7344,0,3019,0
1988,340321,0,0,175,0,611,0,346665,86,72520,0,14,0,0,43,0,0,0,0,9,93,53,105,254,566,36,4945,194,2114,0,631,55,39,0,127,268,0,0,28,423,0,0,44,163,41,35,23,9601,46,1980,0
1990,8087,105,26,0,2,0,175,0,54,0,0,0,116,42,0,840,18,2154,0,79,0,171,178,6235,0,0,12,137,0,38,4809,17,0,1613,0,0,8,735,0,76,55,794,26,109,0,0,10,0,35,0,45
1992,38959,42,178,121,90,2437,465,0,0,41,35494,40,166,326,133,30,55,71,0,0,24,0,0,0,0,770,0,0,263,9203,0,0,1971,2538,118,1055,80,1838,4358,0,4881,45,0,0,142,359,0,638,0,735,0
1994,15937,0,0,232,0,9698,0,272,301,26,0,15,0,0,23,0,0,0,0,39,106,188,611,2252,30,68,57,516,372,0,4326,618,202,0,179,204,0,0,7904,50,0,0,354,79,27,614,6426,194,30,146,103
1996,29240,548,13,0,973,0,1083,0,87,0,28844,0,157,116,0,2800,61,261,0,962,0,699,135,543,23,0,1741,209,0,3615,474,40,0,617,0,0,79,2741,0,52,649,5795,58,435,0,0,1228,0,13,0,217
1998,10218,64,13,20,443,441,79,49,0,70,998,9,24,5458,48,32,33,0,46,0,19,0,0,0,0,703,0,0,0,29,0,0,0,1917,54,402,48,57,79,0,724,63,0,0,54,28,0,163,0,8805,0
2000,23372,0,0,7,0,167,0,58,233,1944,0,19,0,0,44,0,0,0,0,27,69,16,14539,1556,23,11413,3715,11305,203,0,3982,78,291,0,61,80,0,0,2379,176,0,0,40,43,34,25,2377,0,9,84,17
2002,9078,144,8,0,782,0,2299,0,145,0,879,0,55,93,0,332,6,56,105,220,0,13,126,8354,9,0,39,10,0,2505,381,49,0,653,0,0,114,166,0,7,479,0,384,260,0,0,9,0,52,0,32
2004,46311,38,5508,11,388,112,1546,26,0,40243,119,16,0,31,66,24,26,22134,71,0,49,0,0,0,0,265,0,0,87,49,0,0,26,1809,61,53,379,48,359,0,407,0,0,0,20,19,0,299,0,278,0
2006,10452,0,0,459,0,52,0,484,19,88,0,87,0,0,6,0,0,0,0,13,515,27,201,156,56,9515,0,43,212,0,142,22,8,0,37,205,0,0,181,1419,0,0,6598,116,29,24,0,137,14,44,25
2008,4255,84,0,0,11,0,421,0,47,0,288,0,71,22,0,66,79,1418,1128,113,0,23,64,0,82,0,20,110,0,939,186,80,0,518,0,0,123,3723,0,16,226,97,47,417,0,0,38,0,67,0,20
2010,18746,47,3099,75,117,589,15646,4,0,132,118,13,14,0,176,65,28,246,96,0,84,0,0,0,0,250,0,0,1072,49,0,0,6,307,11,124,20,131,9689,0,31,0,0,0,60,44,0,1782,0,2060,0
2012,33086,0,0,6452,0,70,0,2,28,221,0,73,0,0,1405,0,0,0,0,91,40,612,125,32,163,130,3078,231,34955,0,114,1105,6,0,0,880,0,0,469,59,0,0,29,172,29,19,1407,99,73,1136,13
2014,67533,4,7435,0,124,0,8837,0,254,0,664,0,46,547,0,481,369,129,2237,30,0,114,291,267,73,0,148,48,0,4175,233,292,0,19535,0,0,30,139,0,23,165,81,30,47,0,0,67851,0,64,0,12
2016,18431,78,138,213,85,98,1351,7,0,765,231,15,36,141,268,63,70,252,246,0,78,0,0,0,0,7186,0,0,7159,0,0,0,0,970,13,94,24,82,15651,0,3,21,0,0,20,41,0,146,0,3897,0
2018,8477,0,0,5918,0,642,0,2,79,0,0,15,0,0,1253,0,0,0,0,110,18,72,845,85,110,1423,4340,91,2345,0,335,79,0,0,379,1054,0,0,268,83,0,0,260,4614,39,25,262,176,4019,494,46
