Year,House,Senate,Pres,Pres-Senate,Total,House_Cost,Senate_Cost,Pres_Cost,Pres-Senate_Cost,Total_Cost
1976,1475364,5031,5174928,5175782,6651146,7317805,24953,25667642,25671878,32989684
1978,661976,3544105,,3544105,4206081,3283400,17578760,,17578760,20862161
1980,977190,1817607,4999906,6815125,7792315,4846862,9015330,24799533,33803020,38649882
1982,652994,8278,,8278,661272,3238850,41058,,41058,3279909
1984,1605620,1297044,2089961,3384640,4990260,7963875,6433338,10366206,16787814,24751689
1986,671620,1239338,,1239338,1910958,3331235,6147116,,6147116,9478351
1988,933932,47973,12556,57070,991002,4632302,237946,62277,283067,4915369
1990,397368,4159,,4159,401527,1970945,20628,,20628,1991573
1992,1147250,1508563,2349809,3852616,4999866,5690360,7482472,11655052,19108975,24799335
1994,1360504,6451,,6451,1366955,6748099,31996,,31996,6780096
1996,1587104,1708698,24534,1728817,3315921,7872035,8475142,121688,8574932,16446968
1998,211447,1585660,,1585660,1797107,1048777,7864873,,7864873,8913650
2000,1364128,2468899,12058117,14523778,15887906,6766074,12245739,59808260,72037938,78804013
2002,227806,343165,,343165,570971,1129917,1702098,,1702098,2832016
2004,503595,11900,3083229,3092289,3595884,2497831,59024,15292815,15337753,17835584
2006,1675725,2380931,,2380931,4056656,8311596,11809417,,11809417,20121013
2008,1139602,2894114,7246950,10138077,11277679,5652425,14354805,35944872,50284861,55937287
2010,944107,6148,,6148,950255,4682770,30494,,30494,4713264
2012,1636555,13121,14415,23896,1660451,8117312,65080,71498,118524,8235836
2014,277372,16413,,16413,293785,1375765,81408,,81408,1457173
2016,723128,745945,5586512,5589662,6312790,3586714,3699887,27709099,27724723,31311438
2018,1444407,8196437,,8196437,9640844,7164258,40654327,,40654327,47818586
