year,state,postal code,district,margin,total votes,initial sample,expected sample
1980,Alabama,AL,1,0.8953941699866065,117221,6,6
1980,Alabama,AL,2,0.2390640718770597,172962,20,20
1980,Alabama,AL,3,0.971414183033466,109215,5,5
1980,Alabama,AL,4,0.9587995699771361,132086,5,5
1980,Alabama,AL,5,0.8797744025016753,125356,6,6
1980,Alabama,AL,6,0.03980700279814025,187982,115,138
1980,Alabama,AL,7,0.46909433425748204,168804,10,10
1980,Alaska,AK,0,0.47967895070431643,154618,10,10
1980,Arizona,AZ,1,0.5187306310983606,186833,9,9
1980,Arizona,AZ,2,0.1779039174093934,219686,26,27
1980,Arizona,AZ,3,0.3439282692360182,219822,14,14
1980,Arizona,AZ,4,0.2527074702013523,227611,19,19
1980,Arkansas,AR,1,1,1,5,5
1980,Arkansas,AR,2,0.579554189085319,201655,8,8
1980,Arkansas,AR,3,1,1,5,5
1980,Arkansas,AR,4,1,1,5,5
1980,California,CA,1,0.13847571604632142,270199,34,35
1980,California,CA,2,0.12194180545258604,261674,38,40
1980,California,CA,3,0.44014222810245385,241865,11,11
1980,California,CA,4,0.35560215551925095,205055,13,14
1980,California,CA,5,0.058037316563964395,197821,79,89
1980,California,CA,6,0.43743037504641663,134650,11,11
1980,California,CA,7,0.31881907969474627,224469,15,15
1980,California,CA,8,0.1627222719713445,195425,29,30
1980,California,CA,9,0.14205462369798033,163592,33,34
1980,California,CA,10,0.3418194636052582,164543,14,14
1980,California,CA,11,0.03093312866192463,185012,148,187
1980,California,CA,12,0.5364998518205975,199083,9,9
1980,California,CA,13,0.23365047705123126,224609,20,21
1980,California,CA,14,0.24524546761024396,220579,19,20
1980,California,CA,15,0.4663202450644889,150491,10,10
1980,California,CA,16,0.46488219337772096,223035,10,10
1980,California,CA,17,0.4120444519757952,182939,12,12
1980,California,CA,18,0.42054874028659817,177461,11,12
1980,California,CA,19,0.6004637338206037,209603,8,8
1980,California,CA,20,0.6184293119307707,253303,8,8
1980,California,CA,21,0.005058670143415906,153400,905,153400
1980,California,CA,22,0.32015873807663103,180423,15,15
1980,California,CA,23,0.3173659001429395,199385,15,15
1980,California,CA,24,0.3668277323810238,146731,13,13
1980,California,CA,25,0.37603711423384656,74365,13,13
1980,California,CA,26,0.4657111248890672,164514,10,10
1980,California,CA,27,0.045263705437589404,215316,102,118
1980,California,CA,28,0.6230408436753482,137304,8,8
1980,California,CA,29,0.7506854912418414,92999,7,7
1980,California,CA,30,0.4865235800846839,102735,10,10
1980,California,CA,31,0.2882467465928886,107349,16,17
1980,California,CA,32,0.35127738657215,127526,14,14
1980,California,CA,33,0.4170852526561885,172804,11,12
1980,California,CA,34,0.4770436438759633,192169,10,10
1980,California,CA,35,0.06407764993779368,194514,72,80
1980,California,CA,36,0.0911790858972079,168690,51,54
1980,California,CA,37,0.464260830805316,231077,10,10
1980,California,CA,38,0.15488675447451294,165437,30,31
1980,California,CA,39,0.5254992774189055,229732,9,9
1980,California,CA,40,0.48356869083958204,304997,10,10
1980,California,CA,41,0.09441770192973606,233918,49,53
1980,California,CA,42,0.0653328789367119,149649,71,78
1980,California,CA,43,0.7313776160567362,345176,7,7
1980,Colorado,CO,1,0.22024028237075638,179622,21,22
1980,Colorado,CO,2,0.1530906820435597,272270,30,32
1980,Colorado,CO,3,0.11167017667624571,192782,41,44
1980,Colorado,CO,4,0.38915739891205453,260491,12,12
1980,Colorado,CO,5,0.4708697427521437,244900,10,10
1980,Connecticut,CT,1,0.2607890477104996,218694,18,18
1980,Connecticut,CT,2,0.06747988231658987,223311,68,75
1980,Connecticut,CT,3,0.05866808556302761,223648,78,88
1980,Connecticut,CT,4,0.25152422907488986,198625,19,19
1980,Connecticut,CT,5,0.007306508459150951,232943,627,5281
1980,Connecticut,CT,6,0.1832628169107196,242024,25,26
1980,Delaware,DE,0,0.2429412443726192,216575,19,20
1980,Florida,FL,1,0.22419394385190633,195768,21,22
1980,Florida,FL,2,0.41188725490196076,195840,12,12
1980,Florida,FL,3,0.5406535178098322,135880,9,9
1980,Florida,FL,4,0.3153151549406094,224699,15,15
1980,Florida,FL,5,0.11522545886105756,318506,40,43
