Year,House,Senate,President,Total,House_Cost,Senate_Cost,President_Cost,Total_Cost
1976,3056933,36021,6017929,9110882,15040110,177223,29608210,44825539
1978,1478925,2187425,,3666349,7276311,10762131,,18038437
1980,2294208,1166131,5232112,8692450,11287503,5737364,25741991,42766854
1982,2812383,91409,,2903791,13836924,449732,,14286651
1984,2763789,1334943,2113955,6212686,13597841,6567919,10400658,30566415
1986,1336778,1642574,,2979351,6576947,8081464,,14658406
1988,1856508,457867,131638,2446013,9134019,2252705,647658,12034383
1990,1692934,32987,,1725921,8329235,162296,,8491531
1992,3686002,1598891,448850,5733742,18135129,7866543,2208342,28210010
1994,3273378,59918,,3333295,16105019,294796,,16399811
1996,2913652,1794467,727616,5435734,14335167,8828777,3579870,26743811
1998,716862,1624494,,2341356,3526961,7992510,,11519471
2000,1784375,2545204,12158854,16488432,8779125,12522403,59821561,81123085
2002,922832,369015,,1291846,4540333,1815553,,6355882
2004,803282,519633,4078411,5401325,3952147,2556594,20065782,26574519
2006,2968985,2805489,,5774473,14607406,13803005,,28410407
2008,2527934,3222366,15072271,20822570,12437435,15854040,74155573,102447044
2010,3118230,64772,,3183002,15341691,318678,,15660369
2012,3230952,400342,167573,3798866,15896283,1969682,824459,18690420
2014,1822241,209509,,2031750,8965425,1030784,,9996210
2016,2026415,820667,5938308,8785388,9969961,4037681,29216475,43224108
2018,4125782,8244662,,12370444,20298847,40563737,,60862584
