year,state,postal code,margin,total votes,initial sample,expected sample
1980,Alabama,AL,0.013012610950355793,1341929,136,268
1980,Alaska,AK,0.07751878644059147,158445,23,25
1980,Arizona,AZ,0.010751076937859027,874238,164,409
1980,Arkansas,AR,0.006116416064337582,837582,288,837582
1980,California,CA,0.16778065972281286,8582938,11,11
1980,Colorado,CO,0.016371419657637352,1184450,108,178
1980,Connecticut,CT,0.09633751337744483,1406285,19,20
1980,Delaware,DE,0.023329429536466554,235668,197,271
1980,District Of Columbia,DC,0.6148635048795495,173889,8,8
1980,Florida,FL,0.033177457775278425,3686927,54,66
1980,Georgia,GA,0.017434165343211197,1596805,101,161
1980,Hawaii,HI,0.01901499239993801,303287,93,140
1980,Idaho,ID,0.00969414098128726,439647,182,541
1980,Illinois,IL,0.07929644709657684,4749721,23,25
1980,Indiana,IN,0.07571589209489187,2242033,24,26
1980,Iowa,IA,0.07945975915162735,1317661,23,25
1980,Kansas,KS,0.2456248500961936,979795,8,8
1980,Kentucky,KY,0.01378251610996066,1295627,128,240
1980,Louisiana,LA,0.054501156212324625,1548591,33,37
1980,Maine,ME,0.03355187558196673,523011,137,169
1980,Maryland,MD,0.029571644457369574,1540496,60,77
1980,Massachusetts,MA,0.001516982357998328,2524090,3017,2524090
1980,Michigan,MI,0.06488768391638798,3909725,71,79
1980,Minnesota,MN,0.039429001966942115,2051916,117,139
1980,Mississippi,MS,0.013241379310344827,891750,346,673
1980,Missouri,MO,0.04328084897422066,2099824,41,48
1980,Montana,MT,0.24393876115531718,363952,19,20
1980,Nebraska,NE,0.39527280062170367,639533,12,12
1980,Nevada,NV,0.21414213661195447,243692,9,9
1980,New Hampshire,NH,0.04293713005919053,383990,41,49
1980,New Jersey,NJ,0.13415167739585251,2975684,35,36
1980,New Mexico,NM,0.18181997514449727,456237,26,27
1980,New York,NY,0.014619896713280433,6201959,121,216
1980,North Carolina,NC,0.005791401623773061,1855833,304,1855833
1980,North Dakota,ND,0.38027205462346736,301116,13,13
1980,Ohio,OH,0.10601612707806957,4283603,17,18
1980,Oklahoma,OK,0.09921660320460642,1149708,18,19
1980,Oregon,OR,0.08095351663401999,1181516,22,24
1980,Pennsylvania,PA,0.02444816051997695,4561501,72,98
1980,Rhode Island,RI,0.10469340115922657,415967,44,47
1980,South Carolina,SC,0.012447959939567108,888258,142,293
1980,South Dakota,SD,0.1880309516975186,327703,10,10
1980,Tennessee,TN,0.002911692268127912,1617616,1572,1617616
1980,Texas,TX,0.13861921122696755,4541636,34,35
1980,Utah,UT,0.4816119185997597,604152,4,4
1980,Vermont,VT,0.013174002027505212,213299,134,262
1980,Virginia,VA,0.12724058322686857,1866032,36,38
1980,Washington,WA,0.08346886573411118,1742394,22,23
1980,West Virginia,WV,0.04507973946578286,737715,102,119
1980,Wisconsin,WI,0.018520988548236503,2273221,96,146
1980,Wyoming,WY,0.34673736510613257,176713,14,14
1984,Alabama,AL,0.2226171228254167,1441713,8,9
1984,Alaska,AK,0.36786204571180847,207605,5,5
1984,Arizona,AZ,0.3387883968858472,1025897,14,14
1984,Arkansas,AR,0.146954869879309,884406,12,13
1984,California,CA,0.1624916715246152,9505041,29,30
1984,Colorado,CO,0.2831925766956414,1297809,7,7
1984,Connecticut,CT,0.21901970141113913,1466900,21,22
1984,Delaware,DE,0.19850572725987148,254572,9,10
1984,District Of Columbia,DC,0.7165527621066979,211288,7,7
1984,Florida,FL,0.3065833407295748,4180051,15,16
1984,Georgia,GA,0.2038699332189631,1776103,9,9
1984,Hawaii,HI,0.11283743144179177,335846,41,44
1984,Idaho,ID,0.4597245733854805,411144,4,4
1984,Illinois,IL,0.018617038498454776,4819088,95,145
1984,Indiana,IN,0.23991600796930143,2233069,20,20
1984,Iowa,IA,0.07385030364334125,1319805,24,27
1984,Kansas,KS,0.3367417129896447,1021991,6,6
1984,Kentucky,KY,0.004076889091439461,1369345,432,1369345
1984,Louisiana,LA,0.2259831429405058,1706822,8,9
1984,Maine,ME,0.22053027783000448,553144,8,9
1984,Maryland,MD,0.05488661730333981,1675873,84,95
1984,Massachusetts,MA,0.027869998355072298,2559383,64,83
1984,Michigan,MI,0.046077237716492414,3801658,39,45
1984,Minnesota,MN,0.0018043137538985123,2084449,976,2084449
1984,Mississippi,MS,0.2188397882886667,952240,9,9
1984,Missouri,MO,0.2004950133575407,2122771,23,24
1984,Montana,MT,0.1619284988988672,384377,11,12
1984,Nebraska,NE,0.03919220595684011,652090,45,54
1984,Nevada,NV,0.34350605021983116,282717,14,14
1984,New Hampshire,NH,0.17790456566476484,388904,10,11
1984,New Jersey,NJ,0.20892971793072543,3217862,9,9
1984,New Mexico,NM,0.20477866127495772,514370,9,9
1984,New York,NY,0.05512626325694415,6806810,84,94
1984,North Carolina,NC,0.03853418256216585,2239051,46,55
1984,North Dakota,ND,0.31040777289778004,308971,15,16
1984,Ohio,OH,0.18695486864033958,4563235,25,26
1984,Oklahoma,OK,0.3794370522332194,1255676,5,5
1984,Oregon,OR,0.12166140655688787,1226527,15,16
1984,Pennsylvania,PA,0.07351891255614405,4844903,63,69
1984,Rhode Island,RI,0.036478444002153526,410489,49,59
1984,South Carolina,SC,0.27988836679128865,968529,7,7
1984,South Dakota,SD,0.26474594720433386,317867,7,7
1984,Tennessee,TN,0.16267473056256657,1711993,11,12
1984,Texas,TX,0.17101252536140113,5397571,11,11
1984,Utah,UT,0.4982657196945634,629656,10,10
1984,Vermont,VT,0.17110687624967494,234561,27,28
1984,Virginia,VA,0.2519422258558162,2146635,7,8
1984,Washington,WA,0.13510941858542544,1874910,34,36
1984,West Virginia,WV,0.04092011763858812,735742,43,52
1984,Wisconsin,WI,0.09171452224973764,2211689,50,54
1984,Wyoming,WY,0.42266944667880274,188968,5,5
1988,Alabama,AL,0.19301750628955455,1378476,24,25
1988,Alaska,AK,0.23319974414839392,200116,20,21
1988,Arizona,AZ,0.15657955637380971,1171873,12,12
1988,Arkansas,AR,0.1417610403291863,827738,33,34
1988,California,CA,0.035671253299133766,9887065,50,61
1988,Colorado,CO,0.07776484012608624,1372394,59,65
1988,Connecticut,CT,0.007260434570799537,1443394,243,2145
1988,Delaware,DE,0.1240220736241001,249891,15,15
1988,District Of Columbia,DC,0.683425188073228,192877,7,7
1988,Florida,FL,0.008484814816544577,4302313,208,861
1988,Georgia,GA,0.20254443899225938,1809672,23,24
1988,Hawaii,HI,0.09518395535757107,354461,19,20
1988,Idaho,ID,0.26067809706382894,408968,18,18
1988,Illinois,IL,0.020837135236624612,4559120,220,318
1988,Indiana,IN,0.2015658798840369,2168621,9,10
1988,Iowa,IA,0.10215451194258551,1225614,45,48
1988,Kansas,KS,0.13233351190883788,993044,35,37
1988,Kentucky,KY,0.11637884427950643,1322517,40,42
1988,Louisiana,LA,0.10210158199044099,1628202,45,48
1988,Maine,ME,0.11451890421324781,556745,16,17
1988,Maryland,MD,0.029085523560423203,1714358,61,78
1988,Massachusetts,MA,0.07853992762840792,2632801,23,25
1988,Michigan,MI,0.07895615430549147,3669163,23,25
1988,Minnesota,MN,0.07017107101808001,2096790,26,28
1988,Mississippi,MS,0.07820800047321327,946719,23,25
1988,Missouri,MO,0.03981123890947379,2093228,45,53
1988,Montana,MT,0.03733292448542658,365674,48,57
1988,Nebraska,NE,0.15043122810169796,667860,12,13
1988,Nevada,NV,0.04150616079694632,343133,43,51
1988,New Hampshire,NH,0.261563731202486,450525,18,18
1988,New Jersey,NJ,0.08366754428420617,3099553,22,23
1988,New Mexico,NM,0.04956778745921935,521387,36,41
1988,New York,NY,0.06430671989364882,6485683,28,31
1988,North Carolina,NC,0.16261988315053155,2134370,29,30
1988,North Dakota,ND,0.13059230776993955,297261,14,15
1988,Ohio,OH,0.10854916884503202,4393585,17,18
1988,Oklahoma,OK,0.16647139797580945,1171036,28,29
1988,Oregon,OR,0.046667454443477294,1201694,99,114
1988,Pennsylvania,PA,0.023178391142818156,4536251,76,106
1988,Rhode Island,RI,0.09185155405914722,404622,20,21
1988,South Carolina,SC,0.23923615301685888,986009,20,20
1988,South Dakota,SD,0.0634363288401264,312991,73,81
1988,Tennessee,TN,0.163446294881589,1636250,11,12
1988,Texas,TX,0.12604188738274794,5427410,14,15
1988,Utah,UT,0.3417252955141204,647008,6,6
1988,Vermont,VT,0.035162414518674384,243328,51,62
1988,Virginia,VA,0.2050379424432004,2191609,9,9
