year,state,postal code,margin,total votes,initial sample,expected sample
1980,Alabama,AL,0.013012610950355793,1341929,1169,2313
1980,Alaska,AK,0.2794029473949951,158445,55,56
1980,Arizona,AZ,0.3236416479297896,873945,47,48
1980,Arkansas,AR,0.006116416064337582,837582,2486,837582
1980,California,CA,0.16778065972281286,8582938,91,95
1980,Colorado,CO,0.239989024441724,1184450,64,66
1980,Connecticut,CT,0.09633751337744483,1406285,158,170
1980,Delaware,DE,0.023329429536466554,235668,652,901
1980,District Of Columbia,DC,0.6148635048795495,173889,25,25
1980,Florida,FL,0.1701894287573364,3686927,90,93
1980,Georgia,GA,0.1482879875751892,1596805,103,108
1980,Hawaii,HI,0.01901499239993801,303287,800,1209
1980,Idaho,ID,0.4126525097672547,437431,37,38
1980,Illinois,IL,0.07929644709657684,4749721,192,209
1980,Indiana,IN,0.1835204923388728,2242033,83,86
1980,Iowa,IA,0.12700838834874828,1317661,120,127
1980,Kansas,KS,0.2456248500961936,979795,62,64
1980,Kentucky,KY,0.01378251610996066,1295627,1103,2071
1980,Louisiana,LA,0.054501156212324625,1548591,279,317
1980,Maine,ME,0.03355187558196673,523011,454,561
1980,Maryland,MD,0.029571644457369574,1540496,515,658
1980,Massachusetts,MA,0.001516982357998328,2524090,10021,2524090
1980,Michigan,MI,0.06488768391638798,3909725,235,261
1980,Minnesota,MN,0.039429001966942115,2051916,386,461
1980,Mississippi,MS,0.013241379310344827,891750,1148,2235
1980,Missouri,MO,0.06810046937267124,2099824,224,247
1980,Montana,MT,0.24393876115531718,363952,63,65
1980,Nebraska,NE,0.39527280062170367,639533,39,40
1980,Nevada,NV,0.36255190978776486,243692,42,43
1980,New Hampshire,NH,0.2938644235526967,383990,52,53
1980,New Jersey,NJ,0.13415167739585251,2975684,114,120
1980,New Mexico,NM,0.18181997514449727,456237,84,87
1980,New York,NY,0.014619896713280433,6201959,1040,1859
1980,North Carolina,NC,0.021221198243591963,1855833,717,1029
1980,North Dakota,ND,0.38027205462346736,301116,40,41
1980,Ohio,OH,0.10601612707806957,4283603,144,153
1980,Oklahoma,OK,0.25532048137440116,1149708,60,62
1980,Oregon,OR,0.09661655026254405,1181516,158,169
1980,Pennsylvania,PA,0.071102034176908,4561501,214,236
1980,Rhode Island,RI,0.10469340115922657,415967,146,155
1980,South Carolina,SC,0.012447959939567108,888258,1222,2531
1980,South Dakota,SD,0.28833425388232636,327703,53,54
1980,Tennessee,TN,0.002911692268127912,1617616,5221,1617616
1980,Texas,TX,0.13861921122696755,4541636,110,116
1980,Utah,UT,0.5220888120870245,604152,30,30
1980,Vermont,VT,0.059428314244323696,213299,256,287
1980,Virginia,VA,0.12724058322686857,1866032,120,126
1980,Washington,WA,0.12342271610209861,1742394,124,130
1980,West Virginia,WV,0.04507973946578286,737715,338,394
1980,Wisconsin,WI,0.047184589619751006,2273221,323,374
1980,Wyoming,WY,0.34673736510613257,176713,44,45
1984,Alabama,AL,0.2226171228254167,1441713,69,71
1984,Alaska,AK,0.36786204571180847,207605,42,43
1984,Arizona,AZ,0.3387883968858472,1025897,45,46
1984,Arkansas,AR,0.22176240324014085,884406,69,71
1984,California,CA,0.1624916715246152,9505041,94,98
1984,Colorado,CO,0.2831925766956414,1295380,54,55
1984,Connecticut,CT,0.21901970141113913,1466900,70,72
1984,Delaware,DE,0.19850572725987148,254572,77,80
1984,District Of Columbia,DC,0.7165527621066979,211288,22,22
1984,Florida,FL,0.3065833407295748,4180051,50,51
1984,Georgia,GA,0.2038699332189631,1776103,75,77
1984,Hawaii,HI,0.11283743144179177,335846,135,143
1984,Idaho,ID,0.4597245733854805,411144,34,34
1984,Illinois,IL,0.12878038334224234,4819088,119,125
1984,Indiana,IN,0.23991600796930143,2233069,64,66
1984,Iowa,IA,0.07385030364334125,1319805,206,226
1984,Kansas,KS,0.3367417129896447,1021991,46,47
1984,Kentucky,KY,0.2060569104206756,1369345,74,77
1984,Louisiana,LA,0.2259831429405058,1706822,68,70
1984,Maine,ME,0.22053027783000448,553144,69,72
1984,Maryland,MD,0.05488661730333981,1675873,277,314
1984,Massachusetts,MA,0.027869998355072298,2559383,546,710
1984,Michigan,MI,0.18989951226543786,3801658,81,83
1984,Minnesota,MN,0.0018043137538985123,2084449,8425,2084449
1984,Mississippi,MS,0.24459039596048895,941104,63,64
1984,Missouri,MO,0.2004950133575407,2122771,76,79
1984,Montana,MT,0.22297900238567864,384377,69,71
1984,Nebraska,NE,0.41740863991166866,652090,37,37
1984,Nevada,NV,0.34350605021983116,282717,45,46
1984,New Hampshire,NH,0.3772216279595993,388904,41,41
1984,New Jersey,NJ,0.20892971793072543,3217862,73,76
1984,New Mexico,NM,0.20477866127495772,514370,75,77
1984,New York,NY,0.05512626325694415,6806810,276,313
1984,North Carolina,NC,0.24004935272812192,2175361,64,66
1984,North Dakota,ND,0.31040777289778004,308971,49,51
1984,Ohio,OH,0.18695486864033958,4563235,82,85
1984,Oklahoma,OK,0.3794370522332194,1255676,41,41
1984,Oregon,OR,0.12166140655688787,1226527,125,132
1984,Pennsylvania,PA,0.07351891255614405,4844903,207,227
1984,Rhode Island,RI,0.036478444002153526,410489,417,507
1984,South Carolina,SC,0.27988836679128865,968529,55,56
1984,South Dakota,SD,0.26474594720433386,317867,58,59
1984,Tennessee,TN,0.16267473056256657,1711993,94,98
1984,Texas,TX,0.274966647034379,5397571,56,57
1984,Utah,UT,0.4982657196945634,629656,31,31
1984,Vermont,VT,0.17110687624967494,234561,89,93
1984,Virginia,VA,0.2519422258558162,2146635,61,62
1984,Washington,WA,0.13510941858542544,1874910,113,119
1984,West Virginia,WV,0.10514283539610353,735742,145,155
1984,Wisconsin,WI,0.09171452224973764,2211689,166,179
1984,Wyoming,WY,0.42266944667880274,188968,36,37
1988,Alabama,AL,0.19301750628955455,1378476,79,82
1988,Alaska,AK,0.23319974414839392,200116,66,68
1988,Arizona,AZ,0.21206393525578285,1171873,72,74
1988,Arkansas,AR,0.1417610403291863,827738,108,113
