year,state,postal code,margin,total votes,initial sample,expected sample
1980,Alabama,AL,0.030990386016809625,1296757,491,620
1980,Alaska,AK,0.07751878644059147,156762,197,214
1980,Arizona,AZ,0.010751076937859027,874238,1414,3526
1980,Arkansas,AR,0.1821548147159043,808812,84,87
1980,California,CA,0.19370791392419906,8324012,79,82
1980,Colorado,CO,0.016371419657637352,1173142,929,1531
1980,Connecticut,CT,0.13427354681710083,1356075,114,119
1980,Florida,FL,0.033177457775278425,3528028,459,569
1980,Georgia,GA,0.017434165343211197,1579829,872,1383
1980,Hawaii,HI,0.5951855169683965,288006,26,26
1980,Idaho,ID,0.00969414098128726,439647,1569,4672
1980,Illinois,IL,0.13515329269749166,4580029,113,119
1980,Indiana,IN,0.07571589209489187,2198376,201,220
1980,Iowa,IA,0.07945975915162735,1276986,192,209
1980,Kansas,KS,0.27521494594534146,938957,56,57
1980,Kentucky,KY,0.3025168937231236,1106920,51,52
1980,Louisiana,LA,0.1888769852546869,841013,81,84
1980,Maryland,MD,0.3233464584072008,1286088,48,48
1980,Missouri,MO,0.04328084897422066,2066965,352,413
1980,Nevada,NV,0.21414213661195447,243273,71,74
1980,New Hampshire,NH,0.04293713005919053,375060,355,417
1980,New York,NY,0.057619942695772544,6014914,264,298
1980,North Carolina,NC,0.005791401623773061,1797665,2625,1797665
1980,Ohio,OH,0.4055048750987944,4027303,38,39
1980,Oklahoma,OK,0.09921660320460642,1098294,154,164
1980,Oregon,OR,0.08095351663401999,1140494,188,205
1980,Pennsylvania,PA,0.02444816051997695,4418042,622,845
1980,South Carolina,SC,0.40736128661688686,870500,38,38
1980,South Dakota,SD,0.1880309516975186,327478,81,84
1980,Utah,UT,0.4816119185997597,594298,32,32
1980,Vermont,VT,0.013174002027505212,209124,1154,2258
1980,Washington,WA,0.08346886573411118,1728369,183,198
1980,Wisconsin,WI,0.018520988548236503,2204202,821,1259
1982,Arizona,AZ,0.16607748468334058,723885,92,96
1982,California,CA,0.06759341229525524,7805450,225,249
1982,Connecticut,CT,0.04323087600645311,1083508,352,414
