year,state,house,senate,pres,pres & senate,pres & sen & house
1976,AL,356,0,122,122,478
1976,AK,37,0,71,71,108
1976,AZ,192105,152,96,143,192248
1976,AR,96,0,52,52,148
1976,CA,155631,574,1323,1897,157528
1976,CO,5097,0,142,142,5239
1976,CT,529,96,338,296,825
1976,DE,479,132,321,283,762
1976,FL,761,61,328,288,1049
1976,GA,933,0,46,46,979
1976,HI,410,123,806,855,1265
1976,ID,3098,0,69,69,3167
1976,IL,214662,0,1148,1148,215810
1976,IN,6338,84,218,200,6538
1976,IA,3058,0,4143,4143,7201
1976,KS,2028,0,221,221,2249
1976,KY,436,0,233,233,669
1976,LA,985,0,296,296,1281
1976,ME,135,77,7889,7966,8101
1976,MD,913,90,281,251,1164
1976,MA,863,39,102,98,961
1976,MI,194486,306,320,284,194770
1976,MN,372,37,125,119,491
1976,MS,164,16,1226,1242,1406
1976,MO,1642,111,509,419,2061
1976,MT,213,55,224,205,418
1976,NE,244,294,76,268,512
1976,NV,24,50,410,349,373
1976,NH,116,0,143,143,259
1976,NJ,2039,70,1005,1075,3114
1976,NM,73,113,835,820,893
1976,NY,217721,152,271,243,217964
1976,NC,1463,0,147,147,1610
1976,ND,59,62,289,257,316
1976,OH,12489,648,4110456,4110456,4122945
1976,OK,1318,0,2665,2665,3983
1976,OR,258,0,1029876,1029876,1030134
1976,PA,34281,307,753,619,34900
1976,RI,89,101,143,135,224
1976,SC,954,0,123,123,1077
1976,SD,65,0,1828,1828,1893
1976,TN,377,317,124,288,665
1976,TX,194058,110,603,480,194538
1976,UT,217,127,55,125,342
1976,VT,45,380,131,327,372
1976,VA,4164,84,2200,2284,6448
1976,WA,218180,33,470,392,218572
1976,WV,330,16,99,95,425
1976,WI,848,35,1472,1507,2355
1976,WY,125,179,81,167,292
1976,DC,0,0,24,24,24
1976,USA,1475364,5031,5174928,5175782,6651146
1978,AL,397,18,0,18,415
1978,AK,148,30,0,30,178
1978,AR,894,26,0,26,920
1978,CO,141934,86,0,86,142020
1978,DE,93,94,0,94,187
1978,GA,399,24,0,24,423
1978,ID,189,42,0,42,231
1978,IL,179404,211,0,211,179615
1978,IA,615,591,0,591,1206
1978,KS,620,141,0,141,761
1978,KY,576,65,0,65,641
1978,LA,131012,16,0,16,131028
1978,ME,225,70,0,70,295
1978,MA,561,159,0,159,720
1978,MI,25895,418,0,418,26313
1978,MN,801,98,0,98,899
1978,MS,208,119,0,119,327
1978,MT,226,142,0,142,368
1978,NE,506,44,0,44,550
1978,NH,106,978,0,978,1084
1978,NJ,2314,132,0,132,2446
1978,NM,79,247,0,247,326
1978,NC,780,182,0,182,962
1978,OK,400,48,0,48,448
1978,OR,253,67,0,67,320
1978,RI,403,31,0,31,434
1978,SC,521,142,0,142,663
1978,SD,129360,47,0,47,129407
1978,TN,320,105,0,105,425
1978,TX,7792,2312540,0,2312540,2320332
1978,VA,1051,1222256,0,1222256,1223307
1978,WV,313,4871,0,4871,5184
1978,WY,92,65,0,65,157
1978,AZ,349,0,0,0,349
1978,CA,4447,0,0,0,4447
1978,CT,736,0,0,0,736
1978,FL,1626,0,0,0,1626
1978,HI,51,0,0,0,51
1978,IN,1582,0,0,0,1582
1978,MD,1061,0,0,0,1061
1978,MO,627,0,0,0,627
1978,NV,33,0,0,0,33
1978,NY,7370,0,0,0,7370
1978,ND,43,0,0,0,43
1978,OH,3587,0,0,0,3587
1978,PA,9254,0,0,0,9254
1978,UT,423,0,0,0,423
1978,VT,28,0,0,0,28
1978,WA,1577,0,0,0,1577
1978,WI,695,0,0,0,695
1978,DC,0,0,0,0,0
1978,USA,661976,3544105,0,3544105,4206081
1980,AL,623,620,2313,2933,3556
1980,AK,33,214,56,199,232
1980,AZ,227,3526,48,3574,3801
1980,AR,75,87,837582,837582,837657
1980,CA,157293,82,95,91,157384
1980,CO,394,1531,66,1597,1991
1980,CT,18294,119,170,158,18452
1980,DE,65,0,901,901,966
1980,FL,860,569,93,479,1339
1980,GA,370,1383,108,1491,1861
1980,HI,45,26,1209,1235,1280
1980,ID,315,4672,38,4710,5025
1980,IL,8097,119,209,192,8289
1980,IN,198556,220,86,205,198761
1980,IA,1244,209,127,198,1442
1980,KS,467,57,64,62,529
1980,KY,313,52,2071,2123,2436
1980,LA,250,84,317,279,529
1980,ME,69,0,561,561,630
1980,MD,878,48,658,515,1393
1980,MA,1307,0,2524090,2524090,2525397
1980,MI,4317,0,261,261,4578
1980,MN,1046,0,461,461,1507
1980,MS,328,0,2235,2235,2563
1980,MO,680,413,247,357,1037
1980,MT,156,0,65,65,221
1980,NE,226,0,40,40,266
1980,NV,36,74,43,72,108
1980,NH,129,417,53,363,492
1980,NJ,5796,0,120,120,5916
1980,NM,1552,0,87,87,1639
1980,NY,180185,298,1859,2157,182342
1980,NC,2878,1797665,1029,1798694,1801572
1980,ND,112,0,41,41,153
1980,OH,1534,39,153,144,1678
1980,OK,1536,164,62,161,1697
1980,OR,2591,205,169,195,2786
1980,PA,177840,845,236,975,178815
1980,RI,197,0,155,155,352
1980,SC,1353,38,2531,2569,3922
1980,SD,145,84,54,81,226
1980,TN,262,0,1617616,1617616,1617878
1980,TX,3534,0,116,116,3650
1980,UT,472,32,30,33,505
1980,VT,24,2258,287,2545,2569
1980,VA,197107,0,126,126,197233
1980,WA,1068,198,130,184,1252
1980,WV,547,0,394,394,941
1980,WI,1722,1259,374,1633,3355
1980,WY,42,0,45,45,87
1980,DC,0,0,25,25,25
1980,USA,977190,1817607,4999906,6815125,7792315
1982,AZ,2086,96,0,96,2182
1982,CA,4270,249,0,249,4519
1982,CT,6168,414,0,414,6582
1982,DE,282,148,0,148,430
1982,FL,2062,67,0,67,2129
1982,HI,39,25,0,25,64
1982,IN,2075,200,0,200,2275
1982,ME,910,73,0,73,983
1982,MD,592,58,0,58,650
1982,MA,445,70,0,70,515
1982,MI,1485,94,0,94,1579
1982,MN,217758,283,0,283,218041
1982,MS,1471,55,0,55,1526
1982,MO,5026,1439,0,1439,6465
1982,MT,242,126,0,126,368
1982,NE,165,41,0,41,206
1982,NV,219,863,0,863,1082
1982,NJ,1135,598,0,598,1733
1982,NM,509,221,0,221,730
1982,NY,20960,46,0,46,21006
1982,ND,36,55,0,55,91
1982,OH,1882,103,0,103,1985
1982,PA,165142,79,0,79,165221
1982,RI,213,868,0,868,1081
1982,TN,4423,66,0,66,4489
1982,TX,140379,88,0,88,140467
1982,UT,307,94,0,94,401
1982,VT,34,635,0,635,669
1982,VA,16195,875,0,875,17070
1982,WA,493,35,0,35,528
1982,WV,448,41,0,41,489
1982,WI,546,53,0,53,599
1982,WY,37,120,0,120,157
1982,AL,8184,0,0,0,8184
1982,AK,37,0,0,0,37
1982,AR,367,0,0,0,367
1982,CO,503,0,0,0,503
1982,GA,469,0,0,0,469
1982,ID,618,0,0,0,618
1982,IL,27330,0,0,0,27330
1982,IA,516,0,0,0,516
1982,KS,299,0,0,0,299
1982,KY,464,0,0,0,464
1982,LA,128,0,0,0,128
1982,NH,195,0,0,0,195
1982,NC,12787,0,0,0,12787
1982,OK,382,0,0,0,382
1982,OR,1324,0,0,0,1324
1982,SC,742,0,0,0,742
1982,SD,615,0,0,0,615
1982,DC,0,0,0,0,0
1982,USA,652994,8278,0,8278,661272
1984,AL,1338,60,71,69,1407
1984,AK,120,37,43,42,162
1984,AZ,832,0,46,46,878
1984,AR,355,109,71,105,460
1984,CA,2418,0,98,98,2516
1984,CO,466,53,55,54,520
1984,CT,844,0,72,72,916
1984,DE,93,78,80,78,171
1984,FL,921,0,51,51,972
1984,GA,630,26,77,75,705
1984,HI,46,0,143,143,189
1984,ID,202441,34,34,34,202475
1984,IL,234174,1249,125,1374,235548
1984,IN,235035,0,66,66,235101
1984,IA,1992,137,226,206,2198
1984,KS,277,29,47,46,323
1984,KY,452,1292407,77,1292484,1292936
1984,LA,128,16,70,86,214
1984,ME,87,33,72,69,156
1984,MD,1049,0,314,314,1363
1984,MA,670,161,710,546,1216
1984,MI,210985,384,83,339,211324
1984,MN,510,95,2084449,2084449,2084959
1984,MS,1556,72,64,70,1626
1984,MO,1014,0,79,79,1093
1984,MT,95,98,71,96,191
1984,NE,109,465,37,396,505
1984,NV,151,0,46,46,197
1984,NH,117,89,41,87,204
1984,NJ,1033,54,76,73,1106
1984,NM,151,36,77,75,226
1984,NY,3234,0,313,313,3547
1984,NC,227817,474,66,395,228212
1984,ND,27,0,51,51,78
1984,OH,1175,0,85,85,1260
1984,OK,588,30,41,41,629
1984,OR,704,47,132,125,829
1984,PA,251420,0,227,227,251647
1984,RI,86,35,507,417,503
1984,SC,366,45,56,55,421
1984,SD,108,32,59,58,166
1984,TN,581,58,98,94,675
1984,TX,3020,93,57,91,3111
1984,UT,213861,0,31,31,213892
1984,VT,40,0,93,93,133
1984,VA,1131,39,62,61,1192
1984,WA,461,0,119,119,580
1984,WV,412,441,155,379,791
1984,WI,468,0,179,179,647
1984,WY,32,28,37,36,68
1984,DC,0,0,22,22,22
1984,USA,1605620,1297044,2089961,3384640,4990260
1986,AL,259,1211897,0,1211897,1212156
1986,AK,104,164,0,164,268
1986,AZ,191,75,0,75,266
1986,AR,136,64,0,64,200
1986,CA,2040,1966,0,1966,4006
1986,CO,1333,1676,0,1676,3009
1986,CT,481,52,0,52,533
1986,FL,527,173,0,173,700
1986,GA,555,1278,0,1278,1833
1986,HI,102,33,0,33,135
1986,ID,237,616,0,616,853
1986,IL,21304,50,0,50,21354
1986,IN,153686,71,0,71,153757
1986,IA,1633,48,0,48,1681
1986,KS,175,39,0,39,214
1986,KY,284,32,0,32,316
1986,LA,944,305,0,305,1249
1986,MD,130260,74,0,74,130334
1986,MO,1235,328,0,328,1563
1986,NV,256,315,0,315,571
1986,NH,159,51,0,51,210
1986,NY,3679,246,0,246,3925
1986,ND,30,16979,0,16979,17009
1986,OH,1087,63,0,63,1150
1986,OK,281,156,0,156,437
1986,OR,446,58,0,58,504
1986,PA,1236,118,0,118,1354
1986,SC,1202,57,0,57,1259
1986,SD,86,594,0,594,680
1986,UT,801,34,0,34,835
1986,VT,18,55,0,55,73
1986,WA,976,1134,0,1134,2110
1986,WI,414,537,0,537,951
1986,DE,48,0,0,0,48
1986,ME,203,0,0,0,203
1986,MA,371,0,0,0,371
1986,MI,1720,0,0,0,1720
1986,MN,190087,0,0,0,190087
1986,MS,673,0,0,0,673
1986,MT,309,0,0,0,309
1986,NE,186,0,0,0,186
1986,NJ,645,0,0,0,645
1986,NM,135,0,0,0,135
1986,NC,148125,0,0,0,148125
1986,RI,140,0,0,0,140
1986,TN,499,0,0,0,499
1986,TX,1484,0,0,0,1484
1986,VA,652,0,0,0,652
1986,WV,146,0,0,0,146
1986,WY,40,0,0,0,40
1986,DC,0,0,0,0,0
1986,USA,671620,1239338,0,1239338,1910958
1988,AL,277,0,82,82,359
1988,AK,62,0,68,68,130
1988,AZ,173,102,74,98,271
1988,AR,112,0,113,113,225
1988,CA,3538,187,521,427,3965
1988,CO,251,0,214,214,465
1988,CT,250,18528,341,18869,19119
1988,DE,45,65,130,123,168
1988,FL,251311,7434,70,7504,258815
1988,GA,509,0,78,78,587
1988,HI,160,28,172,160,320
1988,ID,103,0,60,60,163
1988,IL,182822,0,1056,1056,183878
1988,IN,958,43,78,76,1034
1988,IA,396,0,159,159,555
1988,KS,178,0,121,121,299
1988,KY,303,0,139,139,442
1988,LA,231,0,159,159,390
1988,ME,107,25,141,134,241
1988,MD,9548,67,672,523,10071
1988,MA,298,51,211,194,492
1988,MI,1089,72,210,193,1282
1988,MN,513,105,239,217,730
1988,MS,414,212,76,195,609
1988,MO,682,44,456,382,1064
1988,MT,220,493,291,408,628
1988,NE,2254,106,75,102,2356
1988,NV,147,434,74,368,515
1988,NH,188,0,60,60,248
1988,NJ,939,197,117,189,1128
1988,NM,626,59,353,307,933
1988,NY,2662,43,263,237,2899
1988,NC,24415,0,98,98,24513
1988,ND,37,77,123,117,154
1988,OH,800,115,149,141,941
1988,OK,483,0,95,95,578
1988,OR,222508,0,378,378,222886
1988,PA,924,46,909,955,1879
1988,RI,179,178,138,169,348
1988,SC,1024,0,66,66,1090
1988,SD,36,0,267,267,303
1988,TN,439,51,97,94,533
1988,TX,1334,83,128,121,1455
1988,UT,222,44,46,45,267
1988,VT,496,41,530,433,929
1988,VA,523,37,77,75,598
1988,WA,218546,994,1605,2599,221145
1988,WV,150,53,372,321,471
1988,WI,405,392,512,421,826
1988,WY,45,17567,70,17637,17682
1988,DC,0,0,23,23,23
1988,USA,933932,47973,12556,57070,991002
1990,AL,953,75,0,75,1028
1990,AK,479,46,0,46,525
1990,AR,204,16,0,16,220
1990,CO,469,114,0,114,583
1990,DE,48,59,0,59,107
1990,GA,157440,16,0,16,157456
1990,ID,342,70,0,70,412
1990,IL,1119,52,0,52,1171
1990,IA,4540,181,0,181,4721
1990,KS,325,33,0,33,358
1990,KY,1778,408,0,408,2186
1990,LA,454,16,0,16,470
1990,ME,1154,69,0,69,1223
1990,MA,1086,118,0,118,1204
1990,MI,1021,98,0,98,1119
1990,MN,550,764,0,764,1314
1990,MS,143,16,0,16,159
1990,MT,132,40,0,40,172
1990,NE,1089,88,0,88,1177
1990,NH,477,46,0,46,523
1990,NJ,1920,635,0,635,2555
1990,NM,87,34,0,34,121
1990,NC,2972,341,0,341,3313
1990,OK,330,24,0,24,354
1990,OR,299,222,0,222,521
1990,RI,244,67,0,67,311
1990,SC,271,49,0,49,320
1990,SD,45,228,0,228,273
1990,TN,410,41,0,41,451
1990,TX,1453,69,0,69,1522
1990,VA,1679,25,0,25,1704
1990,WV,677,43,0,43,720
1990,WY,160,56,0,56,216
1990,AZ,309,0,0,0,309
1990,CA,7625,0,0,0,7625
1990,CT,1005,0,0,0,1005
1990,FL,1780,0,0,0,1780
1990,HI,118,0,0,0,118
1990,IN,2237,0,0,0,2237
1990,MD,409,0,0,0,409
1990,MO,189996,0,0,0,189996
1990,NV,121,0,0,0,121
1990,NY,3071,0,0,0,3071
1990,ND,52,0,0,0,52
1990,OH,2026,0,0,0,2026
1990,PA,1903,0,0,0,1903
1990,UT,359,0,0,0,359
1990,VT,96,0,0,0,96
1990,WA,1149,0,0,0,1149
1990,WI,762,0,0,0,762
1990,DC,0,0,0,0,0
1990,USA,397368,4159,0,4159,401527
1992,AL,2132,49,249,225,2357
